x y z meta size
1 1 1 0 3
1 2 1 0 8
2 1 1 0 11
2 2 1 0 13
3 3 2 0 7
4 4 2 0 62
5 5 2 0 4
6 6 5 0 21
6 7 5 0 5
7 6 5 0 4
7 7 5 0 9
7 7 7 0 1
8 8 7 0 32
9 9 7 0 12
9 10 8 0 9
10 9 8 0 1
10 11 8 0 2
11 9 7 0 1
11 10 8 0 3
11 11 9 0 16
12 9 7 0 1
12 10 8 0 1
12 12 9 0 2
12 12 10 0 5
12 12 11 0 1
12 13 9 0 1
12 13 10 0 2
12 13 11 0 1
13 12 9 0 2
13 12 10 0 3
13 12 11 0 1
13 13 10 0 25
13 13 11 0 2
14 13 10 0 2
14 13 11 0 2
14 14 12 0 8
14 15 13 0 1
14 15 14 0 5
14 16 14 0 1
15 14 13 0 2
15 14 14 0 2
15 15 15 0 17
15 15 16 0 2
15 15 17 0 2
15 16 15 0 2
15 16 16 0 3
15 16 17 0 14
15 17 15 0 1
16 15 16 0 6
16 15 17 0 6
16 16 18 0 100
16 17 19 0 6
16 17 20 0 10
16 18 20 0 1
17 15 21 0 2
17 16 19 0 7
17 16 20 0 9
17 16 21 0 1
17 17 21 0 40
17 18 22 0 6
18 17 22 0 2
18 17 23 0 2
18 18 23 0 35
19 18 25 0 1
19 19 24 0 7
19 19 25 0 2
19 20 25 0 5
19 20 26 0 1
19 21 25 0 2
20 19 25 0 4
20 20 25 0 1
20 20 26 0 7
20 21 27 0 1
21 19 25 0 2
21 20 26 0 1
21 20 27 0 1
21 21 26 0 1
21 21 27 0 3
21 23 27 0 1
22 21 27 0 2
22 22 27 0 2
22 23 27 0 1
23 21 27 0 2
23 22 27 0 1
23 23 28 0 5
23 24 28 0 2
24 23 28 0 1
24 24 28 0 22
25 25 29 0 15
26 26 29 0 26
27 27 29 0 5
27 27 30 0 6
28 28 30 0 46
29 29 30 0 9
30 30 31 0 3
30 31 31 0 1
31 30 31 0 10
31 31 31 0 1
