x y z meta size
1 1 1 0 5
1 2 1 0 8
2 1 1 0 10
2 2 1 0 19
3 3 2 0 9
3 4 2 0 19
4 3 2 0 9
4 4 2 0 99
4 5 2 0 3
5 4 2 0 5
5 5 2 0 7
5 6 3 0 7
6 5 3 0 6
6 6 3 0 34
6 7 3 0 15
7 6 3 0 10
7 7 3 0 13
7 7 4 0 2
7 8 4 0 1
8 7 4 0 6
8 8 4 0 50
8 9 4 0 12
9 8 4 0 11
9 9 4 0 24
9 9 5 0 2
9 10 5 0 15
10 9 4 0 1
10 9 5 0 3
10 10 4 0 1
10 11 5 0 4
10 11 6 0 2
11 10 5 0 8
11 11 5 0 1
11 11 6 0 33
11 12 6 0 13
12 11 6 0 22
12 12 6 0 16
12 12 7 0 13
12 13 6 0 1
12 13 7 0 10
13 12 6 0 3
13 12 7 0 12
13 13 7 0 69
13 13 8 0 33
13 14 7 0 9
13 14 8 0 4
13 14 9 0 3
14 13 8 0 6
14 13 9 0 1
14 14 7 0 5
14 14 8 0 17
14 14 9 0 25
14 14 10 0 3
14 14 11 0 2
14 15 8 0 2
14 15 9 0 12
14 15 10 0 8
14 15 11 0 4
15 14 8 0 1
15 14 9 0 11
15 14 10 0 6
15 14 11 0 3
15 15 9 0 28
15 15 10 0 4
15 15 11 0 16
15 15 12 0 36
15 15 13 0 15
15 15 14 0 17
15 15 15 0 1
15 15 16 0 20
15 15 17 0 12
15 15 18 0 5
15 15 19 0 5
15 16 9 0 2
15 16 10 0 3
15 16 11 0 19
15 16 12 0 23
15 16 13 0 11
15 16 14 0 3
15 16 15 0 2
15 16 16 0 6
15 16 17 0 20
15 16 18 0 18
15 16 19 0 5
15 16 20 0 4
15 16 21 0 1
16 15 10 0 2
16 15 11 0 1
16 15 12 0 1
16 15 13 0 22
16 15 14 0 7
16 15 15 0 19
16 15 16 0 12
16 15 17 0 10
16 15 18 0 11
16 15 19 0 9
16 15 20 0 8
16 15 21 0 1
16 16 10 0 1
16 16 11 0 63
16 16 12 0 18
16 16 13 0 100
16 16 14 0 57
16 16 15 0 27
16 16 17 0 10
16 16 18 0 79
16 16 19 0 92
16 16 20 0 26
16 16 21 0 16
16 16 22 0 14
16 16 23 0 1
16 17 11 0 2
16 17 13 0 8
16 17 14 0 6
16 17 15 0 11
16 17 16 0 11
16 17 17 0 8
16 17 19 0 9
16 17 21 0 12
16 17 22 0 4
16 17 23 0 2
17 16 12 0 1
17 16 13 0 9
17 16 14 0 11
17 16 15 0 15
17 16 16 0 19
17 16 17 0 14
17 16 18 0 19
17 16 19 0 21
17 16 21 0 7
17 16 22 0 17
17 16 23 0 1
17 17 11 0 2
17 17 12 0 1
17 17 13 0 6
17 17 14 0 9
17 17 15 0 12
17 17 16 0 14
17 17 17 0 9
17 17 18 0 16
17 17 19 0 27
17 17 20 0 19
17 17 21 0 30
17 17 22 0 53
17 17 23 0 1
17 17 24 0 5
17 18 21 0 1
17 18 22 0 14
17 18 23 0 3
17 18 24 0 3
18 17 22 0 7
18 17 23 0 2
18 17 24 0 2
18 18 20 0 1
18 18 21 0 3
18 18 22 0 17
18 18 23 0 65
18 18 24 0 27
18 18 25 0 6
18 19 23 0 3
18 19 24 0 12
18 19 25 0 2
19 18 23 0 2
19 18 24 0 5
19 18 25 0 4
19 19 23 0 3
19 19 24 0 47
19 19 25 0 17
19 19 26 0 1
19 20 25 0 13
19 20 26 0 1
20 19 25 0 11
20 19 26 0 3
20 20 25 0 5
20 20 26 0 27
20 21 26 0 17
21 20 26 0 23
21 21 26 0 19
21 21 27 0 14
21 22 26 0 2
21 22 27 0 7
22 21 26 0 1
22 21 27 0 6
22 22 27 0 6
22 23 27 0 8
22 23 28 0 1
23 22 27 0 10
23 22 28 0 1
23 23 27 0 15
23 23 28 0 27
23 24 28 0 5
24 23 28 0 22
24 24 28 0 42
24 25 28 0 4
25 24 28 0 6
25 25 29 0 27
26 25 29 0 10
26 26 29 0 40
26 27 29 0 8
27 26 29 0 1
27 27 29 0 9
27 27 30 0 11
27 28 30 0 7
28 27 30 0 2
28 28 30 0 72
28 29 30 0 12
29 28 30 0 7
29 29 30 0 16
30 30 31 0 21
30 31 31 0 1
31 30 31 0 11
31 31 31 0 4
