x y z meta size
1 1 1 0 12
1 2 1 0 17
2 1 1 0 6
2 2 1 0 50
3 3 3 0 18
3 4 3 0 41
4 3 3 0 16
4 4 3 0 12
5 5 4 0 1
5 5 5 0 1
5 5 6 0 1
5 6 4 0 1
5 6 5 0 1
5 6 6 0 5
5 7 6 0 3
6 5 5 0 1
6 6 4 0 1
6 7 4 0 1
6 7 5 0 5
6 7 7 0 1
6 7 8 0 1
6 8 7 0 1
6 8 8 0 2
6 9 6 0 2
7 5 4 0 1
7 5 5 0 1
7 6 5 0 2
7 7 4 0 3
7 7 5 0 2
7 7 6 0 1
7 8 8 0 1
7 9 6 0 1
7 10 4 0 1
7 10 5 0 1
8 5 6 0 3
8 6 6 0 3
8 7 6 0 3
8 7 7 0 1
8 7 8 0 1
8 8 8 0 1
8 9 6 0 2
9 5 6 0 1
9 6 6 0 3
9 7 6 0 1
9 9 6 0 29
9 9 7 0 1
9 10 8 0 2
10 5 6 0 4
10 6 6 0 5
10 7 6 0 4
10 8 8 0 1
10 9 6 0 4
10 10 5 0 1
10 10 7 0 4
10 10 8 0 20
11 7 8 0 1
11 16 12 0 1
11 16 13 0 1
11 16 14 0 1
12 12 14 0 3
12 14 14 0 1
12 15 14 0 1
12 16 14 0 1
12 17 14 0 1
13 12 14 0 1
13 14 14 0 9
13 15 14 0 1
13 16 14 0 3
13 16 15 0 1
13 17 14 0 1
13 18 14 0 1
13 18 23 0 2
14 12 14 0 3
14 13 12 0 1
14 13 13 0 2
14 13 14 0 46
14 14 14 0 16
14 15 14 0 4
14 16 14 0 2
14 17 14 0 3
15 13 14 0 1
15 15 15 0 3
15 15 21 0 1
15 16 15 0 19
15 16 16 0 3
15 16 17 0 1
15 16 18 0 1
15 16 19 0 1
15 16 21 0 1
15 17 15 0 4
15 17 16 0 1
15 17 21 0 1
15 18 22 0 1
16 11 12 0 1
16 11 14 0 1
16 15 15 0 4
16 15 19 0 1
16 15 20 0 1
16 15 21 0 3
16 16 15 0 22
16 16 16 0 2
16 16 17 0 11
16 16 18 0 6
16 16 19 0 7
16 16 20 0 15
16 16 21 0 8
16 17 15 0 5
16 17 16 0 1
16 17 18 0 4
16 17 19 0 3
16 17 20 0 7
16 17 21 0 2
16 18 15 0 1
16 18 22 0 1
16 18 23 0 2
17 15 15 0 2
17 15 21 0 1
17 16 15 0 10
17 16 17 0 2
17 16 18 0 2
17 16 19 0 3
17 16 20 0 4
17 17 15 0 1
17 17 20 0 1
17 18 22 0 1
18 15 23 0 1
18 16 20 0 1
18 16 23 0 1
18 17 23 0 2
18 18 23 0 57
19 19 24 0 2
19 19 27 0 2
19 20 24 0 1
19 20 25 0 2
19 20 27 0 2
19 21 26 0 1
19 21 27 0 2
19 22 27 0 1
20 19 27 0 2
20 20 26 0 1
20 20 27 0 3
20 21 26 0 1
20 21 27 0 3
20 22 27 0 2
21 19 26 0 2
21 19 27 0 3
21 20 26 0 3
21 20 27 0 4
21 21 26 0 2
21 21 27 0 15
21 22 26 0 2
21 22 27 0 5
22 19 26 0 1
22 20 26 0 1
22 20 27 0 1
22 21 26 0 3
22 21 27 0 3
22 22 26 0 2
22 22 27 0 3
22 23 27 0 1
23 19 26 0 2
23 19 27 0 1
23 20 26 0 1
23 20 27 0 1
23 22 27 0 1
23 22 28 0 1
23 23 28 0 9
23 24 28 0 1
24 19 26 0 1
24 19 27 0 1
24 20 26 0 1
24 20 27 0 1
24 22 27 0 1
24 22 28 0 1
24 24 28 0 21
25 25 29 0 23
25 26 29 0 11
25 27 29 0 4
25 28 29 0 2
25 28 30 0 1
26 26 30 0 8
27 25 29 0 1
27 26 29 0 55
27 26 30 0 1
27 27 29 0 100
27 29 29 0 1
28 26 29 0 6
28 26 30 0 1
28 27 29 0 15
28 27 30 0 1
28 28 29 0 16
28 28 30 0 8
28 29 29 0 4
28 29 30 0 3
29 26 29 0 3
29 26 30 0 1
29 27 29 0 6
29 28 29 0 4
29 28 30 0 2
29 29 29 0 3
29 29 30 0 26
30 30 31 0 3
30 31 31 0 1
31 31 31 0 7
