x y z meta size
1 2 6 0 17
1 2 11 0 1
1 2 14 0 2
1 2 20 0 1
1 2 25 0 19
1 2 28 0 2
1 6 6 0 2
1 6 25 0 2
1 8 6 0 1
1 8 25 0 1
1 9 6 0 5
1 9 25 0 6
1 10 6 0 1
1 10 30 0 1
1 11 6 0 4
1 11 25 0 5
1 12 6 0 3
1 12 25 0 3
1 17 6 0 22
1 17 25 0 24
1 18 11 0 1
1 18 14 0 1
1 18 20 0 1
1 18 28 0 1
1 21 6 0 1
1 22 6 0 1
1 22 14 0 1
1 22 28 0 1
1 25 6 0 3
1 25 30 0 1
1 27 6 0 1
1 27 11 0 1
1 27 14 0 2
1 27 20 0 1
1 27 28 0 2
1 29 6 0 22
1 29 25 0 25
1 31 11 0 2
1 31 14 0 3
1 31 20 0 1
1 31 28 0 3
2 1 6 0 1
2 2 17 0 1
2 2 21 0 1
2 6 17 0 1
2 6 21 0 1
2 8 6 0 1
2 8 11 0 1
2 8 14 0 2
2 8 17 0 5
2 8 20 0 2
2 8 21 0 4
2 8 28 0 2
2 10 6 0 3
2 10 10 0 1
2 10 30 0 1
2 12 6 0 3
2 12 8 0 1
2 12 9 0 1
2 12 13 0 2
2 12 17 0 1
2 12 19 0 3
2 12 20 0 3
2 12 21 0 1
2 12 22 0 2
2 12 26 0 3
2 12 28 0 2
2 13 6 0 1
2 14 6 0 1
2 15 17 0 1
2 16 6 0 1
2 17 6 0 4
2 17 8 0 1
2 17 9 0 1
2 17 10 0 1
2 17 13 0 2
2 17 17 0 1
2 17 19 0 3
2 17 20 0 3
2 17 22 0 2
2 17 26 0 2
2 17 28 0 2
2 17 30 0 1
2 18 11 0 4
2 18 14 0 6
2 18 16 0 3
2 18 17 0 15
2 18 20 0 8
2 18 21 0 12
2 18 22 0 1
2 18 24 0 2
2 18 28 0 6
2 18 30 0 2
2 20 14 0 1
2 20 17 0 2
2 20 20 0 1
2 20 21 0 2
2 20 28 0 1
2 21 6 0 2
2 21 30 0 1
2 22 6 0 1
2 23 17 0 1
2 26 17 0 2
2 26 21 0 1
2 27 17 0 1
2 27 21 0 1
2 29 6 0 2
2 29 8 0 1
2 29 9 0 1
2 29 13 0 2
2 29 17 0 1
2 29 19 0 2
2 29 20 0 3
2 29 22 0 2
2 29 26 0 2
2 29 28 0 2
2 31 6 0 1
3 2 2 0 4
3 2 3 0 6
3 2 4 0 3
3 2 6 0 18
3 2 9 0 4
3 2 10 0 2
3 2 11 0 4
3 2 12 0 1
3 2 14 0 1
3 2 15 0 7
3 2 16 0 2
3 2 17 0 2
3 2 21 0 2
3 2 23 0 1
3 2 24 0 1
3 2 25 0 20
3 2 28 0 1
3 3 5 0 1
3 3 6 0 1
3 3 10 0 2
3 3 12 0 1
3 3 16 0 3
3 3 17 0 1
3 3 20 0 1
3 3 21 0 1
3 3 22 0 1
3 3 25 0 1
3 5 1 0 2
3 5 2 0 10
3 5 3 0 16
3 5 4 0 8
3 5 9 0 10
3 5 11 0 12
3 5 12 0 3
3 5 14 0 6
3 5 15 0 19
3 5 16 0 3
3 5 17 0 1
3 5 21 0 14
3 5 22 0 1
3 5 24 0 2
3 5 28 0 6
3 5 30 0 2
3 6 6 0 1
3 6 10 0 2
3 6 14 0 1
3 6 17 0 2
3 6 20 0 1
3 6 21 0 2
3 6 23 0 1
3 6 25 0 2
3 6 28 0 1
3 8 10 0 7
3 8 11 0 2
3 8 14 0 4
3 8 16 0 2
3 8 17 0 9
3 8 20 0 3
3 8 21 0 7
3 8 23 0 3
3 8 24 0 1
3 8 25 0 1
3 8 28 0 3
3 8 30 0 1
3 9 2 0 1
3 9 3 0 1
3 9 6 0 6
3 9 9 0 1
3 9 11 0 1
3 9 14 0 1
3 9 15 0 2
3 9 21 0 2
3 9 25 0 6
3 9 28 0 1
3 10 10 0 1
3 10 17 0 1
3 10 21 0 1
3 11 2 0 1
3 11 3 0 2
3 11 4 0 1
3 11 6 0 4
3 11 9 0 1
3 11 11 0 2
3 11 14 0 1
3 11 15 0 3
3 11 21 0 2
3 11 25 0 5
3 11 28 0 1
3 12 6 0 3
3 12 10 0 2
3 12 14 0 1
3 12 17 0 2
3 12 21 0 1
3 12 25 0 3
3 13 15 0 1
3 14 10 0 6
3 14 16 0 4
3 14 17 0 1
3 14 20 0 1
3 14 22 0 1
3 14 23 0 2
3 14 24 0 2
3 15 5 0 2
3 15 6 0 2
3 15 10 0 3
3 15 12 0 1
3 15 16 0 4
3 15 17 0 1
3 15 20 0 1
3 15 21 0 1
3 15 22 0 2
3 15 23 0 1
3 15 24 0 1
3 15 25 0 3
3 17 6 0 23
3 17 10 0 6
3 17 16 0 4
3 17 22 0 1
3 17 23 0 3
3 17 24 0 2
3 17 25 0 26
3 18 2 0 7
3 18 3 0 10
3 18 4 0 5
3 18 5 0 1
3 18 6 0 1
3 18 9 0 6
3 18 10 0 3
3 18 11 0 13
3 18 14 0 11
3 18 15 0 12
3 18 17 0 15
3 18 20 0 5
3 18 21 0 21
