section,shape,m,k,r,eltype,op,seconds,gflops,gbps,max_rel_err,rms_rel_err,accepted,note
throughput,unfold-1 (640 x 480*90*3),640,129600,33,Float16,mul!,0.001395417,3923.06,125.041,,,true,
throughput,unfold-1 (640 x 480*90*3),640,129600,33,Float32,mul!,0.001571833,3482.752,222.013,,,true,
throughput,unfold-1 (640 x 480*90*3),640,129600,33,f16in_f32out,mul!_mixed,0.001739125,3147.735,100.353,,,true,
throughput,unfold-1T (480*90*3 x 640),129600,640,33,Float16,mul!,0.002807166,1950.118,62.157,,,true,
throughput,unfold-1T (480*90*3 x 640),129600,640,33,Float32,mul!,0.00246925,2216.991,141.325,,,true,
throughput,unfold-1T (480*90*3 x 640),129600,640,33,f16in_f32out,mul!_mixed,0.00238925,2291.223,76.609,,,true,
throughput,frame-accum (1e5 x 1800),100000,1800,33,Float16,mul!,0.005834334,2036.222,62.855,,,true,
throughput,frame-accum (1e5 x 1800),100000,1800,33,Float32,mul!,0.006218167,1910.531,117.951,,,true,
throughput,frame-accum (1e5 x 1800),100000,1800,33,f16in_f32out,mul!_mixed,0.005724667,2075.23,65.212,,,true,
throughput,unfold-3 (640*480 x 270),307200,270,16,Float16,mul!,0.002644083,1003.829,66.46,,,true,
throughput,unfold-3 (640*480 x 270),307200,270,16,Float32,mul!,0.002914333,910.743,120.595,,,true,
throughput,unfold-3 (640*480 x 270),307200,270,16,f16in_f32out,mul!_mixed,0.003246958,817.445,57.148,,,true,
throughput,square control (4096^3),4096,4096,4096,Float16,mul!,0.009529416,14422.6,10.563,,,true,
throughput,square control (4096^3),4096,4096,4096,Float32,mul!,0.010540458,13039.182,19.1,,,true,
throughput,square control (4096^3),4096,4096,4096,f16in_f32out,mul!_mixed,0.009718291,14142.297,13.811,,,true,
permutedims,640x480x90x3,,,,Float16,permutedims,0.012261459,,27.06,,,true,
transfer,640x480x90x3,,,,Float16,host_to_device,0.004964708,,33.41,,,true,
transfer,640x480x90x3,,,,Float16,device_to_host,0.002303583,,72.01,,,true,
permutedims,640x480x90x3,,,,Float32,permutedims,0.015460375,,42.92,,,true,
transfer,640x480x90x3,,,,Float32,host_to_device,0.009966166,,33.29,,,true,
transfer,640x480x90x3,,,,Float32,device_to_host,0.004752458,,69.81,,,true,
accuracy,k=480,256,480,33,Float16,mul!,,,,0.0007371590889798694,0.00020904033700978465,true,
accuracy,k=480,256,480,33,Float32,mul!,,,,0.001215585022065541,1.4830030931299275e-5,true,
accuracy,k=480,256,480,33,f16in_f32out,mul!_mixed,,,,0.0009697021788322766,1.2491371553511946e-5,true,
accuracy,k=1800,256,1800,33,Float16,mul!,,,,0.027784167482659945,0.00044227440882392907,true,
accuracy,k=1800,256,1800,33,Float32,mul!,,,,0.004048517449284307,5.2169037931428575e-5,true,
accuracy,k=1800,256,1800,33,f16in_f32out,mul!_mixed,,,,0.027589658745437638,0.0003902379541020467,true,
accuracy,k=8192,256,8192,33,Float16,mul!,,,,0.009889229231291577,0.00023853566853361495,true,
accuracy,k=8192,256,8192,33,Float32,mul!,,,,0.04569635580843814,0.0005080037680402456,true,
accuracy,k=8192,256,8192,33,f16in_f32out,mul!_mixed,,,,0.010105757796735679,0.00011983608471938236,true,
cpu_control,640x4800x33 (1/27 scale),640,4800,33,Float16,*,0.003144375,64.481,,,,true,
cpu_control,640x4800x33 (1/27 scale),640,4800,33,Float32,*,0.000628833,322.426,,,,true,
cpu_control,640x4800x33 (1/27 scale),640,4800,33,Float64,*,0.001352375,149.923,,,,true,
