# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
# forced matrix-free branch (QDN_DENSE_BUDGET_BYTES = 0) so both settings meet the same solver at the same size
case,dims,valence,eltype,whiten,solver,r,restricted_rows,restricted_cols,applies,seconds,solve_seconds,whiten_seconds,sketch_seconds,lift_seconds,maxrss_GB,bytes,nullity,oracle_nullity,residual,uncertified,trivial_reinjected,status
sphere-v3-d200,"[200, 200, 200]",3,Float64,0,AutoSolver,"[26, 26, 26]",17576,15600,65182,25.107896,NaN,0.000000,0.014308,NaN,2.249969,157810738016,0,3,NaN,false,false,"error: "
sphere-v3-d200,"[200, 200, 200]",3,Float64,1,AutoSolver,"[26, 26, 26]",17576,15600,38262,18.427582,18.009261,0.009562,0.014643,0.220614,2.137497,95147554768,3,3,3.249287e-10,false,false,"ok"
sphere-v3-d200,"[200, 200, 200]",3,Float64,0,CGSolver,"[26, 26, 26]",17576,15600,24040,29.119239,28.996170,0.000000,0.032328,NaN,2.298859,61625847104,0,3,NaN,false,false,"ok"
sphere-v3-d100,"[100, 100, 100]",3,Float64,0,AutoSolver,"[19, 19, 19]",6859,5700,66900,94.822003,NaN,0.000000,0.002191,NaN,1.383377,56625233872,0,3,NaN,false,false,"error: "
sphere-v3-d200,"[200, 200, 200]",3,Float64,1,CGSolver,"[26, 26, 26]",17576,15600,72040,122.466328,122.294919,0.009428,0.015477,0.114658,2.754593,185540020512,0,3,NaN,true,false,"ok"
sphere-v3-d100,"[100, 100, 100]",3,Float64,1,AutoSolver,"[19, 19, 19]",6859,5700,34636,8.616525,8.518725,0.002267,0.001873,0.034110,1.163559,29837406352,3,3,7.795357e-11,false,false,"ok"
sphere-v3-d30,"[30, 30, 30]",3,Float64,0,AutoSolver,"[11, 11, 11]",1331,990,53632,2.522182,NaN,0.000000,0.000121,NaN,0.999023,7370852016,0,3,NaN,false,false,"error: "
sphere-v3-d30,"[30, 30, 30]",3,Float64,1,AutoSolver,"[11, 11, 11]",1331,990,23732,1.968770,1.962234,0.000255,0.000114,0.003437,0.983368,3301976240,3,3,2.825139e-13,false,false,"ok"
sphere-v3-d150,"[150, 150, 150]",3,Float64,0,AutoSolver,"[23, 23, 23]",12167,10350,177142,72.198577,NaN,0.000000,0.008501,NaN,1.549454,266041016064,0,3,NaN,false,false,"error: "
random-v3-d150,"[150, 150, 150]",3,Float64,0,AutoSolver,"[23, 23, 23]",12167,10350,14618,5.586249,5.442594,0.000000,0.007148,0.038856,1.392715,22670865264,2,2,4.562108e-15,false,false,"ok"
sphere-v3-d150,"[150, 150, 150]",3,Float64,1,AutoSolver,"[23, 23, 23]",12167,10350,39544,17.344124,17.164205,0.005799,0.006972,0.090672,1.725906,60781863936,3,3,1.698038e-12,false,false,"ok"
random-v3-d150,"[150, 150, 150]",3,Float64,1,AutoSolver,"[23, 23, 23]",12167,10350,10156,3.298583,3.171051,0.005474,0.006891,0.042865,1.231186,15984533312,2,2,9.123999e-15,false,false,"ok"
sphere-v3-d30,"[30, 30, 30]",3,Float64,0,CGSolver,"[11, 11, 11]",1331,990,168034,9.888676,9.883459,0.000000,0.000115,0.002957,1.062134,25575948240,2,3,8.839730e-09,true,false,"ok"
random-v3-d250,"[250, 250, 250]",3,Float64,0,AutoSolver,"[29, 29, 29]",24389,21750,22974,16.727121,16.264419,0.000000,0.029548,0.152955,2.442352,82037511904,2,2,2.552094e-14,false,false,"ok"
sphere-v3-d30,"[30, 30, 30]",3,Float64,1,CGSolver,"[11, 11, 11]",1331,990,53124,3.013537,3.007995,0.000220,0.000114,0.002886,1.040070,8097500528,3,3,1.903595e-12,false,false,"ok"
random-v3-d250,"[250, 250, 250]",3,Float64,1,AutoSolver,"[29, 29, 29]",24389,21750,15712,11.408624,10.946208,0.015779,0.029767,0.150094,2.409714,57025954192,2,2,6.067245e-15,false,false,"ok"
sphere-v3-d40,"[40, 40, 40]",3,Float64,0,AutoSolver,"[12, 12, 12]",1728,1440,55196,3.439788,NaN,0.000000,0.000197,NaN,0.990448,9678353264,0,3,NaN,false,false,"error: "
sphere-v3-d40,"[40, 40, 40]",3,Float64,1,AutoSolver,"[12, 12, 12]",1728,1440,30796,3.064987,3.053107,0.000370,0.000188,0.004329,1.015015,5468123040,3,3,1.227977e-12,false,false,"ok"
sphere-v3-d100,"[100, 100, 100]",3,Float64,0,CGSolver,"[19, 19, 19]",6859,5700,24040,4.574792,4.572386,0.000000,0.001668,NaN,1.341904,21671284032,0,3,NaN,false,false,"ok"
sphere-v3-d100,"[100, 100, 100]",3,Float64,1,CGSolver,"[19, 19, 19]",6859,5700,65348,14.128802,14.090153,0.002346,0.001758,0.024543,1.593399,59217212640,0,3,NaN,true,false,"ok"
sphere-v3-d150,"[150, 150, 150]",3,Float64,0,CGSolver,"[23, 23, 23]",12167,10350,24040,7.603516,7.595085,0.000000,0.006815,NaN,1.961563,38657794592,0,3,NaN,false,false,"ok"
