family,case,dims,valence,expected_final,T,seed,config,solver,restricted_nullity,final_nullity,certified,status,undecidable,near_null,rule,gap,selected,next_value,max_zlaw_resid,seconds,notes
sphere,sphere3-48,48x48x48,3,3,Float64,20260904,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.52391e+10,8.682e-18;2.464e-17;4.579e-17;4.961e-17;9.854e-17;2.006e-16;2.43e-16;3.155e-16;4.29e-16;6.281e-16;6.42e-16;9.741e-16;1.301e-15,4.48336e-05,7.66077e-14,11.303549,
sphere,sphere3-48,48x48x48,3,3,Float64,20260905,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.52901e+10,4.045e-18;1.616e-17;4.889e-17;7.135e-17;1.576e-16;1.791e-16;3.268e-16;3.346e-16;3.756e-16;4.718e-16;4.803e-16;7.719e-16;8.56e-16,4.49242e-05,1.88318e-13,3.127843,
sphere,sphere3-48,48x48x48,3,3,Float64,20260906,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.82678e+08,2.255e-17;4.146e-17;5.321e-17;1.651e-16;1.776e-16;3.356e-16;3.859e-16;4.843e-16;6.068e-16;6.244e-16;7.871e-16;8.782e-16;1.053e-15,5.02138e-07,1.71808e-10,5.344648,
sphere,sphere3-48,48x48x48,3,3,Float64,20260907,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,4.15132e+08,1.229e-18;2.369e-17;7.064e-17;1.059e-16;1.421e-16;1.805e-16;2.045e-16;2.812e-16;3.063e-16;6.054e-16;9.867e-16;1.084e-15;1.166e-15,7.37422e-07,2.70184e-10,2.841610,
sphere,sphere3-48,48x48x48,3,3,Float64,20260908,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,3.314e+06,4.754e-18;4.813e-17;5.342e-17;9.091e-17;9.097e-17;1.499e-16;2.347e-16;2.444e-16;2.456e-16;4.929e-16;5.808e-16;8.336e-16;9.19e-16,5.88685e-09,3.28043e-09,3.231140,
sphere,sphere3-48,48x48x48,3,3,Float64,20260909,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,8.40814e+08,7.04e-17;1.113e-16;1.459e-16;1.556e-16;1.843e-16;2.159e-16;2.556e-16;2.688e-16;4.527e-16;7.179e-16;7.185e-16;7.934e-16;8.012e-16,1.49359e-06,4.16149e-12,2.962280,
sphere,sphere3-48,48x48x48,3,3,Float32,20260904,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,28.9444,3.916e-8;4.553e-8;4.904e-8;6.194e-8;8.6e-8;9.604e-8;9.654e-8;1.035e-7;1.083e-7;1.51e-7;1.551e-7;2.283e-7;2.381e-7,2.76035e-05,0.00017293,7.320749,
sphere,sphere3-48,48x48x48,3,3,Float32,20260905,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,32.8105,3.6e-8;4.292e-8;9.968e-8;1.174e-7;1.205e-7;1.266e-7;1.518e-7;1.728e-7;1.791e-7;1.992e-7;2.215e-7;2.391e-7;2.989e-7,3.12906e-05,0.000176549,0.849983,
sphere,sphere3-48,48x48x48,3,3,Float32,20260906,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,22.8978,1.522e-8;2.193e-8;3.346e-8;3.784e-8;4.488e-8;6.641e-8;8.488e-8;1.533e-7;1.908e-7;2.057e-7;2.547e-7;2.564e-7;5.19e-7,2.1837e-05,0.000483964,1.568869,
sphere,sphere3-48,48x48x48,3,3,Float32,20260907,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,12.3949,2.21e-9;2.222e-8;2.371e-8;2.4e-8;5.333e-8;6.512e-8;7.201e-8;9.536e-8;1.09e-7;1.221e-7;1.264e-7;1.495e-7;2.41e-7,1.18207e-05,0.00709948,1.459497,
sphere,sphere3-48,48x48x48,3,3,Float32,20260908,mf-arpack,ArpackSolver,14,3,true,ok,0,0,gap,154.711,1.088e-8;2.995e-8;5.924e-8;6.172e-8;6.238e-8;6.926e-8;9.642e-8;1.108e-7;1.734e-7;1.738e-7;2.146e-7;2.496e-7;2.71e-7;2.97e-7,0.000147544,0.000103578,1.117473,
sphere,sphere3-48,48x48x48,3,3,Float32,20260909,mf-arpack,ArpackSolver,14,3,false,ok,0,0,threshold,88.1342,5.067e-9;2.3e-8;3.826e-8;3.834e-8;5.083e-8;6.0e-8;6.121e-8;7.578e-8;1.048e-7;1.367e-7;1.582e-7;2.121e-7;4.782e-7;8.078e-7,8.40513e-05,0.000110907,2.015098,
