# LiftCost: :lift-stage and total-time measurements around the _qdn_pair_tensor / lift-RHS sharing fix (F6/F7). One row per (tag, case); coordinates for bit-closeness live under coords/<tag>/.
tag,case,dims,valence,eltype,seconds,upload_seconds,sketch_seconds,whiten_seconds,restricted_seconds,solve_seconds,lift_seconds,filter_seconds,verify_seconds,restrict_ops_seconds,nullity,status
before,sphere-v3-d60,"(60, 60, 60)",3,Float64,0.533853,0.000000,0.000464,0.000918,0.004114,0.507515,0.009597,0.000073,0.002855,0.006712,3,"ok"
before,sphere-v3-d100,"(100, 100, 100)",3,Float64,1.637664,0.000000,0.001858,0.002283,0.022750,1.553966,0.033787,0.000066,0.011226,0.007431,3,"ok"
before,sphere-v3-d150,"(150, 150, 150)",3,Float64,8.745834,0.000000,0.007306,0.004859,0.088385,8.423585,0.163539,0.000070,0.031686,0.018265,3,"ok"
before,sphere-v4-d30,"(30, 30, 30, 30)",4,Float64,0.160233,0.000000,0.000888,0.000461,0.000226,0.129427,0.010667,0.000079,0.016073,0.001636,4,"ok"
before,sphere-v4-d50,"(50, 50, 50, 50)",4,Float64,0.196063,0.000000,0.006923,0.001252,0.001804,0.044328,0.049515,0.000074,0.087721,0.002666,4,"ok"
before,centroid3-random-60,"(60, 60, 60)",3,Float64,0.484606,0.000000,0.000415,0.000831,0.017858,0.460682,0.003647,0.000022,0.000668,0.000099,1,"ok"
before,video-160x120x30x3,"(160, 120, 30, 3)",4,Float32,0.530567,0.000000,0.001222,0.001900,0.001318,0.498016,0.011318,0.011119,0.004209,0.000240,3,"ok"
after,sphere-v3-d60,"(60, 60, 60)",3,Float64,0.523262,0.000001,0.000508,0.000883,0.003662,0.499061,0.011014,0.000071,0.002616,0.003847,3,"ok"
after,sphere-v3-d100,"(100, 100, 100)",3,Float64,1.711480,0.000000,0.001835,0.002121,0.020503,1.631185,0.035323,0.000072,0.009679,0.006915,3,"ok"
after,sphere-v3-d150,"(150, 150, 150)",3,Float64,8.751554,0.000000,0.006715,0.004947,0.066910,8.461135,0.158609,0.000065,0.030556,0.014632,3,"ok"
after,sphere-v4-d30,"(30, 30, 30, 30)",4,Float64,0.156891,0.000000,0.000851,0.000459,0.000198,0.129430,0.009316,0.000068,0.014615,0.001261,4,"ok"
after,sphere-v4-d50,"(50, 50, 50, 50)",4,Float64,0.183441,0.000000,0.006361,0.001231,0.000766,0.042524,0.042456,0.000064,0.085532,0.002866,4,"ok"
after,centroid3-random-60,"(60, 60, 60)",3,Float64,0.468947,0.000000,0.000397,0.000901,0.011192,0.452210,0.003160,0.000021,0.000601,0.000081,1,"ok"
after,video-160x120x30x3,"(160, 120, 30, 3)",4,Float32,0.534971,0.000000,0.001049,0.001716,0.001260,0.504646,0.010374,0.010381,0.004208,0.000188,3,"ok"
