# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
case,label,restricted_rows,restricted_cols,nv,seconds_f64,seconds_mixed,gram_s_f64,cholesky_s_f64,subspace_s_f64,ritz_s_f64,gram_s_mixed,cholesky_s_mixed,subspace_s_mixed,ritz_s_mixed,nullity_f64,nullity_mixed,oracle_nullity,worst_reldiff_at_oracle,worst_reldiff_overall
video10,"video-160x120x10x3",3300,3069,11,1.02821,0.287514,0.202401,0.256432,0.246005,0.323345,0.17746,0.0643909,0.0395961,0.00605392,0,0,3,7.76912e-07,0.0120765
video30,"video-160x120x30x3",3900,3589,11,1.29615,0.423466,0.314257,0.311456,0.282821,0.387591,0.263501,0.0980558,0.0539172,0.00797796,0,0,3,3.73552e-07,0.00638654
video60,"video-160x120x60x3",4620,4169,11,1.28143,0.57281,0.399996,0.314033,0.251018,0.316359,0.35836,0.13995,0.0652061,0.00928307,0,0,3,2.83002e-07,0.00856041
sphere100,"sphere-v3-d100",6859,5700,11,4.24284,2.55107,2.74492,1.01092,0.361459,0.12551,1.3708,0.557912,0.447692,0.0912299,0,0,3,6.69116e+07,1.12872e+08
sphere150,"sphere-v3-d150",12167,10350,11,21.5775,10.8248,15.8992,4.64704,0.824088,0.20717,7.36069,2.46245,0.705084,0.164479,0,0,3,1.83275e+08,2.80495e+08
video10,"video-160x120x10x3",3300,3069,11,0.538881,0.127011,0.111831,0.126639,0.129571,0.170697,0.076329,0.0297771,0.0180371,0.00283194,0,0,3,7.76912e-07,0.0120765
video30,"video-160x120x30x3",3900,3589,11,0.610131,0.196407,0.157319,0.153779,0.127924,0.171014,0.123177,0.0462801,0.0234189,0.00349903,0,0,3,3.73552e-07,0.00638654
video60,"video-160x120x60x3",4620,4169,11,0.713541,0.302144,0.233951,0.167777,0.133866,0.177878,0.196217,0.069943,0.0312889,0.00466609,0,0,3,2.83002e-07,0.00856041
sphere100,"sphere-v3-d100",6859,5700,21,1.73157,1.15339,1.07695,0.404356,0.184441,0.065747,0.580194,0.261813,0.220368,0.0523858,13,0,13,2.58063e-05,0.000142287
sphere150,"sphere-v3-d150",12167,10350,21,8.55068,4.66867,6.10328,1.89541,0.439823,0.112043,3.1302,1.01894,0.357155,0.09991,13,0,13,2.99184e-05,0.00011635
