# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
# 5-thread timings (bench/jl now pins 5 Julia + 5 OpenBLAS threads, 10G heap hint, 16 GB RSS kill); may be noisy if another agent held a bench/jl slot concurrently
case,label,solver,ncv,nv0,min_above,restricted_rows,restricted_cols,applies,seconds,solve_seconds,nullity,oracle_nullity,residual,certified,solver_status,nv_requests,status
video10,"video-160x120x10x3",ArpackSolver,0,0,0,3300,3069,7392,1.64496,1.59511,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",KrylovSolver,0,0,0,3300,3069,18874,4.73095,4.68353,3,3,3.14314e-05,true,ok,"[4, 8, 16]","ok"
video10,"video-160x120x10x3",LSMRSolver,0,0,0,3300,3069,6493664,671.026,670.99,3,3,1.56071e-07,false,capped,"[16, 32, 64, 128, 256, 512, 1024, 2048, 3069]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,0,0,3300,3069,7392,0.827057,0.80265,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",ArpackSolver,32,0,0,missing,missing,6022,0.520168,NaN,0,3,NaN,missing,ok,"[16]","error: "
video10,"video-160x120x10x3",ArpackSolver,256,0,0,3300,3069,7654,0.860998,0.838251,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,32,0,3300,3069,10386,1.48837,1.45606,3,3,2.83359e-05,true,ok,"[32, 64]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,0,4,3300,3069,7392,0.801963,0.779074,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",ArpackSolver,0,0,0,3900,3589,8002,1.01883,0.951935,3,3,1.00612e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",KrylovSolver,0,0,0,3900,3589,18490,2.52579,2.47181,3,3,4.62959e-05,true,ok,"[4, 8, 16]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,0,0,3300,3069,7392,0.774905,0.748482,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",KrylovSolver,0,0,0,3300,3069,18874,1.96578,1.94315,3,3,3.14314e-05,true,ok,"[4, 8, 16]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,0,0,3300,3069,7392,0.779799,0.758164,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",ArpackSolver,32,0,0,missing,missing,6022,0.503238,NaN,0,3,NaN,missing,ok,"[16]","error: "
video10,"video-160x120x10x3",ArpackSolver,64,0,0,3300,3069,7338,0.642498,0.62089,3,3,4.71125e-06,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",ArpackSolver,256,0,0,3300,3069,7654,0.843913,0.822408,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,32,0,3300,3069,10386,1.47681,1.452,3,3,2.83359e-05,true,ok,"[32, 64]","ok"
video10,"video-160x120x10x3",ArpackSolver,0,0,4,3300,3069,7392,0.772218,0.750773,3,3,2.03098e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",ArpackSolver,0,0,0,3900,3589,8002,0.992218,0.940353,3,3,1.00612e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",KrylovSolver,0,0,0,3900,3589,18490,2.33494,2.28402,3,3,4.62959e-05,true,ok,"[4, 8, 16]","ok"
video30,"video-160x120x30x3",ArpackSolver,0,0,0,3900,3589,8002,0.992804,0.938291,3,3,1.00612e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",ArpackSolver,32,0,0,missing,missing,5798,0.530489,NaN,0,3,NaN,missing,ok,"Int64[]","error: "
video30,"video-160x120x30x3",ArpackSolver,64,0,0,3900,3589,8160,0.88536,0.832873,3,3,5.43557e-06,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",ArpackSolver,256,0,0,3900,3589,8520,1.07511,1.02189,3,3,1.00612e-05,true,ok,"[16, 32]","ok"
video30,"video-160x120x30x3",ArpackSolver,0,32,0,3900,3589,10884,1.7188,1.66869,3,3,4.30294e-05,true,ok,"[32, 64]","ok"
video30,"video-160x120x30x3",ArpackSolver,0,0,4,3900,3589,8002,0.97399,0.920436,3,3,1.00612e-05,true,ok,"[16, 32]","ok"
video60,"video-160x120x60x3",ArpackSolver,0,0,0,4620,4169,7992,1.16023,1.0656,3,3,1.22161e-05,true,ok,"[16, 32]","ok"
video60,"video-160x120x60x3",KrylovSolver,0,0,0,4620,4169,18586,2.68964,2.59375,3,3,3.39617e-05,true,ok,"[4, 8, 16]","ok"
video60,"video-160x120x60x3",ArpackSolver,0,0,0,4620,4169,7992,1.17646,1.0821,3,3,1.22161e-05,true,ok,"[16, 32]","ok"
video60,"video-160x120x60x3",ArpackSolver,32,0,0,missing,missing,5716,0.611463,NaN,0,3,NaN,missing,ok,"Int64[]","error: "
video60,"video-160x120x60x3",ArpackSolver,64,0,0,4620,4169,8272,1.08731,0.994606,3,3,2.88415e-06,true,ok,"[16, 32]","ok"
video60,"video-160x120x60x3",ArpackSolver,256,0,0,4620,4169,8542,1.28921,1.19675,3,3,1.22161e-05,true,ok,"[16, 32]","ok"
