valence,d,T,forced,ncols,seconds,nullity,oracle,certified,lsq_err,zlaw_resid,status
3,30,Float64,gram,990,3.9986650943756104,3,3,true,5.965897614847497e-14,3.816748967310579e-15,ok
3,30,Float64,svd,990,0.42660999298095703,3,3,true,4.9108540521148445e-14,3.1457369828473263e-15,ok
3,30,Float32,gram,990,6.148478984832764,3,3,true,7.439758886333968e-5,1.793328124222171e-6,ok
3,30,Float32,svd,990,0.32739996910095215,3,3,true,1.0278213182180365e-5,1.8251074607178452e-6,ok
3,30,Float16,gram,990,1.795625925064087,3,3,false,0.9089789586913772,0.0003044093318749219,ok
3,30,Float16,svd,990,0.43477320671081543,3,3,false,0.9947499842126103,0.00036617525620386004,ok
3,60,Float64,gram,2700,0.2443561553955078,3,3,true,1.3754556983496705e-11,5.870096649214653e-13,ok
3,60,Float64,svd,2700,3.3451309204101562,3,3,true,8.620163488400812e-12,1.589503472034754e-12,ok
3,60,Float32,gram,2700,0.14803314208984375,3,3,false,0.0004919516159377757,4.990605702914763e-6,ok
3,60,Float32,svd,2700,2.0444071292877197,3,3,false,4.619318469041509e-5,8.616620107204653e-6,ok
3,60,Float16,gram,2700,0.13501501083374023,2,3,false,0.9987978738730277,5.8538491430226713e-5,ok
3,60,Float16,svd,2700,2.016554832458496,2,3,false,0.9987978738730277,0.0001571587345097214,ok
3,100,Float64,gram,5700,1.729111909866333,3,3,true,3.4967108372706767e-12,1.9174338108369262e-14,ok
3,100,Float64,svd,5700,25.73245096206665,3,3,true,2.7621669573056293e-13,5.800263302986556e-14,ok
3,100,Float32,gram,5700,0.8991491794586182,3,3,true,4.2934781766607266e-5,1.4824817299086135e-5,ok
3,100,Float32,svd,5700,16.639387130737305,3,3,true,0.0001432020653495817,4.5162545575294644e-5,ok
3,100,Float16,gram,5700,0.8699569702148438,2,3,false,0.9995807120058438,4.727345731225796e-5,ok
3,100,Float16,svd,5700,33.54505395889282,3,3,false,0.9995807120058438,0.000657173222862184,ok
4,20,Float64,gram,480,2.108649969100952,4,4,true,1.1493603245416284e-14,2.38709475160631e-15,ok
4,20,Float64,svd,480,0.07769513130187988,4,4,true,2.0238312674035888e-14,5.152322494522691e-15,ok
4,20,Float32,gram,480,1.8953478336334229,4,4,true,1.5527864623388808e-5,1.1001094435414416e-6,ok
4,20,Float32,svd,480,0.059751033782958984,4,4,true,0.0001113044059754647,1.889008217403898e-6,ok
4,20,Float16,gram,480,0.8431549072265625,3,4,false,0.9972137240554209,0.00012702748063020408,ok
4,20,Float16,svd,480,0.05354189872741699,3,4,false,0.9972137240554209,0.0001637171662878245,ok
4,40,Float64,gram,1120,0.3326117992401123,4,4,true,3.5497956645939064e-14,4.5884729615015136e-15,ok
4,40,Float64,svd,1120,0.6941719055175781,4,4,true,1.2562783354829064e-13,1.7007507899211312e-14,ok
4,40,Float32,gram,1120,0.2716989517211914,4,4,true,1.6483474435783494e-5,2.8556023607961833e-6,ok
4,40,Float32,svd,1120,0.4997880458831787,4,4,true,4.5422131159250175e-5,1.0239895345875993e-5,ok
4,40,Float16,gram,1120,0.2488851547241211,3,4,false,0.9997050780244711,6.777024827897549e-5,ok
4,40,Float16,svd,1120,0.4788529872894287,3,4,false,0.9997050780244711,0.00016899107140488923,ok
4,60,Float64,gram,1920,2.060922861099243,4,4,true,1.792590490631377e-13,7.866778754350123e-15,ok
4,60,Float64,svd,1920,3.6075539588928223,4,4,true,3.4696234625245633e-13,2.7145160104997368e-14,ok
4,60,Float32,gram,1920,1.83113694190979,4,4,true,0.00022960693673964897,6.662816304014996e-6,ok
4,60,Float32,svd,1920,2.695142984390259,4,4,true,0.00016569880275766287,1.470281586080091e-5,ok
4,60,Float16,gram,1920,1.9462289810180664,3,4,false,0.9998960430114977,5.865653292858042e-5,ok
4,60,Float16,svd,1920,2.920544147491455,3,4,false,0.9998960430114977,8.886110299499705e-5,ok
