d,solver,cfg,seconds,matvecs,converged,nbelow,l1,l2,l3,l4,threshold,l4_true
32,Arpack,nev=4;ncv=20;tol=0.0,0.9310,638,4,3,-2.705e-14,-1.448e-14,1.884e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=20;tol=1.0e-10,0.9678,600,4,3,-2.193e-14,-1.128e-14,-5.713e-16,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=20;tol=1.0e-8,2.0712,610,4,3,-1.668e-14,-9.085e-16,1.356e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=20;tol=1.0e-6,2.1684,626,4,3,-4.067e-15,9.090e-15,2.953e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=40;tol=0.0,1.2833,607,4,3,7.489e-15,1.699e-14,2.442e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=40;tol=1.0e-10,2.2266,601,4,3,-3.311e-14,-2.657e-14,5.910e-16,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=40;tol=1.0e-8,2.2545,599,4,3,3.422e-14,3.762e-14,3.999e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=4;ncv=40;tol=1.0e-6,2.5189,562,4,3,-1.233e-14,-1.547e-15,9.767e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=20;tol=0.0,3.0619,700,8,3,4.344e-15,4.656e-15,1.421e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=20;tol=1.0e-10,2.4381,604,8,3,-8.895e-15,-1.594e-15,2.040e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=20;tol=1.0e-8,2.2558,607,8,3,-5.840e-14,-5.472e-15,7.999e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=20;tol=1.0e-6,2.4585,588,8,3,7.456e-16,1.722e-15,6.807e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=40;tol=0.0,2.2218,614,8,3,-1.201e-14,-8.100e-15,-6.976e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=40;tol=1.0e-10,2.1190,545,8,3,-2.224e-14,-1.162e-14,-6.293e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=40;tol=1.0e-8,2.0084,534,8,3,-1.879e-14,-3.474e-15,6.363e-16,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=8;ncv=40;tol=1.0e-6,2.0076,503,8,3,1.197e-14,1.846e-14,1.949e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=33;tol=0.0,2.3423,624,16,3,-4.459e-15,5.638e-16,4.350e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=33;tol=1.0e-10,1.9798,539,16,3,-1.297e-14,1.492e-15,2.014e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=33;tol=1.0e-8,2.3356,541,16,3,-5.225e-15,2.234e-15,6.745e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=33;tol=1.0e-6,2.1802,507,16,3,-1.119e-14,-4.178e-15,6.329e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=66;tol=0.0,2.5224,531,16,3,-8.715e-15,3.354e-14,3.363e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=66;tol=1.0e-10,1.8456,473,16,3,-7.966e-15,-2.924e-15,4.839e-15,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=66;tol=1.0e-8,2.2569,467,16,3,8.092e-15,1.411e-14,1.798e-14,2.525e-01,1.026e-04,2.525e-01
32,Arpack,nev=16;ncv=66;tol=1.0e-6,1.7570,458,16,3,4.052e-15,1.954e-14,4.093e-14,2.525e-01,1.026e-04,2.525e-01
32,KK-Arnoldi,nev=4;kd=10;tol=1.0e-12,1.9941,407,1,1,-7.582e-16,2.525e-01,8.125e-01,9.256e-01,1.026e-04,2.525e-01
