d,seed,strategy,seconds,matvecs,nbelow,max_null_resid_rel,next_over_lmax,extra
32,1,Arpack nev4 ncv20 tol1e-10,17.123,683,3,5.18e-16,8.12e-05,
32,1,Arpack nev4 ncv64 tol1e-10,20.561,687,3,8.80e-16,8.12e-05,
32,1,Arpack nev4 ncv128 tol1e-10,24.267,723,3,5.68e-16,8.12e-05,
32,1,Arpack nev16 ncv33 tol1e-10,18.214,496,3,4.94e-16,8.12e-05,
32,1,Arpack nev16 ncv128 tol1e-10,18.963,444,3,8.65e-16,8.12e-05,
32,1,KK-Lanczos nev4 kd32 tol1e-10,8.015,213,1,5.62e-16,8.12e-05,
32,1,KK-Lanczos nev4 kd128 tol1e-10,7.484,181,1,5.20e-16,8.12e-05,
32,1,KK-Lanczos nev4 kd256 tol1e-10,10.585,257,2,2.45e-15,8.12e-05,
32,1,KK-Lanczos nev16 kd64 tol1e-10,15.992,369,3,9.39e-16,8.12e-05,
32,1,KK-deflated nev2 kd32 tol1e-10,37.635,743,3,3.60e-14,8.12e-05,4
32,1,KK-deflated nev4 kd64 tol1e-10,32.201,826,3,5.30e-16,8.12e-05,4
32,1,KK-block b2 nev4 kd64 tol1e-10,9.523,299,2,1.37e-15,8.12e-05,
32,1,KK-block b4 nev4 kd64 tol1e-10,17.320,429,3,1.34e-13,8.12e-05,
32,1,KK-block b4 nev4 kd128 tol1e-10,11.132,389,3,3.35e-14,8.12e-05,
32,1,KK-block b8 nev8 kd128 tol1e-10,7.294,689,3,1.12e-15,8.12e-05,
32,2,Arpack nev4 ncv20 tol1e-10,6.727,759,4,6.09e-07,NaN,
32,2,Arpack nev4 ncv64 tol1e-10,11.403,865,4,6.09e-07,NaN,
32,2,Arpack nev4 ncv128 tol1e-10,9.088,728,4,6.09e-07,NaN,
32,2,Arpack nev16 ncv33 tol1e-10,4.895,491,4,6.09e-07,4.57e-03,
32,2,Arpack nev16 ncv128 tol1e-10,2.118,443,4,6.09e-07,4.57e-03,
32,2,KK-Lanczos nev4 kd32 tol1e-10,0.904,201,2,6.09e-07,4.57e-03,
32,2,KK-Lanczos nev4 kd128 tol1e-10,1.517,181,2,6.09e-07,4.57e-03,
32,2,KK-Lanczos nev4 kd256 tol1e-10,2.503,360,4,6.09e-07,4.57e-03,
32,2,KK-Lanczos nev16 kd64 tol1e-10,1.610,392,4,6.09e-07,4.57e-03,
32,2,KK-deflated nev2 kd32 tol1e-10,5.409,769,4,6.09e-07,4.57e-03,4
32,2,KK-deflated nev4 kd64 tol1e-10,8.066,661,4,6.09e-07,4.57e-03,3
32,2,KK-block b2 nev4 kd64 tol1e-10,3.590,299,3,6.09e-07,4.57e-03,
32,2,KK-block b4 nev4 kd64 tol1e-10,7.379,429,4,6.09e-07,NaN,
32,2,KK-block b4 nev4 kd128 tol1e-10,6.268,389,4,6.09e-07,NaN,
32,2,KK-block b8 nev8 kd128 tol1e-10,11.295,689,4,6.09e-07,4.57e-03,
32,3,Arpack nev4 ncv20 tol1e-10,7.160,662,3,6.29e-16,3.40e-03,
32,3,Arpack nev4 ncv64 tol1e-10,6.322,648,3,8.80e-16,3.40e-03,
32,3,Arpack nev4 ncv128 tol1e-10,6.313,608,3,1.09e-15,3.40e-03,
32,3,Arpack nev16 ncv33 tol1e-10,8.397,423,3,7.77e-16,3.40e-03,
32,3,Arpack nev16 ncv128 tol1e-10,6.959,440,3,9.00e-16,3.40e-03,
32,3,KK-Lanczos nev4 kd32 tol1e-10,4.654,265,2,2.50e-14,3.40e-03,
32,3,KK-Lanczos nev4 kd128 tol1e-10,5.856,232,2,3.50e-14,3.40e-03,
32,3,KK-Lanczos nev4 kd256 tol1e-10,7.625,359,3,5.65e-16,3.40e-03,
32,3,KK-Lanczos nev16 kd64 tol1e-10,6.740,339,3,1.80e-15,3.40e-03,
32,3,KK-deflated nev2 kd32 tol1e-10,14.491,704,3,6.81e-16,3.40e-03,4
32,3,KK-deflated nev4 kd64 tol1e-10,12.281,634,3,1.70e-14,3.40e-03,3
32,3,KK-block b2 nev4 kd64 tol1e-10,5.622,273,2,7.41e-16,3.40e-03,
32,3,KK-block b4 nev4 kd64 tol1e-10,6.474,429,3,5.11e-15,3.40e-03,
32,3,KK-block b4 nev4 kd128 tol1e-10,2.370,389,3,1.94e-15,3.40e-03,
32,3,KK-block b8 nev8 kd128 tol1e-10,4.080,633,3,1.15e-14,3.40e-03,
32,4,Arpack nev4 ncv20 tol1e-10,8.117,1065,3,6.15e-16,2.20e-04,
32,4,Arpack nev4 ncv64 tol1e-10,10.006,988,3,6.88e-16,2.20e-04,
32,4,Arpack nev4 ncv128 tol1e-10,13.320,1428,3,7.66e-16,2.20e-04,
32,4,Arpack nev16 ncv33 tol1e-10,3.956,507,3,5.15e-16,2.20e-04,
32,4,Arpack nev16 ncv128 tol1e-10,4.233,445,3,9.40e-16,2.20e-04,
32,4,KK-Lanczos nev4 kd32 tol1e-10,2.315,202,1,9.72e-15,2.20e-04,
32,4,KK-Lanczos nev4 kd128 tol1e-10,1.631,181,1,3.44e-15,2.20e-04,
32,4,KK-Lanczos nev4 kd256 tol1e-10,3.416,359,3,9.68e-15,2.20e-04,
32,4,KK-Lanczos nev16 kd64 tol1e-10,4.261,391,3,4.95e-13,2.20e-04,
32,4,KK-deflated nev2 kd32 tol1e-10,9.613,808,3,4.17e-14,2.20e-04,4
32,4,KK-deflated nev4 kd64 tol1e-10,6.841,780,3,3.49e-15,2.20e-04,4
32,4,KK-block b2 nev4 kd64 tol1e-10,3.078,299,2,6.98e-15,2.20e-04,
32,4,KK-block b4 nev4 kd64 tol1e-10,5.316,513,3,7.89e-14,2.20e-04,
32,4,KK-block b4 nev4 kd128 tol1e-10,4.416,441,3,6.96e-14,2.20e-04,
32,4,KK-block b8 nev8 kd128 tol1e-10,5.392,745,3,1.55e-15,2.20e-04,
32,5,Arpack nev4 ncv20 tol1e-10,9.568,1197,2,6.96e-16,5.11e-06,
32,5,Arpack nev4 ncv64 tol1e-10,11.062,1312,3,9.44e-16,5.11e-06,
32,5,Arpack nev4 ncv128 tol1e-10,27.187,2484,3,7.78e-16,5.11e-06,
32,5,Arpack nev16 ncv33 tol1e-10,7.110,684,3,5.61e-16,5.11e-06,
32,5,Arpack nev16 ncv128 tol1e-10,6.886,639,3,1.07e-15,5.11e-06,
32,5,KK-Lanczos nev4 kd32 tol1e-10,1.974,293,1,1.78e-14,5.11e-06,
32,5,KK-Lanczos nev4 kd128 tol1e-10,1.908,285,1,5.87e-16,5.11e-06,
32,5,KK-Lanczos nev4 kd256 tol1e-10,1.431,257,1,6.04e-16,5.11e-06,
32,5,KK-Lanczos nev16 kd64 tol1e-10,2.350,397,2,5.79e-16,5.11e-06,
32,5,KK-deflated nev2 kd32 tol1e-10,8.025,1146,3,2.41e-13,5.11e-06,4
32,5,KK-deflated nev4 kd64 tol1e-10,10.654,1116,3,5.02e-14,5.11e-06,4
32,5,KK-block b2 nev4 kd64 tol1e-10,3.996,403,2,7.00e-14,5.11e-06,
