d,seed,solver,nv0,seconds,matvecs,nullity,max_null_resid_rel
32,32,ArpackSolver,4,0.818,563,3,8.256e-16
32,32,ArpackSolver,8,0.817,565,3,7.378e-16
32,32,ArpackSolver,16,0.640,470,3,9.580e-16
32,32,ArpackSolver,32,0.803,497,3,9.986e-16
32,32,KrylovSolver,4,0.624,471,3,1.356e-13
32,32,KrylovSolver,8,1.213,831,3,1.345e-15
32,32,KrylovSolver,16,2.470,1711,3,1.899e-15
32,32,KrylovSolver,32,3.844,2399,3,1.926e-15
32,5,ArpackSolver,4,0.918,659,3,8.163e-16
32,5,ArpackSolver,8,0.910,660,3,8.206e-16
32,5,ArpackSolver,16,0.883,661,3,9.860e-16
32,5,ArpackSolver,32,1.119,682,3,9.618e-16
32,5,KrylovSolver,4,0.777,523,3,2.364e-13
32,5,KrylovSolver,8,1.311,831,3,3.920e-15
32,5,KrylovSolver,16,2.609,1599,3,2.911e-15
32,5,KrylovSolver,32,3.607,2271,3,1.823e-15
40,40,ArpackSolver,4,1.954,572,3,6.380e-16
40,40,ArpackSolver,8,2.016,572,3,7.700e-16
40,40,ArpackSolver,16,2.030,571,3,7.984e-16
40,40,ArpackSolver,32,2.929,688,3,8.187e-16
40,40,KrylovSolver,4,1.718,523,3,4.339e-15
40,40,KrylovSolver,8,2.961,943,3,1.481e-15
40,40,KrylovSolver,16,6.369,2047,3,2.097e-15
40,40,KrylovSolver,32,14.223,2879,3,4.050e-15
40,5,ArpackSolver,4,3.287,665,3,1.086e-15
40,5,ArpackSolver,8,3.126,665,3,7.396e-16
40,5,ArpackSolver,16,3.726,665,3,1.005e-15
40,5,ArpackSolver,32,3.773,698,3,1.153e-15
40,5,KrylovSolver,4,2.869,575,3,6.835e-15
40,5,KrylovSolver,8,4.312,887,3,2.173e-14
40,5,KrylovSolver,16,8.906,1839,3,3.284e-15
40,5,KrylovSolver,32,15.910,2879,3,2.603e-15
