d,n,solver,seconds,bytes,rss_gb,nullity,lsq_err,matvecs,l4_over_lmax,status
24,900,ArpackSolver,0.271,815821408,1.677,3,3.193e-10,358,2.914e-04,"ok"
24,900,KrylovSolver,0.982,2375959304,1.677,3,5.850e-14,1311,2.914e-04,"ok"
24,900,SVDSolver,0.714,1708211504,1.677,3,5.101e-14,920,2.914e-04,"ok"
24,900,CGSolver,8.465,23150859696,1.677,3,7.350e-12,4821,2.914e-04,"ok"
32,1584,ArpackSolver,0.753,1752889704,1.677,3,8.107e-14,564,2.461e-03,"ok"
32,1584,KrylovSolver,2.810,6403267320,1.677,3,1.273e-13,1727,2.461e-03,"ok"
32,1584,SVDSolver,3.342,6137127200,1.677,3,7.605e-14,1604,2.461e-03,"ok"
32,1584,CGSolver,8.887,24838187120,1.677,3,1.055e-11,5730,2.461e-03,"ok"
40,2460,ArpackSolver,1.684,4027797992,1.677,3,7.221e-14,571,2.591e-03,"ok"
40,2460,KrylovSolver,6.299,14440055416,1.677,3,1.154e-13,2031,2.591e-03,"ok"
40,2460,SVDSolver,10.428,17756287552,1.872,3,5.170e-13,2480,2.591e-03,"ok"
40,2460,CGSolver,32.494,73422591000,1.872,3,6.091e-10,7229,2.591e-03,"ok"
48,3528,ArpackSolver,2.791,6447038408,1.872,3,8.392e-13,561,1.477e-04,"ok"
48,3528,KrylovSolver,9.680,21182570248,1.872,3,3.511e-13,1839,1.477e-04,"ok"
48,3528,SVDSolver,26.132,41393318496,2.242,3,7.401e-14,3548,1.477e-04,"ok"
56,4788,ArpackSolver,4.204,10060570552,2.246,4,1.106e-05,563,NaN,"ok"
56,4788,KrylovSolver,16.220,38405456856,2.251,4,2.019e-06,2271,NaN,"ok"
56,4788,SVDSolver,56.951,87200640384,2.433,4,1.046e-05,4808,NaN,"ok"
