d,seed,solver,seconds,bytes,rss_gb,nullity,lsq_err,support,status
32,1,ArpackSolver,0.687,1726901280,1.164,3,9.480e-14,1.000000,"ok"
32,1,KrylovSolver,2.085,5503837480,1.367,3,4.915e-13,1.000000,"ok"
32,2,ArpackSolver,0.496,1723221464,1.415,4,1.139e-06,1.000000,"ok"
32,2,KrylovSolver,2.182,6103615000,1.450,4,8.719e-06,1.000000,"ok"
32,3,ArpackSolver,0.492,1712050944,1.473,3,1.042e-13,1.000000,"ok"
32,3,KrylovSolver,2.226,5745499864,1.524,3,2.091e-13,1.000000,"ok"
32,4,ArpackSolver,0.510,1723188840,1.524,3,1.468e-12,1.000000,"ok"
32,4,KrylovSolver,2.303,6162687928,1.524,3,4.674e-13,1.000000,"ok"
32,5,ArpackSolver,0.798,2439726640,1.524,3,4.145e-14,1.000000,"ok"
32,5,KrylovSolver,2.169,5923658520,1.524,3,7.795e-14,1.000000,"ok"
36,1,ArpackSolver,1.129,2386444464,1.663,3,4.722e-14,1.000000,"ok"
36,1,KrylovSolver,3.469,7693908904,1.676,3,3.915e-12,1.000000,"ok"
36,2,ArpackSolver,1.114,2422804856,1.676,4,5.229e-06,1.000000,"ok"
36,2,KrylovSolver,3.984,8532009624,1.677,4,2.146e-06,1.000000,"ok"
36,3,ArpackSolver,1.219,2391579960,1.677,3,3.106e-14,1.000000,"ok"
36,3,KrylovSolver,6.099,9201162312,1.677,3,2.097e-13,1.000000,"ok"
36,4,ArpackSolver,1.170,2412374680,1.677,3,2.950e-14,1.000000,"ok"
36,4,KrylovSolver,5.593,10791271480,1.677,3,5.625e-14,1.000000,"ok"
36,5,ArpackSolver,1.111,2396778640,1.677,3,4.244e-14,1.000000,"ok"
36,5,KrylovSolver,3.893,8197389032,1.677,3,2.992e-13,1.000000,"ok"
40,1,ArpackSolver,1.779,3957720504,1.677,3,7.357e-14,1.000000,"ok"
40,1,KrylovSolver,5.947,13314463496,1.677,3,1.663e-13,1.000000,"ok"
40,2,ArpackSolver,1.655,3950735952,1.677,4,9.122e-06,1.000000,"ok"
40,2,KrylovSolver,5.035,11620645208,1.677,4,7.134e-06,1.000000,"ok"
40,3,ArpackSolver,1.694,3950702944,1.677,3,1.359e-12,1.000000,"ok"
40,3,KrylovSolver,7.229,13425923496,1.677,3,2.165e-13,1.000000,"ok"
40,4,ArpackSolver,1.462,3255964680,1.677,3,3.670e-14,1.000000,"ok"
40,4,KrylovSolver,7.210,14104387464,1.677,3,2.181e-12,1.000000,"ok"
40,5,ArpackSolver,2.056,4680529184,1.677,3,1.292e-13,1.000000,"ok"
40,5,KrylovSolver,6.245,13203015672,1.677,3,1.469e-12,1.000000,"ok"
