# QuickDer CPU vs Apple GPU (Metal), Float32 throughout, 5 Julia threads via bench/jl.
# Seconds are wall clock; stage columns come from Dleto.QDN_STAGE_TIMES. gram/cholesky/subspace/ritz are parts of `solve`.
case,kind,dims,device,seconds,nullity,oracle,lsq_err,upload_s,sketch_s,restricted_s,solve_s,gram_s,cholesky_s,subspace_s,ritz_s,lift_s,filter_s,verify_s,restrict_ops_s,maxrss_GB,status
v3-random-d100,random,"100x100x100",cpu,0.670504166,2,2,NaN,0.0,0.0013020038604736328,0.002380847930908203,0.6549711227416992,0.4273059368133545,0.13677597045898438,0.05347108840942383,0.00799703598022461,0.008932828903198242,1.71661376953125e-5,0.00191497802734375,0.0001552104949951172,1.810150146484375,"ok"
v3-random-d100,random,"100x100x100",gpu,0.460109958,2,2,NaN,0.0011429786682128906,0.002299070358276367,0.0031888484954833984,0.29567909240722656,0.061383962631225586,0.13489699363708496,0.053299903869628906,0.0038840770721435547,0.007730960845947266,2.193450927734375e-5,0.14696192741394043,0.0001010894775390625,2.095977783203125,"ok"
v3-random-d200,random,"200x200x200",cpu,11.288505333,2,2,NaN,0.0,0.008629798889160156,0.015201091766357422,11.17575192451477,8.059454917907715,2.519521951675415,0.39280200004577637,0.04585599899291992,0.07413315773010254,2.193450927734375e-5,0.012042045593261719,0.00039696693420410156,4.65252685546875,"ok"
v3-random-d200,random,"200x200x200",gpu,4.291990916,2,2,NaN,0.0036499500274658203,0.007925987243652344,0.014990091323852539,4.01575779914856,0.8607330322265625,2.4983270168304443,0.3869059085845947,0.01906299591064453,0.03974509239196777,2.4080276489257812e-5,0.14860916137695312,0.05612778663635254,6.973541259765625,"ok"
v4-random-100c3,random,"100x100x100x3",cpu,0.1501255,3,3,NaN,9.5367431640625e-7,0.002724885940551758,0.001116037368774414,0.1177370548248291,0.06277179718017578,0.025951147079467773,0.017607927322387695,0.002540111541748047,0.02087092399597168,2.193450927734375e-5,0.006606101989746094,0.00016188621520996094,6.973541259765625,"ok"
v4-random-100c3,random,"100x100x100x3",gpu,0.127631542,3,3,NaN,0.0018379688262939453,0.00463414192199707,0.0010488033294677734,0.08095812797546387,0.022810935974121094,0.02635812759399414,0.01747894287109375,0.002713918685913086,0.02240896224975586,2.4080276489257812e-5,0.013361930847167969,0.00015115737915039062,6.973541259765625,"ok"
v3-sphere-d100,sphere,"100x100x100",cpu,0.703456583,1,3,0.0009612738374702639,0.0,0.0011410713195800781,0.002385854721069336,0.6574270725250244,0.4321298599243164,0.13631200790405273,0.052911996841430664,0.00799703598022461,0.0256960391998291,5.698204040527344e-5,0.006054878234863281,0.003885984420776367,6.973541259765625,"ok"
v3-sphere-d100,sphere,"100x100x100",gpu,0.587680709,0,3,NaN,0.0009760856628417969,0.001764059066772461,0.0025119781494140625,0.3020749092102051,0.06433582305908203,0.13271498680114746,0.0522310733795166,0.007009983062744141,0.025734901428222656,5.221366882324219e-5,0.24617290496826172,0.003793954849243164,6.973541259765625,"error: no nontrivial derivations"
v3-sphere-d200,sphere,"200x200x200",cpu,11.479382166,2,3,0.0007313165511495312,0.0,0.008812904357910156,0.014475107192993164,11.166186094284058,8.066534042358398,2.52082896232605,0.3784670829772949,0.04532980918884277,0.1986229419708252,5.793571472167969e-5,0.030969858169555664,0.0184481143951416,6.973541259765625,"ok"
v3-sphere-d200,sphere,"200x200x200",gpu,4.278688042,2,3,0.0008364904568325701,0.0032358169555664062,0.00450897216796875,0.015521049499511719,3.9767348766326904,0.8497819900512695,2.464988946914673,0.38856005668640137,0.019498109817504883,0.1914210319519043,5.507469177246094e-5,0.027380943298339844,0.011587858200073242,7.548553466796875,"ok"
v4-random-200c3,random,"200x200x100x3",cpu,1.389544,3,3,NaN,0.0,0.01036381721496582,0.0050852298736572266,1.2195398807525635,0.8093738555908203,0.2733480930328369,0.08386802673339844,0.010530948638916016,0.13083600997924805,2.5987625122070312e-5,0.021226882934570312,0.00032711029052734375,7.548553466796875,"ok"
v4-random-200c3,random,"200x200x100x3",gpu,0.615024417,3,3,NaN,0.004540920257568359,0.006927967071533203,0.004472017288208008,0.5285358428955078,0.10654687881469727,0.2726171016693115,0.08478093147277832,0.00415802001953125,0.05464816093444824,2.5987625122070312e-5,0.011342048645019531,0.00031495094299316406,7.548553466796875,"ok"
v3-random-d300,random,"300x300x300",cpu,59.869344292,2,2,NaN,0.0,0.036802053451538086,0.18915200233459473,59.34388995170593,43.51000499725342,14.044158935546875,1.226215124130249,0.13079500198364258,0.25425004959106445,2.193450927734375e-5,0.0394129753112793,0.0007882118225097656,10.511306762695312,"ok (single pass: memory)"
v3-random-d300,random,"300x300x300",gpu,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"skipped: estimated 12.4 GB"
