# 2-thread timings (bench/jl pins 2 Julia + 2 OpenBLAS threads); may be
# noisy if another agent held the other bench/jl slot concurrently
d,seed,valence,config,seconds,bytes,nullity,lsq_err,perm_ok,status
10,10,4,QuickDer/random,0.011604,25258816,4,4.092481e-14,true,"ok"
10,10,4,QuickDer/corner,0.011092,22808720,4,1.095394e-13,true,"ok"
10,10,4,SylverLining/Arpack,0.049883,2797712,4,1.228070e-13,true,"ok"
10,10,4,QuickDer/random,0.011552,25258816,4,4.092481e-14,true,"ok"
10,10,4,QuickDer/corner,0.010975,22808720,4,1.095394e-13,true,"ok"
10,10,4,SylverLining/Arpack,0.083369,4204048,4,1.768213e-13,true,"ok"
16,16,4,QuickDer/random,0.030875,85062192,4,3.938522e-14,true,"ok"
16,16,4,QuickDer/corner,0.028260,75260992,4,5.909038e-14,true,"ok"
16,16,4,SylverLining/Arpack,0.870590,13402080,4,2.732931e-14,true,"ok"
20,20,4,QuickDer/random,0.082791,199416112,4,4.697607e-14,true,"ok"
20,20,4,QuickDer/corner,0.077727,176794816,4,1.815846e-14,true,"ok"
20,20,4,SylverLining/Arpack,2.451862,25960992,4,5.078738e-14,true,"ok"
24,24,4,QuickDer/random,0.139870,306522768,4,5.295273e-13,true,"ok"
24,24,4,QuickDer/corner,0.130708,266314336,4,1.208738e-12,true,"ok"
24,24,4,SylverLining/Arpack,7.705047,47823456,4,6.655028e-13,true,"ok"
30,30,4,QuickDer/random,0.237646,591173120,4,1.644925e-13,true,"ok"
30,30,4,QuickDer/corner,0.221785,506728976,4,3.603818e-14,true,"ok"
30,30,4,SylverLining/Arpack,23.681740,110428416,4,2.501307e-13,true,"ok"
40,40,4,QuickDer/random,0.822164,1769938912,4,6.618720e-14,true,"ok"
40,40,4,QuickDer/corner,0.840842,1475316400,4,4.102221e-14,true,"ok"
50,50,4,QuickDer/random,1.770010,3805920896,4,7.270997e-11,true,"ok"
50,50,4,QuickDer/corner,920.575753,3250667856,4,1.552864e-11,true,"ok"
