# 2-thread timings (bench/jl pins 2 Julia + 2 OpenBLAS threads); may be
# noisy if another agent held the other bench/jl slot concurrently
H,W,F,T,seconds,bytes,maxrss_bytes,nullity,residual,restriction_sizes,status
30,30,30,Float32,0.056760,33408688,921796608,3,4.428340e-07,"[6, 6, 6, 3]","ok"
50,50,50,Float32,0.240943,127518112,1034665984,3,8.996497e-07,"[8, 7, 7, 3]","ok"
64,64,64,Float32,0.656450,298171376,1163689984,3,9.063955e-07,"[9, 8, 8, 3]","ok"
80,80,80,Float32,1.673445,586287904,1349550080,3,8.273119e-07,"[10, 9, 9, 3]","ok"
100,100,100,Float32,4.109819,1134784352,1716420608,3,1.038323e-06,"[11, 10, 10, 3]","ok"
30,30,30,Float64,0.122470,50573792,902021120,3,7.173404e-16,"[6, 6, 6, 3]","ok"
50,50,50,Float64,0.511050,189777152,1057718272,3,1.640471e-15,"[8, 7, 7, 3]","ok"
64,64,64,Float64,1.527749,437186192,1225539584,3,1.577493e-15,"[9, 8, 8, 3]","ok"
80,80,80,Float64,3.947984,780374160,1607745536,3,1.575547e-15,"[10, 9, 9, 3]","ok"
100,100,100,Float64,9.899878,1621703072,2217934848,3,1.941441e-15,"[11, 10, 10, 3]","ok"
