# bench/SylverMetalBench.jl -- sylvesterLM :array (5 CPU threads) vs :metal (M4 Max), Float32.
# `apply` rows: one apply, minimum over the repeats named in `note`, which also carries the
#   1-minute load average at measurement time.  THE BOX WAS SHARED: rows with loadavg >= 12 are
#   from a contended first pass and are up to 2.4x slow; the loadavg 6-7 rows are the ones to
#   read (and are the ones quoted in BOARD.md's sylver-metal entry).
# `e2e` rows: der(:SylverLining, Ω, ch, Γ; tol=1e-4, solver=:ArpackSolver); `applies` is the map
#   application count recovered from the progress tracker; `residual` is the Z-law residual.
# device_mb = Metal.device().currentAllocatedSize gained while the maps existed (0 or noise on CPU).
section,case,dims,valence,backend,what,seconds,bytes,applies,nullity,residual,device_mb,rss_mb,note
apply,100x100x100x3,100x100x100x3,4,array,ester,0.021488666,256,,,,0.0,950.6,min-of-12 loadavg=15.8
apply,100x100x100x3,100x100x100x3,4,array,sylve,0.025005666,704,,,,0.0,951.2,min-of-12 loadavg=15.8
apply,100x100x100x3,100x100x100x3,4,array,sylvester,0.049512125,512,,,,0.0,951.2,min-of-12 loadavg=15.8
apply,100x100x100x3,100x100x100x3,4,metal,ester,0.0046545,32688,,,,70.4,1074.1,min-of-12 loadavg=14.4
apply,100x100x100x3,100x100x100x3,4,metal,sylve,0.004967416,27888,,,,70.4,1074.1,min-of-12 loadavg=14.4
apply,100x100x100x3,100x100x100x3,4,metal,sylvester,0.005021,57968,,,,70.4,1074.1,min-of-12 loadavg=14.4
apply,200x200x100x3,200x200x100x3,4,array,ester,0.099706208,256,,,,0.0,1628.6,min-of-12 loadavg=14.1
apply,200x200x100x3,200x200x100x3,4,array,sylve,0.131509334,704,,,,0.0,1628.6,min-of-12 loadavg=14.1
apply,200x200x100x3,200x200x100x3,4,array,sylvester,0.220483084,512,,,,0.0,1628.6,min-of-12 loadavg=13.7
apply,200x200x100x3,200x200x100x3,4,metal,ester,0.019719958,32704,,,,275.4,1722.7,min-of-12 loadavg=13.7
apply,200x200x100x3,200x200x100x3,4,metal,sylve,0.01857325,27600,,,,275.4,1722.7,min-of-12 loadavg=13.7
apply,200x200x100x3,200x200x100x3,4,metal,sylvester,0.020803833,57712,,,,275.4,1722.7,min-of-12 loadavg=13.7
apply,200^3,200x200x200,3,array,ester,0.081888125,192,,,,0.0,1722.7,min-of-12 loadavg=13.2
apply,200^3,200x200x200,3,array,sylve,0.067055084,640,,,,0.0,1722.7,min-of-12 loadavg=13.2
apply,200^3,200x200x200,3,array,sylvester,0.144351792,384,,,,0.0,1722.7,min-of-12 loadavg=12.6
apply,200^3,200x200x200,3,metal,ester,0.009738417,21440,,,,153.6,1737.3,min-of-12 loadavg=12.6
apply,200^3,200x200x200,3,metal,sylve,0.011796209,18240,,,,153.6,1737.3,min-of-3 loadavg=12.6
apply,200^3,200x200x200,3,metal,sylvester,0.006205958,36656,,,,153.6,1737.3,min-of-12 loadavg=12.6
apply,400^3,400x400x400,3,array,ester,0.738202584,192,,,,0.0,4397.7,min-of-6 loadavg=12.3
apply,400^3,400x400x400,3,array,sylve,0.842657291,640,,,,0.0,4397.7,min-of-6 loadavg=12.5
apply,400^3,400x400x400,3,array,sylvester,2.132914917,384,,,,0.0,4397.7,min-of-5 loadavg=14.0
apply,400^3,400x400x400,3,metal,ester,0.035940166,20768,,,,1224.5,4405.2,min-of-6 loadavg=14.0
apply,400^3,400x400x400,3,metal,sylve,0.033505875,18528,,,,1224.5,4405.2,min-of-6 loadavg=14.0
apply,400^3,400x400x400,3,metal,sylvester,0.085235167,36672,,,,1224.5,4405.2,min-of-6 loadavg=15.5
apply,300x300x300x3,300x300x300x3,4,array,ester,1.140345375,256,,,,0.0,4853.1,min-of-6 loadavg=12.7
apply,300x300x300x3,300x300x300x3,4,array,sylve,1.160375834,704,,,,0.0,4853.7,min-of-3 loadavg=34.6
apply,300x300x300x3,300x300x300x3,4,array,sylvester,2.089248125,512,,,,0.0,4853.7,min-of-6 loadavg=29.0
apply,300x300x300x3,300x300x300x3,4,metal,ester,0.094806,33168,,,,1857.4,5169.4,min-of-6 loadavg=24.6
apply,300x300x300x3,300x300x300x3,4,metal,sylve,0.164268292,27888,,,,1857.4,5169.4,min-of-6 loadavg=23.6
apply,300x300x300x3,300x300x300x3,4,metal,sylvester,0.443479209,58016,,,,1857.4,5169.4,min-of-6 loadavg=23.6
e2e,100x100x100x3,100x100x100x3,4,array,ArpackSolver,371.828,,2252,3,8.345958850166729e-7,0.0,1478.9,tol=0.0001
