d,T,solver,eigtol,nev,seconds,applications,iterations,converged,opnorm,n_below_1e-6,n_below_1e-4,lam1,lam2,lam3,lam4,lam5
20,Float32,Arpack,0e+00,16,0.664,332,26,16,8.875e+01,3,3,3.77e-08,5.87e-08,6.38e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-07,16,0.193,339,27,16,8.875e+01,3,3,1.61e-08,5.07e-08,6.46e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-06,16,0.198,318,25,16,8.875e+01,3,3,2.82e-08,5.09e-08,6.20e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-05,16,0.216,305,24,16,8.875e+01,3,3,1.10e-08,2.55e-08,5.60e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-04,16,0.176,283,22,16,8.875e+01,3,3,1.21e-08,1.71e-08,7.36e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-03,16,0.193,251,19,16,8.875e+01,3,3,8.33e-09,1.50e-08,5.19e-08,4.93e-03,8.52e-03
20,Float32,Arpack,1e-02,16,0.154,240,19,16,8.875e+01,3,3,2.52e-08,6.52e-08,9.42e-08,4.93e-03,8.52e-03
20,Float32,KrylovKit,1e-08,16,1.187,761,57,19,8.875e+01,3,3,1.73e-07,2.43e-07,3.93e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,1e-06,16,0.275,313,26,16,8.875e+01,3,3,8.20e-14,1.38e-07,1.90e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,1e-04,16,0.172,274,24,16,8.875e+01,3,3,6.93e-09,1.81e-08,1.91e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,1e-02,16,0.202,225,19,17,8.875e+01,3,3,3.36e-10,1.50e-08,1.75e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,1e-01,16,0.145,203,17,17,8.875e+01,3,3,1.32e-17,1.72e-07,2.50e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,9e-06,16,0.255,302,27,16,8.875e+01,3,3,2.68e-17,1.64e-07,2.68e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,9e-05,16,0.150,277,24,16,8.875e+01,3,3,2.68e-17,1.63e-07,2.39e-07,4.93e-03,8.52e-03
20,Float32,KrylovKit,9e-04,16,0.241,261,23,16,8.875e+01,3,3,3.39e-08,1.06e-07,2.09e-07,4.93e-03,8.52e-03
30,Float32,Arpack,0e+00,16,1.063,376,29,16,1.261e+02,3,3,1.48e-09,4.88e-09,2.44e-08,7.20e-03,1.33e-02
30,Float32,Arpack,1e-07,16,1.289,408,33,16,1.261e+02,3,3,1.80e-10,3.63e-08,8.55e-08,7.20e-03,1.33e-02
30,Float32,Arpack,1e-06,16,0.970,359,28,16,1.261e+02,3,3,8.74e-09,2.50e-08,3.44e-08,7.20e-03,1.33e-02
30,Float32,Arpack,1e-05,16,1.091,345,27,16,1.261e+02,3,3,7.68e-09,4.77e-08,6.68e-08,7.20e-03,1.33e-02
