d,N,map_T,eigen_T,densify_s,eigen_s,lam_max,lam1_rel,lam2_rel,lam3_rel,lam4_rel,lam5_rel,gap_ratio_4_over_3,gap_rel
20,630,Float64,Float64,0.63,0.06,8.8860e+01,2.702e-16,6.251e-16,1.120e-15,4.920e-03,8.510e-03,4.395e+12,4.920e-03
20,630,Float32,Float32,0.54,0.06,8.8860e+01,1.309e-07,3.708e-07,4.508e-07,4.920e-03,8.509e-03,1.091e+04,4.919e-03
20,630,Float32,Float64,0.54,0.03,8.8860e+01,8.638e-10,9.654e-09,1.296e-08,4.920e-03,8.510e-03,3.796e+05,4.920e-03
30,1395,Float64,Float64,5.42,0.64,1.2682e+02,1.658e-17,4.462e-16,7.267e-16,7.160e-03,1.321e-02,9.854e+12,7.160e-03
30,1395,Float32,Float32,4.10,0.46,1.2682e+02,1.295e-08,7.122e-08,1.696e-07,7.160e-03,1.321e-02,4.222e+04,7.160e-03
30,1395,Float32,Float64,4.10,0.86,1.2682e+02,1.185e-09,2.821e-09,4.074e-09,7.160e-03,1.321e-02,1.757e+06,7.160e-03
40,2460,Float64,Float64,27.51,3.71,1.6388e+02,8.363e-16,9.720e-16,1.131e-15,2.591e-03,3.543e-03,2.292e+12,2.591e-03
40,2460,Float32,Float32,21.03,1.99,1.6388e+02,2.322e-07,3.667e-07,6.229e-07,2.591e-03,3.543e-03,4.161e+03,2.591e-03
40,2460,Float32,Float64,21.03,3.86,1.6388e+02,2.528e-09,5.416e-09,7.317e-09,2.591e-03,3.543e-03,3.541e+05,2.591e-03
50,3825,Float64,Float64,55.28,11.08,1.6591e+02,7.365e-16,1.405e-15,1.569e-15,1.197e-08,5.412e-05,7.626e+06,1.197e-08
50,3825,Float32,Float32,39.20,4.09,1.6591e+02,6.057e-08,2.839e-07,3.338e-07,5.210e-07,5.485e-05,1.561e+00,1.872e-07
50,3825,Float32,Float64,39.20,8.11,1.6591e+02,6.230e-10,3.781e-09,5.486e-09,6.972e-09,5.413e-05,1.271e+00,1.487e-09
