d,T,tol,nv,seconds,applications,opnorm,n_below_1e-6,n_below_1e-4,lam1,lam2,lam3,lam4,lam5
20,Float32,1e-10,16,6.129,1772,8.875e+01,0,1,4.93e-06,NaN,NaN,NaN,NaN
20,Float32,1e-06,16,0.798,1368,8.875e+01,1,1,3.35e-09,NaN,NaN,NaN,NaN
20,Float32,1e-04,16,0.859,1335,8.875e+01,1,1,3.32e-09,NaN,NaN,NaN,NaN
20,Float32,1e-03,16,0.976,1561,8.875e+01,1,3,1.80e-08,1.20e-06,1.30e-06,NaN,NaN
20,Float32,1e-02,16,0.392,702,8.875e+01,3,3,7.25e-08,9.51e-08,7.06e-07,4.93e-03,8.52e-03
30,Float32,1e-10,16,3.669,2183,1.261e+02,0,1,4.35e-05,NaN,NaN,NaN,NaN
30,Float32,1e-06,16,3.613,2183,1.261e+02,0,1,4.35e-05,NaN,NaN,NaN,NaN
30,Float32,1e-04,16,2.934,1808,1.261e+02,1,1,3.00e-09,NaN,NaN,NaN,NaN
30,Float32,1e-03,16,3.433,1992,1.261e+02,1,1,3.99e-07,NaN,NaN,NaN,NaN
30,Float32,1e-02,16,3.025,1742,1.261e+02,1,3,2.29e-08,1.88e-06,2.51e-06,NaN,NaN
20,Float64,1e-10,16,7.156,4281,8.886e+01,3,3,3.00e-17,8.51e-16,1.57e-14,4.92e-03,8.51e-03
20,Float64,1e-06,16,0.999,1439,8.886e+01,3,3,3.47e-17,4.94e-17,5.16e-17,4.92e-03,8.51e-03
30,Float64,1e-10,16,5.041,4034,1.268e+02,3,3,2.62e-16,3.59e-16,6.10e-15,7.16e-03,1.32e-02
30,Float64,1e-06,16,2.511,2026,1.268e+02,3,3,6.86e-16,6.88e-16,1.96e-14,7.16e-03,1.32e-02
