d,T,solver,seed,seconds,bytes,nullity,lsq_err,status
20,Float64,ArpackSolver,20,0.184,559594896,3,1.358e-12,"ok"
20,Float64,KrylovSolver,20,0.286,435387992,3,4.092e-14,"ok"
20,Float64,ArpackSolver,1020,0.193,558468856,3,2.427e-14,"ok"
20,Float64,KrylovSolver,1020,0.223,436086128,3,1.824e-10,"ok"
20,Float64,ArpackSolver,2020,0.152,478520016,3,2.221e-14,"ok"
20,Float64,KrylovSolver,2020,0.259,380140136,3,3.161e-14,"ok"
20,Float64,ArpackSolver,3020,0.144,461629416,3,1.355e-14,"ok"
20,Float64,KrylovSolver,3020,0.172,367011344,3,5.901e-11,"ok"
20,Float32,ArpackSolver,20,0.132,241517864,3,1.121e-05,"ok"
20,Float32,KrylovSolver,20,0.266,299319008,3,3.480e-05,"ok"
20,Float32,ArpackSolver,1020,0.123,249944648,3,9.977e-06,"ok"
20,Float32,KrylovSolver,1020,0.303,360966232,3,5.307e-05,"ok"
20,Float32,ArpackSolver,2020,0.123,217642712,3,1.366e-05,"ok"
20,Float32,KrylovSolver,2020,0.358,428895072,3,1.098e-05,"ok"
20,Float32,ArpackSolver,3020,0.103,207109472,3,1.622e-04,"ok"
20,Float32,KrylovSolver,3020,0.235,291301816,3,6.952e-05,"ok"
