d,store_T,compute_T,solver,seconds,nullity,lsq_err,support,status,gamma_rounding_relerr
20,Float16,Float32,SVDSolver,0.204,3,1.967e-04,1.000000,"ok",2.056e-04
20,Float16,Float32,ArpackSolver,0.079,3,1.968e-04,1.000000,"ok",2.056e-04
20,Float16,Float64,SVDSolver,0.256,3,1.966e-04,1.000000,"ok",2.056e-04
20,Float16,Float64,ArpackSolver,0.136,3,1.966e-04,1.000000,"ok",2.056e-04
20,Float32,Float32,SVDSolver,0.188,3,1.020e-05,1.000000,"ok",2.551e-08
20,Float32,Float32,ArpackSolver,0.080,3,8.263e-06,1.000000,"ok",2.551e-08
20,Float32,Float64,SVDSolver,0.238,3,2.441e-08,1.000000,"ok",2.551e-08
20,Float32,Float64,ArpackSolver,0.125,3,2.441e-08,1.000000,"ok",2.551e-08
20,Float64,Float64,SVDSolver,0.233,3,5.305e-14,1.000000,"ok",0.000e+00
20,Float64,Float64,ArpackSolver,0.122,3,1.204e-14,1.000000,"ok",0.000e+00
30,Float16,Float32,SVDSolver,1.128,3,2.067e-04,1.000000,"ok",2.071e-04
30,Float16,Float32,ArpackSolver,0.217,3,2.016e-04,1.000000,"ok",2.071e-04
30,Float16,Float64,SVDSolver,1.604,3,2.011e-04,1.000000,"ok",2.071e-04
30,Float16,Float64,ArpackSolver,0.426,3,2.011e-04,1.000000,"ok",2.071e-04
30,Float32,Float32,SVDSolver,1.103,3,1.934e-05,1.000000,"ok",2.531e-08
30,Float32,Float32,ArpackSolver,0.221,3,8.143e-06,1.000000,"ok",2.531e-08
30,Float32,Float64,SVDSolver,1.572,3,2.460e-08,1.000000,"ok",2.531e-08
30,Float32,Float64,ArpackSolver,0.383,3,2.460e-08,1.000000,"ok",2.531e-08
30,Float64,Float64,SVDSolver,1.568,3,4.194e-14,1.000000,"ok",0.000e+00
30,Float64,Float64,ArpackSolver,0.363,3,7.716e-13,1.000000,"ok",0.000e+00
40,Float16,Float32,SVDSolver,4.317,3,2.042e-04,1.000000,"ok",2.068e-04
40,Float16,Float32,ArpackSolver,0.516,3,2.035e-04,1.000000,"ok",2.068e-04
40,Float16,Float64,SVDSolver,6.619,3,2.027e-04,1.000000,"ok",2.068e-04
40,Float16,Float64,ArpackSolver,1.013,3,2.027e-04,1.000000,"ok",2.068e-04
40,Float32,Float32,SVDSolver,4.332,3,7.027e-04,1.000000,"ok",2.534e-08
40,Float32,Float32,ArpackSolver,0.465,3,2.266e-05,1.000000,"ok",2.534e-08
40,Float32,Float64,SVDSolver,6.773,3,2.484e-08,1.000000,"ok",2.534e-08
40,Float32,Float64,ArpackSolver,1.011,3,2.484e-08,1.000000,"ok",2.534e-08
40,Float64,Float64,SVDSolver,6.790,3,9.639e-14,1.000000,"ok",0.000e+00
40,Float64,Float64,ArpackSolver,0.999,3,1.272e-13,1.000000,"ok",0.000e+00
