d,T,solver,seed,seconds,bytes,nullity,lsq_err,support,status
30,Float32,KrylovSolver,30,7.065,19996663800,3,1.228e-04,1.000000,"ok"
30,Float32,KrylovB100,30,0.532,1672072232,3,6.660e-05,1.000000,"ok"
30,Float32,KrylovBsqrt,30,0.367,1215464504,3,1.875e-05,1.000000,"ok"
30,Float32,KrylovB100,1030,0.379,1245521816,3,1.723e-03,0.999997,"ok"
30,Float32,KrylovBsqrt,1030,0.318,1064056760,3,1.103e-04,1.000000,"ok"
30,Float32,KrylovB100,2030,0.396,1307127672,3,7.583e-05,1.000000,"ok"
30,Float32,KrylovBsqrt,2030,0.327,1094115832,3,2.760e-03,0.999992,"ok"
40,Float32,KrylovSolver,40,13.251,41153637848,3,8.948e-05,1.000000,"ok"
40,Float32,KrylovB100,40,1.050,3504809176,3,4.889e-05,1.000000,"ok"
40,Float32,KrylovBsqrt,40,0.838,2752957544,3,3.438e-03,0.999988,"ok"
40,Float32,KrylovB100,1040,0.957,3192301480,3,6.638e-05,1.000000,"ok"
40,Float32,KrylovBsqrt,1040,0.809,2630145560,3,8.905e-05,1.000000,"ok"
40,Float32,KrylovB100,2040,1.042,3504367080,3,3.796e-03,0.999986,"ok"
40,Float32,KrylovBsqrt,2040,0.781,2502558552,3,1.330e-04,1.000000,"ok"
30,Float64,KrylovSolver,30,0.314,1386928872,3,7.621e-14,1.000000,"ok"
30,Float64,KrylovB100,30,1.619,6567996872,3,8.489e-14,1.000000,"ok"
30,Float64,KrylovBsqrt,30,0.977,4183286200,3,4.712e-12,1.000000,"ok"
30,Float64,KrylovSolver,1030,0.280,1387563016,3,7.429e-13,1.000000,"ok"
30,Float64,KrylovB100,1030,1.162,4765898008,3,8.235e-14,1.000000,"ok"
30,Float64,KrylovBsqrt,1030,0.751,3335591304,3,8.479e-10,1.000000,"ok"
30,Float64,KrylovSolver,2030,0.281,1387714072,3,6.543e-12,1.000000,"ok"
30,Float64,KrylovB100,2030,1.205,4925629176,3,1.203e-13,1.000000,"ok"
30,Float64,KrylovBsqrt,2030,0.749,3283525224,3,1.501e-10,1.000000,"ok"
40,Float64,KrylovSolver,40,0.901,3690278696,3,2.403e-13,1.000000,"ok"
40,Float64,KrylovB100,40,3.378,14328166168,3,9.717e-13,1.000000,"ok"
40,Float64,KrylovBsqrt,40,2.336,9927619288,3,1.662e-10,1.000000,"ok"
40,Float64,KrylovSolver,1040,0.641,2955946872,3,1.526e-10,1.000000,"ok"
40,Float64,KrylovB100,1040,2.875,12187195976,3,6.022e-13,1.000000,"ok"
40,Float64,KrylovBsqrt,1040,1.952,8349861784,3,6.861e-11,1.000000,"ok"
40,Float64,KrylovSolver,2040,0.715,3322903944,3,5.467e-13,1.000000,"ok"
40,Float64,KrylovB100,2040,3.190,13425513336,3,1.956e-13,1.000000,"ok"
40,Float64,KrylovBsqrt,2040,2.095,9024967352,3,8.821e-11,1.000000,"ok"
