d,valence,ops,T,n,truth,nullity,rule,certified,gap,undecidable,qd_nullity,qd_status,null_max,null_max_eps,first_nonzero,threshold,solve_s,qd_s,rss_GB
16,3,SymmetricOp,Float64,408,3,3,gap,true,1.32e+12,0,3,ok,3.711e-16,1.671,0.001465,1e-12,0.06,0.25,0.92
16,3,SymmetricOp,Float32,408,3,3,gap,true,2467,0,3,ok,4.245e-07,3.561,0.001471,5.96e-07,0.04,0.22,0.92
16,3,SymmetricOp,Float16,408,3,3,gap,true,2468,0,3,ok,2.144e-07,1.798,0.001471,5.96e-07,0.04,0.06,0.93
24,3,SymmetricOp,Float64,900,3,3,gap,true,2.66e+11,0,3,ok,1.259e-16,0.5672,0.0002954,1e-12,0.19,0.11,0.95
24,3,SymmetricOp,Float32,900,3,3,gap,true,492.6,0,3,ok,1.807e-07,1.516,0.0002936,5.96e-07,0.10,0.07,0.96
24,3,SymmetricOp,Float16,900,3,3,gap,false,493.1,1,3,ok,1.077e-07,0.9038,0.0002939,5.96e-07,0.10,0.31,1.00
32,3,SymmetricOp,Float64,1584,3,3,gap,true,2.181e+12,0,3,ok,1.616e-16,0.7277,0.002422,1e-12,0.33,0.02,1.02
32,3,SymmetricOp,Float32,1584,3,3,gap,true,4081,0,3,ok,1.882e-07,1.579,0.002433,5.96e-07,0.21,0.02,1.02
32,3,SymmetricOp,Float16,1584,3,3,gap,true,4081,0,3,ok,5.859e-07,4.915,0.002432,5.96e-07,0.19,0.10,1.09
48,3,SymmetricOp,Float64,3528,3,3,gap,true,1.343e+11,0,3,ok,4.481e-16,2.018,0.0001491,1e-12,1.21,0.09,1.20
48,3,SymmetricOp,Float32,3528,3,3,gap,true,251.6,0,2,ok,1.411e-07,1.184,0.00015,5.96e-07,0.68,0.05,1.23
48,3,SymmetricOp,Float16,3528,3,3,gap,false,251.3,3,3,ok,9.685e-08,0.8125,0.0001498,5.96e-07,0.68,0.57,1.29
64,3,SymmetricOp,Float64,6240,3,3,gap,true,5.36e+11,0,3,ok,5.909e-16,2.661,0.0005951,1e-12,3.27,0.28,1.50
64,3,SymmetricOp,Float32,6240,3,3,gap,true,967.7,0,3,ok,7.846e-08,0.6582,0.0005768,5.96e-07,2.07,0.14,1.51
