d,valence,T,r,qd_tol,qd_nullity,truth,status,seconds,rss_GB,n_below_tol,smallest5,around_cut
16,3,Float64,8x8x8,1e-06,3,3,ok,0.30,0.84,13,2.22e-15 2.49e-15 2.71e-15 2.89e-15 3.18e-15,all below
16,3,Float32,8x8x8,0.000345,3,3,ok,0.30,0.84,0,,-
16,3,Float16,8x8x8,0.0312,3,3,ok,0.06,0.84,15,0.000108 0.000125 0.000133 0.000142 0.000151,0.0307 | 0.0325
32,3,Float64,11x11x11,1e-06,3,3,ok,0.02,0.89,13,1.04e-14 1.15e-14 1.32e-14 1.53e-14 1.69e-14,all below
32,3,Float32,11x11x11,0.000345,3,3,ok,0.01,0.90,0,,-
32,3,Float16,11x11x11,0.0312,3,3,ok,0.10,0.98,18,0.000116 0.000122 0.00013 0.000137 0.000143,0.0308 | 0.0363
64,3,Float64,15x15x15,1e-06,3,3,ok,0.28,1.21,13,2.04e-14 2.36e-14 2.63e-14 2.94e-14 3.28e-14,all below
64,3,Float32,15x15x15,0.000345,2,3,ok,0.14,1.31,0,,-
64,3,Float16,15x15x15,0.0312,3,3,ok,1.27,1.55,41,0.00014 0.00117 0.00284 0.00563 0.00751,0.0306 | 0.0318
100,3,Float64,19x19x19,1e-06,3,3,ok,1.60,2.32,13,2.67e-14 3.11e-14 3.14e-14 3.95e-14 4.69e-14,all below
100,3,Float32,19x19x19,0.000345,1,3,ok,0.87,2.55,0,,-
100,3,Float16,19x19x19,0.0312,3,3,ok,8.33,2.94,70,0.000104 0.000106 0.000142 0.000159 0.00154,0.0303 | 0.0313
140,3,Float64,22x22x22,1e-06,3,3,ok,6.04,4.47,13,4.3e-14 4.81e-14 4.86e-14 5.4e-14 6.29e-14,all below
140,3,Float32,22x22x22,0.000345,0,3,ok,3.17,4.51,1,0.000112,all below
140,3,Float16,22x22x22,0.0312,3,3,ok,27.14,4.78,97,0.000106 0.00133 0.00176 0.00205 0.00214,0.0312 | 0.0314
