d,valence,T,tol,nullity,truth,seconds,rss_GB,status
64,3,Float32,1e-06,2,3,0.44,0.98,ok
64,3,Float32,1e-05,2,3,0.14,1.03,ok
64,3,Float32,0.0001,2,3,0.14,1.04,ok
64,3,Float32,0.000345,2,3,0.14,1.05,ok
64,3,Float32,0.001,3,3,0.27,1.13,ok
64,3,Float32,0.003,3,3,0.27,1.13,ok
64,3,Float32,0.01,3,3,0.27,1.13,ok
64,3,Float32,0.03,3,3,0.27,1.14,ok
64,3,Float64,1e-06,3,3,0.49,1.34,ok
100,3,Float32,1e-06,1,3,0.91,1.87,ok
100,3,Float32,1e-05,1,3,0.88,1.91,ok
100,3,Float32,0.0001,1,3,0.87,1.92,ok
100,3,Float32,0.000345,1,3,0.87,1.92,ok
100,3,Float32,0.001,3,3,1.69,2.11,ok
100,3,Float32,0.003,3,3,2.61,2.28,ok
100,3,Float32,0.01,3,3,3.80,2.28,ok
100,3,Float32,0.03,3,3,8.46,2.71,ok
100,3,Float64,1e-06,3,3,1.65,3.16,ok
