case,truth,T,n,solver,knob,value,nullity,rule,certified,undecidable,floor_binding,gap,near_null,solve_s,spec1,spec2,spec3,spec4,spec5
sphere3-d10,3,Float64,165,SVDSolver,c,1.0,3,gap,true,0,true,3.458e+13,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,2.0,3,gap,true,0,true,1.729e+13,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,3.0,3,gap,true,0,true,1.153e+13,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,5.0,3,gap,true,0,true,6.916e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,10.0,3,gap,true,0,true,3.458e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,20.0,3,gap,true,0,true,1.729e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,30.0,3,gap,true,0,true,1.153e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,100.0,3,gap,true,0,true,3.458e+11,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,300.0,3,gap,true,0,true,1.153e+11,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,1000.0,3,gap,true,0,true,3.458e+10,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,c,10000.0,3,gap,true,0,true,3.458e+09,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,tol,0.001,3,gap,true,0,true,6.916e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,tol,0.0001,3,gap,true,0,true,6.916e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
sphere3-d10,3,Float64,165,SVDSolver,tol,1.0e-5,3,gap,true,0,true,6.916e+12,0,0.153,3.049e-17,6.308e-17,6.308e-17,0.007679,0.01207
