case,truth,T,solver,mult,eigtol,seconds,nullity,certified,rule,gap,spec1,spec2,spec3,spec4,spec5
sphere3-d10,3,Float64,ArpackSolver,1.0,2.22e-16,1.81,3,true,gap,6.916e+12,1.62e-17,2.42e-16,3.11e-16,0.00768,0.0121
sphere3-d10,3,Float64,ArpackSolver,3.0,6.66e-16,0.01,3,true,gap,6.916e+12,7.27e-18,5.55e-17,1.2e-16,0.00768,0.0121
sphere3-d10,3,Float64,ArpackSolver,10.0,2.22e-15,0.01,3,true,gap,6.916e+12,5.5e-17,6.75e-17,9.63e-17,0.00768,0.0121
sphere3-d10,3,Float64,ArpackSolver,30.0,6.66e-15,0.01,3,true,gap,6.916e+12,6.28e-17,7.19e-17,9.45e-17,0.00768,0.0121
sphere3-d10,3,Float64,ArpackSolver,100.0,2.22e-14,0.01,3,true,gap,6.916e+12,2.26e-17,3.97e-17,2.41e-16,0.00768,0.0121
sphere3-d10,3,Float64,KrylovSolver,1.0,2.22e-16,3.84,3,true,gap,6.916e+12,1.79e-17,4.55e-17,1.2e-16,0.00768,0.0121
sphere3-d10,3,Float64,KrylovSolver,3.0,6.66e-16,0.02,3,true,gap,6.916e+12,1.6e-17,3.85e-17,1.89e-16,0.00768,0.0121
sphere3-d10,3,Float64,KrylovSolver,10.0,2.22e-15,0.02,3,true,gap,6.916e+12,3.8e-19,5.7e-17,5.94e-17,0.00768,0.0121
sphere3-d10,3,Float64,KrylovSolver,30.0,6.66e-15,0.02,3,true,gap,6.916e+12,4.07e-17,4.43e-17,1.1e-16,0.00768,0.0121
sphere3-d10,3,Float64,KrylovSolver,100.0,2.22e-14,0.02,3,true,gap,6.916e+12,1.77e-17,3.5e-17,2.56e-16,0.00768,0.0121
sphere3-d10,3,Float32,ArpackSolver,1.0,1.19e-07,1.52,3,true,gap,1.303e+04,3.21e-08,1.56e-07,2.19e-07,0.00777,0.0122
sphere3-d10,3,Float32,ArpackSolver,3.0,3.58e-07,0.00,3,true,gap,1.303e+04,6.73e-08,1.42e-07,1.99e-07,0.00777,0.0122
sphere3-d10,3,Float32,ArpackSolver,10.0,1.19e-06,0.00,3,true,gap,1.303e+04,6.32e-08,6.32e-08,1.28e-07,0.00777,0.0122
sphere3-d10,3,Float32,ArpackSolver,30.0,3.58e-06,0.00,3,true,gap,1.303e+04,1.01e-07,1.26e-07,1.89e-07,0.00777,0.0122
sphere3-d10,3,Float32,ArpackSolver,100.0,1.19e-05,0.00,3,true,gap,1.303e+04,8.4e-09,3.18e-08,1.5e-07,0.00777,0.0122
sphere3-d10,3,Float32,KrylovSolver,1.0,1.19e-07,3.75,1,false,threshold,16.91,4.2e-08,1.01e-05,4.61e-05,0.00737,0.0122
sphere3-d10,3,Float32,KrylovSolver,3.0,3.58e-07,0.02,0,false,threshold,20.02,1.19e-05,1.38e-05,0.000494,0.0017,0.00765
sphere3-d10,3,Float32,KrylovSolver,10.0,1.19e-06,0.01,1,false,threshold,6.153,1.6e-08,3.67e-06,0.00107,0.00688,0.0116
sphere3-d10,3,Float32,KrylovSolver,30.0,3.58e-06,0.02,1,true,gap,190.8,4.63e-07,0.000114,0.000223,0.00773,0.0116
sphere3-d10,3,Float32,KrylovSolver,100.0,1.19e-05,0.01,0,false,threshold,5.522,3.29e-06,8.17e-05,0.000621,0.0068,0.00848
sphere3-d10,3,Float16,ArpackSolver,1.0,1.19e-07,0.00,3,true,gap,1.303e+04,3.69e-09,9.75e-08,1.25e-07,0.00777,0.0122
sphere3-d10,3,Float16,ArpackSolver,3.0,3.58e-07,0.00,3,true,gap,1.303e+04,2.23e-07,2.34e-07,3.99e-07,0.00777,0.0122
sphere3-d10,3,Float16,ArpackSolver,10.0,1.19e-06,0.00,3,true,gap,1.303e+04,6.02e-08,6.86e-08,1.01e-07,0.00777,0.0122
sphere3-d10,3,Float16,ArpackSolver,30.0,3.58e-06,0.00,3,true,gap,1.303e+04,2.51e-08,6.75e-08,1.61e-07,0.00777,0.0122
sphere3-d10,3,Float16,ArpackSolver,100.0,1.19e-05,0.00,3,true,gap,1.303e+04,8.04e-10,1.17e-07,2.36e-07,0.00777,0.0122
sphere3-d10,3,Float16,KrylovSolver,1.0,1.19e-07,0.02,1,false,threshold,56.16,9.84e-08,3.35e-05,8.9e-05,0.00716,0.0121
sphere3-d10,3,Float16,KrylovSolver,3.0,3.58e-07,0.02,0,false,threshold,1.837,1.1e-06,2.6e-06,1.5e-05,0.00774,0.0122
sphere3-d10,3,Float16,KrylovSolver,10.0,1.19e-06,0.01,1,false,threshold,65.96,2.88e-07,3.93e-05,0.000138,0.0077,0.0121
sphere3-d10,3,Float16,KrylovSolver,30.0,3.58e-06,0.01,0,false,threshold,3.105,1.85e-06,2.28e-05,0.000141,0.00771,0.0122
sphere3-d10,3,Float16,KrylovSolver,100.0,1.19e-05,0.01,0,false,threshold,2.077,1.24e-06,2.05e-05,9.29e-05,0.00694,0.00832
sphere3-d16,3,Float64,ArpackSolver,1.0,2.22e-16,0.04,3,true,gap,1.32e+12,6.91e-17,8.91e-17,4.56e-16,0.00147,0.00692
sphere3-d16,3,Float64,ArpackSolver,3.0,6.66e-16,0.03,3,true,gap,1.32e+12,1.99e-17,2.93e-16,3.56e-16,0.00147,0.00692
sphere3-d16,3,Float64,ArpackSolver,10.0,2.22e-15,0.03,3,true,gap,1.32e+12,8.85e-17,9.57e-17,3.68e-16,0.00147,0.00692
sphere3-d16,3,Float64,ArpackSolver,30.0,6.66e-15,0.03,3,true,gap,1.32e+12,1.11e-16,2.12e-16,4.26e-16,0.00147,0.00692
sphere3-d16,3,Float64,ArpackSolver,100.0,2.22e-14,0.03,3,true,gap,1.32e+12,1.63e-16,2.46e-16,7.03e-16,0.00147,0.00692
