dim,seed,noise,tol,method,actual_method,solver,nd,sampling,amplitudes,cutoff,nondeg_tol,active_dims,orthogonality_error,signal_residual,seconds,bytes,nullity,solver_nullity,scalar_dim,class,lsq_err,support,perm_ok,full_residual,full_residual_status,status
10,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"10x10x10",4.1644284231501961e-16,0,20.533049,1733652432,3,13,2,recovery,9.0913977574376065e-13,0.99999999999999989,true,5.1062338374865286e-13,"ok","ok"
50,17,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",7.8988816449200142e-16,0,8.576574,280208352,3,13,2,recovery,9.2419151863862525e-14,1.0000000000000004,true,1.0525373310031174e-14,"ok","ok"
50,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,8.940493,196140064,3,13,2,recovery,3.2628804545929901e-11,1.0000000000000011,true,9.2540351569912837e-12,"ok","ok"
50,91,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",6.3316739389106743e-16,0,6.567161,196140064,3,13,2,recovery,4.0388073805661792e-14,0.99999999999999933,true,2.4113362717935381e-15,"ok","ok"
50,50,0,1e-08,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,7.276082,196140064,3,13,2,recovery,3.2628804545929901e-11,1.0000000000000011,true,9.2540351569912837e-12,"ok","ok"
50,50,0,0.0001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,5.633440,196140064,3,13,2,recovery,3.2628804545929901e-11,1.0000000000000011,true,9.2540351569912837e-12,"ok","ok"
50,50,1e-08,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.99999999838965e-09,5.890221,150771984,2,2,2,scalar-only,NaN,NaN,false,1.5382462721989086e-09,"ok","ok"
50,50,1e-08,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.99999999838965e-09,5.080309,150771984,2,2,2,scalar-only,NaN,NaN,false,1.5382462721989086e-09,"ok","ok"
50,50,9.9999999999999995e-07,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.9999999999947543e-07,4.197905,150771984,2,2,2,scalar-only,NaN,NaN,false,1.1505382196476761e-11,"ok","ok"
50,50,9.9999999999999995e-07,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.9999999999947543e-07,6.741623,150771984,2,2,2,scalar-only,NaN,NaN,false,1.1505382196476761e-11,"ok","ok"
50,50,0.0001,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.999999999999602e-05,5.560686,150771984,2,2,2,scalar-only,NaN,NaN,false,3.5675422476159304e-13,"ok","ok"
50,50,0.0001,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.999999999999602e-05,6.667435,150771984,2,2,2,scalar-only,NaN,NaN,false,3.5675422476159304e-13,"ok","ok"
50,17,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,bounded,1.5,1e-10,"50x50x50",7.8988816449200142e-16,0,8.464351,196140064,3,13,2,recovery,3.7258232513813387e-14,1.0000000000000009,true,1.328872136482159e-15,"ok","ok"
50,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,bounded,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,5.727109,196140064,3,13,2,recovery,3.7563423186931442e-14,0.99999999999999956,true,3.331329964391905e-15,"ok","ok"
50,91,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,bounded,1.5,1e-10,"50x50x50",6.3316739389106743e-16,0,5.445488,196140064,3,13,2,recovery,3.1009754240329831e-14,1.0000000000000002,true,2.262029312290966e-15,"ok","ok"
