series,x,y,z,value,coordinate_system
original,48,0,0,-0.29059587989087821,literal_lattice_coordinate
original,48,1,0,0.48647969941636227,literal_lattice_coordinate
original,39,28,0,0.57550465114052896,literal_lattice_coordinate
original,28,39,0,-0.045095179226951485,literal_lattice_coordinate
original,0,48,0,0.48764270536578747,literal_lattice_coordinate
original,1,48,0,0.88397124890407541,literal_lattice_coordinate
original,48,0,1,0.31063980882680881,literal_lattice_coordinate
original,0,48,1,-1.727284196168249,literal_lattice_coordinate
original,37,30,6,-0.67830591130905626,literal_lattice_coordinate
original,30,37,6,0.17876842077034366,literal_lattice_coordinate
original,42,21,10,-0.11379897114552801,literal_lattice_coordinate
original,21,42,10,-1.5291573404584309,literal_lattice_coordinate
original,44,15,12,-0.057023325865862506,literal_lattice_coordinate
original,15,44,12,-0.47049836423246033,literal_lattice_coordinate
original,44,12,15,0.93809734921481402,literal_lattice_coordinate
original,36,28,15,0.89617240637226681,literal_lattice_coordinate
original,28,36,15,-0.37233257352091281,literal_lattice_coordinate
original,12,44,15,-0.50701845450907168,literal_lattice_coordinate
original,32,32,16,0.28714181833354874,literal_lattice_coordinate
original,42,10,21,-1.4211882516278651,literal_lattice_coordinate
original,10,42,21,-0.055024686251920793,literal_lattice_coordinate
original,30,27,26,0.72596388182911809,literal_lattice_coordinate
original,27,30,26,1.767071521765248,literal_lattice_coordinate
original,30,26,27,0.951385843289972,literal_lattice_coordinate
original,26,30,27,-0.7678127996183628,literal_lattice_coordinate
original,39,0,28,1.6821055604505677,literal_lattice_coordinate
original,36,15,28,-0.4183668009897617,literal_lattice_coordinate
original,15,36,28,1.614311527762277,literal_lattice_coordinate
original,0,39,28,-1.271806982316243,literal_lattice_coordinate
original,37,6,30,2.6859327958969796,literal_lattice_coordinate
original,27,26,30,-0.31589474080542707,literal_lattice_coordinate
original,26,27,30,0.23540668496015343,literal_lattice_coordinate
original,6,37,30,-1.0535588593465146,literal_lattice_coordinate
original,32,16,32,-1.6848060703715158,literal_lattice_coordinate
original,16,32,32,-1.3773529766212231,literal_lattice_coordinate
original,28,15,36,0.45554284650414567,literal_lattice_coordinate
original,15,28,36,0.45044942233899998,literal_lattice_coordinate
original,30,6,37,0.51229739357309589,literal_lattice_coordinate
original,6,30,37,-0.71037096579001002,literal_lattice_coordinate
original,28,0,39,-0.46389470995225363,literal_lattice_coordinate
original,0,28,39,-1.3588191977436346,literal_lattice_coordinate
original,21,10,42,-0.93964484773505474,literal_lattice_coordinate
original,10,21,42,-0.9471936291955293,literal_lattice_coordinate
original,15,12,44,-2.0505297756476089,literal_lattice_coordinate
original,12,15,44,-2.2461601694684696,literal_lattice_coordinate
original,0,0,48,-1.1668535322199358,literal_lattice_coordinate
original,1,0,48,-1.769177113346118,literal_lattice_coordinate
original,0,1,48,-1.0683757382529355,literal_lattice_coordinate
scrambled,3,6,0,0.036138327789552248,scrambled_array_coordinate
scrambled,19,6,0,-0.038083823976850069,scrambled_array_coordinate
scrambled,1,8,0,-0.046043493941123163,scrambled_array_coordinate
scrambled,3,8,0,-0.040554790990414653,scrambled_array_coordinate
scrambled,4,8,0,-0.052312714872994631,scrambled_array_coordinate
scrambled,6,8,0,0.039560414507479352,scrambled_array_coordinate
scrambled,10,8,0,0.041712847597685759,scrambled_array_coordinate
scrambled,13,8,0,-0.036763610006308074,scrambled_array_coordinate
scrambled,15,8,0,-0.042432602019486954,scrambled_array_coordinate
scrambled,17,8,0,0.044006680741751035,scrambled_array_coordinate
scrambled,19,8,0,0.051172113917939598,scrambled_array_coordinate
scrambled,21,8,0,-0.070900785718171641,scrambled_array_coordinate
scrambled,22,8,0,-0.039173604714631549,scrambled_array_coordinate
scrambled,25,8,0,0.061029713838333083,scrambled_array_coordinate
scrambled,31,8,0,-0.056864748274281868,scrambled_array_coordinate
scrambled,41,8,0,-0.046593871369546326,scrambled_array_coordinate
scrambled,44,8,0,-0.049396836890937129,scrambled_array_coordinate
scrambled,1,9,0,0.037219109193249014,scrambled_array_coordinate
scrambled,3,9,0,0.056320555308838401,scrambled_array_coordinate
scrambled,10,9,0,-0.048809597795305013,scrambled_array_coordinate
scrambled,15,9,0,0.042437213626234163,scrambled_array_coordinate
scrambled,17,9,0,-0.040790006546557664,scrambled_array_coordinate
scrambled,19,9,0,-0.056577100783077212,scrambled_array_coordinate
scrambled,21,9,0,0.05476660886039296,scrambled_array_coordinate
scrambled,22,9,0,0.062669922959044957,scrambled_array_coordinate
scrambled,24,9,0,0.038932686466967507,scrambled_array_coordinate
scrambled,25,9,0,-0.051660492661208784,scrambled_array_coordinate
scrambled,31,9,0,0.042883340647210395,scrambled_array_coordinate
scrambled,30,10,0,0.037302702603664223,scrambled_array_coordinate
scrambled,33,10,0,0.037151298583353094,scrambled_array_coordinate
scrambled,3,11,0,-0.037335416972345679,scrambled_array_coordinate
scrambled,22,11,0,-0.052379404919619219,scrambled_array_coordinate
scrambled,30,11,0,-0.044715924611746227,scrambled_array_coordinate
