dim,seed,noise,tol,method,actual_method,solver,nd,sampling,amplitudes,cutoff,nondeg_tol,active_dims,orthogonality_error,signal_residual,seconds,bytes,nullity,solver_nullity,scalar_dim,class,lsq_err,support,perm_ok,full_residual,full_residual_status,status
10,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"10x10x10",4.1644284231501961e-16,0,19.068593,1733246624,3,13,2,recovery,9.0913977574376065e-13,0.99999999999999989,true,5.1062338374865286e-13,"ok","ok"
50,17,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",7.8988816449200142e-16,0,4.952254,325034224,0,13,2,scalar-only,NaN,NaN,false,NaN,"no derivations","ok"
50,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,14.735472,729466544,3,13,2,recovery,0.00098729713272824944,0.99999902524472573,true,4.6423652589883891e-05,"ok","ok"
50,91,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",6.3316739389106743e-16,0,13.462062,714428560,3,13,2,recovery,3.6816259601446048e-06,0.99999999998685163,true,1.3675143952115471e-07,"ok","ok"
50,50,0,1e-08,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,5.319121,143750528,0,0,2,scalar-only,NaN,NaN,false,NaN,"no derivations","ok"
50,50,0,0.0001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,0,14.518065,733319600,3,13,2,recovery,0.07743043097392599,0.99400452845760334,true,0.00022055806973643626,"ok","ok"
50,50,1e-08,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.99999999838965e-09,12.130491,673428912,0,9,2,scalar-only,NaN,NaN,false,NaN,"no derivations","ok"
50,50,1e-08,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.99999999838965e-09,12.890890,733146064,2,14,2,scalar-only,NaN,NaN,false,0.00014055043930108347,"ok","ok"
50,50,9.9999999999999995e-07,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.9999999999947543e-07,12.871427,629197360,0,3,2,scalar-only,NaN,NaN,false,NaN,"no derivations","ok"
50,50,9.9999999999999995e-07,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.9999999999947543e-07,14.384339,717022032,2,11,2,scalar-only,NaN,NaN,false,9.2224862172971678e-05,"ok","ok"
50,50,0.0001,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.999999999999602e-05,13.878354,612411520,0,2,2,scalar-only,NaN,NaN,false,NaN,"no derivations","ok"
50,50,0.0001,0.001,QuickDer,QuickDer,AutoSolver,-1,densor,gaussian,1.5,1e-10,"50x50x50",3.9127798232668983e-15,9.999999999999602e-05,10.788545,622008656,2,2,2,scalar-only,NaN,NaN,false,3.1947905824612615e-05,"ok","ok"
50,50,0,9.9999999999999995e-07,QuickDer,QuickDer,AutoSolver,-1,lattice,gaussian,1.5,1e-10,"",NaN,NaN,0.000000,0,0,0,2,error,NaN,NaN,false,NaN,"not run","error: MethodError: no method matching act(::Dleto.TensorSpace.TensorElement, ::Vector{ITensor})"
