d,seed,config,T,seconds,bytes,peak_rss_gb,nullity,lsq_err,support,perm_ok,status
20,20,SVD/F64,Float64,0.254287,756671344,1.2840,3,1.948059e-14,1.000000,true,"ok"
20,20,LU-CPQR/F64,Float64,0.199357,742673248,1.2855,3,3.530694e-13,1.000000,true,"ok"
20,20,Arpack/F64,Float64,0.105667,407149024,1.2897,3,3.442902e-14,1.000000,true,"ok"
20,20,Krylov/F64,Float64,0.093243,359080920,1.2897,3,4.380746e-12,1.000000,true,"ok"
20,20,Auto/F64,Float64,0.099420,407149184,1.2897,3,1.483535e-14,1.000000,true,"ok"
20,20,QuickDer/F64,Float64,0.113073,87552016,1.3010,3,2.043425e-13,1.000000,true,"ok"
20,20,Arpack/F32,Float32,0.089839,247491672,1.4185,3,3.517997e-05,1.000000,true,"ok"
20,20,Krylov/F32,Float32,0.460878,266580232,1.4186,3,7.724612e-05,1.000000,true,"ok"
20,20,SVD/F32,Float32,0.193915,467684112,1.4186,3,6.124942e-05,1.000000,true,"ok"
20,20,QuickDer/F32,Float32,0.071310,47688784,1.4196,3,4.856804e-05,1.000000,true,"ok"
20,1020,SVD/F64,Float64,0.236597,758801264,1.4334,3,4.375203e-14,1.000000,true,"ok"
20,1020,LU-CPQR/F64,Float64,0.192195,744278880,1.4338,3,1.988230e-14,1.000000,true,"ok"
20,1020,Arpack/F64,Float64,0.131508,516374904,1.4338,3,5.626186e-14,1.000000,true,"ok"
20,1020,Krylov/F64,Float64,0.107831,418673256,1.4338,3,7.267175e-12,1.000000,true,"ok"
20,1020,Auto/F64,Float64,0.126399,516374872,1.4375,3,1.512435e-14,1.000000,true,"ok"
20,1020,QuickDer/F64,Float64,0.069683,79954528,1.4504,3,5.105990e-14,1.000000,true,"ok"
20,1020,Arpack/F32,Float32,0.081611,248895912,1.4504,3,2.114211e-05,1.000000,true,"ok"
20,1020,Krylov/F32,Float32,0.051490,149507640,1.4504,3,2.149198e-04,1.000000,true,"ok"
20,1020,SVD/F32,Float32,0.190660,467684112,1.4505,3,2.860301e-05,1.000000,true,"ok"
20,1020,QuickDer/F32,Float32,0.045389,40851184,1.4505,3,4.908394e-05,1.000000,true,"ok"
30,30,SVD/F64,Float64,1.622830,4758619640,1.6617,3,9.689982e-14,1.000000,true,"ok"
