d,seconds,axes,kappa
10,0.043594459,3,1.8209418885007089e18
20,0.096399083,3,5.426930443210678e17
30,0.232583,3,2.023326963175992e18
40,0.420965458,3,4.2247842394382433e18
50,1.120569792,3,1.5730691149609718e21
60,2.185518459,3,6.931699001568068e33
70,5.084572541,3,3.549481135830466e19
80,6.492534083,3,1.2117056129265823e20
90,10.231190083,3,7.357340133577216e32
100,32.349135875,3,4.3937807776716554e20
110,22.722908458,3,1.8079280679364407e19
120,32.245396583,3,5.7016040761073834e20
130,417.402465625,3,1.5163880663423907e34
