d,solver,seconds,bytes,peak_rss_gb,nullity,lsq_err,support,perm_ok,status
10,AutoSolver,0.029716,53347768,1.1488,3,8.842061e-15,1.000000,yes,"ok"
10,SVDSolver,0.022636,53347368,1.1488,3,1.444463e-14,1.000000,yes,"ok"
10,LUSolver,0.029889,53084920,1.1488,1,8.552051e-01,0.290758,no,"ok"
10,LSMRSolver,7.416747,9393566272,1.1488,3,1.453033e-14,1.000000,yes,"ok"
10,KrylovSolver,0.051000,84614184,1.1488,3,6.639145e-11,1.000000,yes,"ok"
10,LanczosSolver,0.025995,46864544,1.1488,0,NaN,NaN,-,"error: no nontrivial derivations"
10,CGSolver,0.284009,387238040,1.1488,3,1.324775e-12,1.000000,yes,"ok"
10,ShiftInvertSolver,4.850146,9003804152,1.1488,0,NaN,NaN,-,"error: no nontrivial derivations"
10,ArpackSolver,0.052143,105180512,1.1488,3,9.310771e-15,1.000000,yes,"ok"
10,ArpackDenseSolver,0.074843,53832104,1.1488,3,1.084338e-14,1.000000,yes,"ok"
15,AutoSolver,0.131459,233752208,1.1488,3,2.336198e-14,1.000000,yes,"ok"
15,SVDSolver,0.123314,233751808,1.1488,3,3.560678e-14,1.000000,yes,"ok"
15,LUSolver,0.101829,232663200,1.1488,1,4.213693e-01,0.824536,yes,"ok"
15,LSMRSolver,7.978567,21980291152,1.1488,3,1.301660e-14,1.000000,yes,"ok"
15,KrylovSolver,0.094031,162554000,1.1488,3,4.665265e-12,1.000000,yes,"ok"
15,LanczosSolver,0.047053,167623256,1.1488,0,NaN,NaN,-,"error: no nontrivial derivations"
15,CGSolver,0.787824,1833200648,1.1488,3,4.053847e-12,1.000000,yes,"ok"
15,ShiftInvertSolver,20.773629,65246415288,1.1488,0,NaN,NaN,-,"error: no nontrivial derivations"
15,ArpackSolver,0.056458,200623792,1.1488,3,2.305344e-14,1.000000,yes,"ok"
15,ArpackDenseSolver,0.067657,230297472,1.1488,3,1.298251e-14,1.000000,yes,"ok"
20,AutoSolver,0.357196,754626352,1.1683,3,1.948059e-14,1.000000,yes,"ok"
20,SVDSolver,0.301711,754625952,1.1710,3,1.724763e-14,1.000000,yes,"ok"
20,LUSolver,0.236504,751354208,1.1918,1,3.748292e-01,0.860669,no,"ok"
20,LSMRSolver,14.355752,46506595552,1.1921,3,6.646260e-14,1.000000,yes,"ok"
20,KrylovSolver,0.147197,428433464,1.1921,3,3.905576e-13,1.000000,yes,"ok"
20,LanczosSolver,0.059429,270439584,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
20,CGSolver,1.770699,4975265776,1.1921,3,1.760754e-11,1.000000,yes,"ok"
20,ShiftInvertSolver,22.311641,69663632304,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
20,ArpackSolver,0.165207,537083584,1.1921,3,9.494397e-14,1.000000,yes,"ok"
20,ArpackDenseSolver,0.234565,743194288,1.1921,3,1.488746e-14,1.000000,yes,"ok"
25,AutoSolver,0.951441,2052817480,1.1921,3,2.756196e-14,1.000000,yes,"ok"
25,SVDSolver,0.928179,2052817080,1.1921,3,3.035064e-14,1.000000,yes,"ok"
25,LUSolver,4.287388,13995195880,1.1921,3,4.595085e-02,0.997889,yes,"ok"
25,LSMRSolver,37.583583,119306146304,1.1921,3,5.070129e-14,1.000000,yes,"ok"
25,KrylovSolver,0.210690,663361896,1.1921,3,2.135340e-10,1.000000,yes,"ok"
25,LanczosSolver,0.136719,620129072,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
25,CGSolver,3.716599,10428817336,1.1921,3,1.572685e-11,1.000000,yes,"ok"
25,ShiftInvertSolver,159.845188,532915694712,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
25,ArpackSolver,0.226825,928771680,1.1921,3,1.301635e-13,1.000000,yes,"ok"
25,ArpackDenseSolver,0.589364,2013619864,1.1921,3,8.429248e-14,1.000000,yes,"ok"
30,AutoSolver,2.027404,4758655224,1.1921,3,9.689982e-14,1.000000,yes,"ok"
30,SVDSolver,1.963645,4758654824,1.1921,3,3.237718e-14,1.000000,yes,"ok"
30,LUSolver,1.297081,4742883208,1.1921,1,9.636577e-01,0.097770,no,"ok"
30,LSMRSolver,46.458999,168086446384,1.1921,3,1.151426e-14,1.000000,yes,"ok"
30,KrylovSolver,0.322636,1408855640,1.1921,3,7.629037e-14,1.000000,yes,"ok"
30,LanczosSolver,0.166732,887681128,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
30,CGSolver,5.480223,18710263896,1.1921,3,1.755306e-11,1.000000,yes,"ok"
30,ShiftInvertSolver,119.680533,461692262504,1.1921,0,NaN,NaN,-,"error: no nontrivial derivations"
30,ArpackSolver,0.531504,1957106248,1.1921,3,4.327229e-14,1.000000,yes,"ok"
