# i j k value
1 1 42 -0.8540550485842645
1 1 43 -1.2851350281617235
1 2 42 1.6508817493657129
1 2 43 0.22388366435512358
1 3 42 0.1120061377400154
1 3 43 1.1447249090785492
1 4 41 0.5905203241311745
1 4 42 -0.37593288873602254
1 4 43 -0.46315788133927904
1 5 41 2.6043440141209935
1 5 42 -0.4551979619126981
1 6 41 0.3790319949009375
1 6 42 0.2198137738285687
1 7 40 -1.9050573371238624
1 7 41 0.8541019963284715
1 8 39 -0.9329734522376686
1 8 40 0.1163583414545816
1 8 41 -0.8671695891404743
1 9 39 0.9804626252557447
1 9 40 -0.965529301628062
1 10 38 -0.847120629023692
1 10 39 1.3906972880203656
1 11 37 1.6312291695345158
1 11 38 1.4173166237208568
1 12 35 0.09013662782094067
1 12 36 1.169451171316852
1 12 37 0.050442558118434164
1 13 34 0.5915465570892218
1 13 35 -0.08424989548394875
1 13 36 -1.173352265697906
1 14 32 -1.3944824607305821
1 14 33 -0.6547026182323272
1 14 34 -0.6791541500079711
1 15 31 0.03821487723052599
1 15 32 -2.058848935007853
1 15 33 -0.5806455109384863
1 16 29 -2.1039120835267195
1 16 30 0.4205463748542973
1 16 31 0.9319208042667438
1 17 26 0.6996542798091108
1 17 27 -0.934604776495019
1 17 28 -1.960813713540381
1 17 29 0.7219902350645581
1 18 23 -2.310498220670387
1 18 24 -0.12996094998511334
1 18 25 -0.02028513626046858
1 18 26 -1.4553910462390516
1 19 20 -0.1816288968355703
1 19 21 0.16537684346850653
1 19 22 -1.2351205984993114
1 19 23 -0.6280651573840353
1 20 15 0.37665403676536663
1 20 16 1.2041303389321167
1 20 17 -1.4071480182221516
1 20 18 0.34230747201522665
1 20 19 -0.29554645867043183
1 20 20 -0.9063443504432822
1 21 7 0.14817125914677545
1 21 8 0.4901744979802037
1 21 9 0.4279851764326333
1 21 10 -0.8901265931712062
1 21 11 -1.3410633487655148
1 21 12 -0.18605017733998075
1 21 13 -0.11098186527791105
1 21 14 -2.8174552656354055
1 21 15 1.6492927288555062
1 22 1 1.8754378633622368
1 22 2 0.4760228875435659
1 22 3 0.8204204221023047
1 22 4 -0.35532440357282535
1 22 5 -1.0037461398577636
1 22 6 -0.7550435945636809
1 22 7 1.5310187972273888
1 22 8 0.6266643651819548
2 1 42 1.7646608614966217
2 1 43 0.8287103924029472
2 2 42 0.7345078367147914
2 2 43 -0.5881606707846706
2 3 42 -0.5255914624776705
2 3 43 -0.006777520008012242
2 4 41 0.21152805217758908
2 4 42 0.3944866916492372
2 4 43 -0.5165372449896307
2 5 41 0.38274153950435236
2 5 42 -0.9079992151950338
2 6 41 -1.6548368040784667
2 6 42 -1.0131011827029228
2 7 40 -0.6404746657569473
2 7 41 -0.2502829417349974
2 8 39 1.187352004203589
2 8 40 -0.12317299971472985
2 8 41 -0.47403507937248907
2 9 39 -0.06882203104712116
2 9 40 -0.7620366906807987
2 10 38 0.5009494789095131
2 10 39 -0.6719823616954214
2 11 37 0.9348788989881306
2 11 38 -1.0980864844710212
2 12 35 0.6103038522610699
2 12 36 -0.19661988682970238
2 12 37 0.219572891838089
2 13 34 -0.6507404888390775
2 13 35 -0.9724390464256003
2 13 36 -1.6199249820308705
2 14 32 -0.3693189627801477
2 14 33 -0.03176209911924203
2 14 34 -1.0934373082508928
2 15 31 1.0050285028037695
2 15 32 0.4928283615804346
2 15 33 0.31218341727602217
2 16 29 2.079739437018759
2 16 30 0.44351161039235054
2 16 31 -0.7022665989327613
2 17 26 0.3033014692754181
2 17 27 0.7962455116072786
2 17 28 0.2753330441210435
2 17 29 -0.839504851629614
2 18 23 -0.6726094523772757
2 18 24 0.9447427983952338
2 18 25 -0.07652814112790904
2 18 26 -1.6349815756737553
2 19 20 0.4308706616463887
2 19 21 1.0769777214946579
2 19 22 0.3398214821514708
2 19 23 0.9340451404765461
2 20 15 0.5066044495422518
2 20 16 1.4625745793520235
2 20 17 0.42826126492897454
2 20 18 1.5190209056129422
2 20 19 0.02259860143097468
2 20 20 0.199551522000686
2 21 7 1.101123655537557
2 21 8 0.25589205470643445
2 21 9 -0.31485401637130683
2 21 10 -0.7434158476130875
2 21 11 -1.2919265381739284
2 21 12 1.5230673195109095
2 21 13 -0.08539272939328035
2 21 14 1.0040372838062976
2 21 15 -0.07189422431240995
2 22 1 0.05194557054422663
2 22 2 -1.1616482273029665
2 22 3 -0.5380595233574186
2 22 4 -0.15784448817667435
2 22 5 -0.22437083403426047
2 22 6 -1.1571010413293963
2 22 7 1.017469868108293
2 22 8 -0.02572313167548453
3 1 42 0.20182710643707247
3 1 43 0.594172826027198
3 2 42 -0.21016745829772476
3 2 43 0.5437258040967636
3 3 42 -0.9300712249932839
3 3 43 -0.697427460176515
3 4 41 1.5315054470147929
3 4 42 -0.43226725436879854
3 4 43 0.0488350658292769
3 5 41 0.6865681638813514
3 5 42 -1.1563378214772997
3 6 41 1.2284238343103837
3 6 42 -0.8943748817148147
3 7 40 0.5359066768137898
3 7 41 -1.1049682816403863
3 8 39 0.08241635631584232
3 8 40 0.5779955973538332
3 8 41 -0.6470332273641618
3 9 38 1.2410546443044381
3 9 39 -0.3588623420362279
3 9 40 -1.6088672872256875
3 10 38 -1.309888291177784
3 10 39 -0.3537565761179628
3 11 36 -0.4007304554660208
3 11 37 0.633648718260113
3 11 38 -0.4026864204450445
3 12 35 -2.2204891286919666
3 12 36 0.1468850594021487
3 12 37 -0.45343153199135705
3 13 34 -1.8779077994321993
3 13 35 -0.8499598466887553
3 13 36 0.05188532606164121
3 14 32 -0.14944048628248863
3 14 33 -0.8643011904427298
3 14 34 0.5274441291984256
3 15 30 -0.015729857719457147
3 15 31 -1.6105611737183352
3 15 32 0.5898018067029087
3 15 33 -0.7028383172910455
3 16 28 -0.04894609078288602
3 16 29 -0.5288035795381679
3 16 30 -1.6912558540966627
3 16 31 2.0383062665179534
3 17 26 -1.7564450049922724
3 17 27 0.3252853759146505
3 17 28 0.44872872907874506
3 17 29 -2.2394467071842294
3 18 23 0.7602931941952957
3 18 24 2.6852416325561843
3 18 25 1.6828140105759926
3 18 26 -0.11123027114428355
3 19 20 -0.4925700611718892
3 19 21 -0.10130841847501262
3 19 22 1.2000730298415865
3 19 23 0.5303287179940891
3 20 15 0.034020483234471065
3 20 16 -1.2710678258510026
3 20 17 1.3109257059322261
3 20 18 -0.8548266101282465
3 20 19 -1.1133900860826957
3 20 20 -0.9601679206878918
3 21 6 1.2340036214724464
3 21 7 0.7241138818047784
3 21 8 -0.03504118028014276
3 21 9 0.84127830068965
3 21 10 0.258976937680328
3 21 11 -1.1983770843013994
3 21 12 -0.5822966969572276
3 21 13 0.9883160759903176
3 21 14 -0.29631463058852925
3 21 15 -0.7881174233177202
3 22 1 -0.5294258894991246
3 22 2 0.03417554789000109
3 22 3 -0.7678051136523072
3 22 4 -0.2229001546992992
3 22 5 -0.5894048612549881
3 22 6 0.24670436928179784
3 22 7 1.9359702809892123
3 22 8 -1.2781043433319683
4 1 42 0.08637006608535433
4 1 43 2.554088507311404
4 2 42 0.978752038229572
4 2 43 -0.03303590293534314
4 3 41 -0.7057746034104104
4 3 42 -0.8488082015800185
4 3 43 -0.8695133682855195
4 4 41 -0.6418186164600163
4 4 42 0.8411278782641289
4 4 43 -0.6339832897739722
4 5 41 -1.1171681140018999
4 5 42 -1.5511815924289414
4 6 40 -0.3426049450473909
4 6 41 0.31961151658994136
4 6 42 -0.7535346650270563
4 7 40 0.34036302217708264
4 7 41 0.8339393757787863
4 8 39 0.9977594122703627
4 8 40 -0.44004926091153634
4 8 41 -0.008038229468945142
4 9 38 -0.45489536786636625
4 9 39 0.7863744848462958
4 9 40 0.6219651258922755
4 10 37 0.2102135679339002
4 10 38 -0.11236721538061692
4 10 39 0.25092487939497377
4 11 36 -0.7874948872362847
4 11 37 -0.4096243064054563
4 11 38 -2.0230806194652926
4 12 35 -1.3165280741244048
4 12 36 -0.6356472828587888
4 12 37 1.3310822390929384
4 13 34 -1.1199428960667595
4 13 35 -0.47893884097018163
4 14 32 0.6702741704616197
4 14 33 -0.003080946707033708
4 14 34 0.5052772466336113
4 15 30 1.5259234044806604
4 15 31 0.09414982535712704
4 15 32 2.4129072552830246
4 16 28 -0.8352317764254827
4 16 29 -0.9372600191177426
4 16 30 -1.162479327674638
4 16 31 -0.7546753568583722
4 17 26 0.6707653134399273
4 17 27 -0.7561979117663964
4 17 28 -0.7737416390109557
4 18 23 -0.6180173835241819
4 18 24 -0.48899544567561504
4 18 25 0.7976742483610928
4 18 26 -0.3216301797130008
4 19 19 0.6114973013452414
4 19 20 -0.4535926047684968
4 19 21 0.27865178476448993
4 19 22 0.06838836588445718
4 19 23 0.055657421319251776
4 20 14 0.5632751093120849
4 20 15 0.767003619204596
4 20 16 0.8502868973712626
4 20 17 -1.857890171417772
4 20 18 0.8424957042743563
4 20 19 -1.1595255484024412
4 21 4 0.7120736416715873
4 21 5 -1.6434614008530573
4 21 6 -0.054034159034371046
4 21 7 -0.4378315603409012
4 21 8 1.8600973274458001
4 21 9 0.539197741459172
4 21 10 0.7585093240565062
4 21 11 0.7485844547729205
4 21 12 -1.064014921826907
4 21 13 0.11562474617788313
4 21 14 0.537098623835381
4 21 15 -1.3832280257327838
4 22 1 1.3113314026920753
4 22 2 -0.32805745047609153
4 22 3 -0.7829248613200805
4 22 4 1.5107212783176585
4 22 5 -2.4260360122701905
4 22 6 -0.2522121635784533
4 22 7 -0.34436979195538925
5 1 41 -1.6852020300104027
5 1 42 0.4725142285988268
5 1 43 1.1814815796843057
5 2 41 0.28089515232092716
5 2 42 -1.206365853340405
5 2 43 -0.08680626131111153
5 3 41 2.6979733827694075
5 3 42 0.3181854556051427
5 3 43 0.07304293762475454
5 4 41 0.07193149178218387
5 4 42 -1.2278321326604236
5 5 41 -0.37588766413693386
5 5 42 1.502297962064098
5 6 40 0.17849234205432415
5 6 41 -0.496676387607014
5 6 42 -0.5631839111549135
5 7 40 0.10055765460684801
5 7 41 -0.15153613260383197
5 8 39 1.44973881344331
5 8 40 -0.1965747210921836
5 9 38 -0.6516238947479337
5 9 39 0.7421776393911714
5 9 40 0.37475536394078546
5 10 37 0.636219610808535
5 10 38 -0.6082772157613305
5 10 39 -0.14475099046028128
5 11 36 -0.13064595474534127
5 11 37 1.4102984788546271
5 11 38 -0.22189724070215613
5 12 35 -0.048603382817827785
5 12 36 0.00031580857143728236
5 12 37 0.34035551747947296
5 13 33 0.8610677802266414
5 13 34 -0.09848505589066699
5 13 35 -0.45300485894513737
5 14 32 0.06256118121042346
5 14 33 -0.16872439040377277
5 14 34 0.5066309308979854
5 15 30 0.20352332765379397
5 15 31 -1.9408007997511276
5 15 32 -0.648448643625649
5 16 28 0.6661018291252521
5 16 29 0.25537906564666274
5 16 30 0.3621811670539961
5 17 25 -0.4768983125473528
5 17 26 0.46789657848851623
5 17 27 1.22659302902224
5 17 28 0.21220171223553835
5 18 22 -1.6627950796773436
5 18 23 -0.7752200757595701
5 18 24 1.6515346890397844
5 18 25 -0.09935745379004836
5 18 26 0.3540463732898943
