# i j k value
1 1 1 -0.1505493549699578
1 1 2 -0.018960238564317035
1 1 3 0.12677183092908165
1 1 4 0.056924607395919605
1 1 5 0.05328672057490216
1 1 6 0.16178956114387852
1 1 7 0.07203940663867489
1 1 8 -0.07160561874325583
1 1 9 0.04107608623596982
1 1 10 -0.12051341296905688
1 1 11 0.0779747862499237
1 1 12 -0.09488661295976225
1 1 13 -0.0382915469383876
1 1 14 -0.016728505923427388
1 1 15 0.08319082872359726
1 1 16 -0.051289028650198486
1 1 17 0.07171164269059656
1 1 18 0.10114819533342867
1 1 19 -0.028396983194521646
1 1 20 -0.16189358532819093
1 1 21 -0.015533708106004422
1 1 22 -0.03467489072558224
1 1 23 -0.15140556544598535
1 1 24 0.07390586104260453
1 1 25 0.07299177094896489
1 1 26 -0.038249175052434956
1 1 27 0.1335593687498371
1 1 28 -0.052420923447551775
1 1 29 -0.0741286287403515
1 1 30 0.09276976765719724
1 1 31 0.007499515178564333
1 1 32 -0.019907841842219408
1 1 33 0.055992934903091644
1 1 34 0.044000131755780575
1 1 35 -0.07776601335448757
1 1 36 -0.07744132316376072
1 1 37 -0.037186619926027946
1 1 38 -0.001003024740642712
1 1 39 0.014006979258368248
1 1 40 -0.05331421468318583
1 1 41 0.0011652070390617752
1 1 42 0.056273251453011416
1 1 43 -0.01782179551313654
1 1 44 0.00423877893961132
1 1 45 -0.054109992363711765
1 1 46 0.019659859363933368
1 1 47 -0.07636770933247752
1 1 48 0.13707535128930198
1 1 49 -0.056915559584146694
1 1 50 -0.09898673547233498
1 1 51 -0.061769097687402914
1 1 52 0.07568188428897513
1 1 53 0.06574154488589706
1 1 54 -0.07058878989035303
1 1 55 0.21746942230634533
1 1 56 0.037012168131749436
1 1 57 0.2001356698551061
1 1 58 0.052685359177012406
1 1 59 0.06408899932139336
1 1 60 0.004242942628997201
1 1 61 -0.046799561144076476
1 1 62 -0.03734671065048409
1 1 63 0.04633841517398202
1 1 64 -0.04987923885390831
1 1 65 -0.12770548946946803
1 1 66 -0.047637254938480554
1 1 67 0.013115713656934487
1 1 68 -0.033090509243476014
1 1 69 0.044726808298479394
1 1 70 -0.052029344949899026
1 1 71 -0.0871958391982436
1 1 72 -0.07106975792646832
1 1 73 0.023171579109814187
1 1 74 -0.05924894214356274
1 1 75 -0.10038832838214728
1 1 76 0.005541526020167395
1 1 77 -0.04333421732343274
1 1 78 -0.030379585030287728
1 1 79 -0.012139849656134693
1 1 80 0.05791722188456525
1 1 81 -0.06861092936077236
1 2 1 -0.059998196802955636
1 2 2 -0.024087719125464816
1 2 3 -0.06484804263876277
1 2 4 -0.031954827182927366
1 2 5 0.20167885288040618
1 2 6 0.09005432720509779
1 2 7 -0.009734544054677037
1 2 8 0.19409591277694366
1 2 9 -0.14181214446732834
1 2 10 -0.0395301376041218
1 2 11 -0.010564280072305457
1 2 12 0.0017762686219374155
1 2 13 0.04442746752339149
1 2 14 0.004824389748396704
1 2 15 0.0398169807501309
1 2 16 0.02341051281335599
1 2 17 0.054179013522914744
1 2 18 0.035667338415365624
1 2 19 -0.014111312977520588
1 2 20 -0.07164163562980631
1 2 21 -0.10389571244169164
1 2 22 0.10880809035039983
1 2 23 0.010485855762214955
1 2 24 0.13035052532002053
1 2 25 0.14073548964326682
1 2 26 -0.009775001908460073
1 2 27 0.1565591897061313
1 2 28 0.0020311288651995467
1 2 29 -0.040494928226778935
1 2 30 0.16944137597041856
1 2 31 -0.045066159592647086
1 2 32 -0.13515893704846668
1 2 33 0.0373409654346153
1 2 34 0.10670984199641638
1 2 35 -0.0210890936652477
1 2 36 0.12147091290426003
1 2 37 0.036920134045484755
1 2 38 -0.03881092367580607
1 2 39 -0.022890415870122287
1 2 40 -0.05652143650920252
1 2 41 -0.0016576461046351745
1 2 42 0.033681513230350235
1 2 43 -0.09829557058776082
1 2 44 -0.03541382490184382
1 2 45 0.004034406833180661
1 2 46 0.07518013778432106
1 2 47 -0.028907923591842685
1 2 48 0.22100905713191413
1 2 49 -0.02489896450984238
1 2 50 -0.04480166818433121
1 2 51 -0.0015732260988312284
1 2 52 -0.07617929518048568
1 2 53 0.11412518802454669
1 2 54 -0.13231620768329602
1 2 55 -0.04016156286227817
1 2 56 0.030664972954580524
1 2 57 0.033029647787461355
1 2 58 0.06534152408684539
1 2 59 -0.05482088984523296
1 2 60 0.1721675782781747
1 2 61 -0.08538359691865315
1 2 62 0.027130497281500125
1 2 63 -0.009682135548620982
1 2 64 0.16951681249598133
1 2 65 -0.07974101687869609
1 2 66 -0.06874135308930908
1 2 67 -0.09811252015028536
1 2 68 -0.012865567707967025
1 2 69 -0.02520502908319236
1 2 70 -0.030791757131465883
1 2 71 0.04055067214360705
1 2 72 0.04480628284389783
