# i j k value
13 11 19 -0.0004302238331523967
13 11 20 0.00021622486586655114
13 11 21 -0.0011615895400895503
13 11 22 0.0007623764787309328
13 11 23 9.317525422129677e-5
13 11 24 -0.0003783293857198311
13 11 25 -0.0003690015223752658
13 11 26 0.0001500081666860807
13 11 27 0.0002428116035140702
13 11 28 -0.0008641918489656593
13 11 29 0.0006599814533263849
13 11 30 0.0002665127454813402
13 11 31 -0.0007940380890172102
13 11 32 -0.0011513937069530856
13 11 33 0.0009108728043978558
13 11 34 0.0028106512703033703
13 11 35 -0.0009743764656993191
13 11 36 -0.0012766336344932658
13 11 37 0.00021695726300479951
13 11 38 0.0013476054696673432
13 11 39 -0.000624382703365926
13 11 40 -0.002694272382699137
13 11 41 -0.00032671156195167176
13 11 42 -0.0014477231976384548
13 11 43 -0.0012180351746232975
13 11 44 -0.00020300763816730356
13 11 45 -0.0011423879260804729
13 11 46 0.0039326874471986295
13 11 47 0.0006404364113379604
13 11 48 -0.0013337429433858531
13 11 49 0.004516765240344796
13 11 50 0.007968517112626163
13 11 51 -0.0003576592716886204
13 11 52 0.005713497719371444
13 11 53 0.01649916657717749
13 11 54 0.02161739448123341
13 11 55 -0.0019236528451856368
13 11 56 -0.004694201013084818
13 11 57 0.003580104698677374
13 11 58 0.033620019851424696
13 11 59 -0.006850274295531802
13 11 60 0.008628794863707915
13 11 61 0.014672864935458654
13 12 19 -0.00045418958432651233
13 12 20 0.00037256355155911605
13 12 21 -0.0009311128900862709
13 12 22 0.00012762815628308168
13 12 23 -0.0006330408767339214
13 12 24 8.383894072307178e-5
13 12 25 0.0005543932593603326
13 12 26 0.0011381290627985932
13 12 27 0.0007174642693827132
13 12 28 0.0007424797873228626
13 12 29 0.0022659422225363686
13 12 30 0.0012237377456525106
13 12 31 -0.0007360595429821457
13 12 32 -0.0026063943444083744
13 12 33 0.003298559984572675
13 12 34 0.0030623939899949667
13 12 35 0.003741806416438481
13 12 36 0.00015897005840180212
13 12 37 -0.0026823684375658894
13 12 38 -0.001323904908401691
13 12 39 -0.003994840358633359
13 12 40 -0.0010452614584081602
13 12 41 -0.0004398547906842689
13 12 42 -0.004155623813764885
13 12 43 -0.0009061096822761306
