# i j k value
1 1 1 -0.05403726336747653
1 1 2 0.03810546385989923
1 1 3 -0.007501975795387103
1 1 4 -0.05531278240337702
1 1 5 0.023406782056365278
1 1 6 0.013678462975909819
1 1 7 -0.036975637034040214
1 1 8 -0.044987046340477635
1 1 9 -0.02659521449384929
1 1 10 0.01049815514219413
1 1 11 -0.11148472366681034
1 1 12 -0.03411040552309792
1 1 13 0.0053411571856595945
1 1 14 -0.0016734546542455915
1 1 15 0.0698890111896117
1 1 16 -0.08463039403743348
1 1 17 0.04111797075265518
1 1 18 -0.019657032092351864
1 1 19 0.04642322493753406
1 1 20 -0.032275438359118454
1 1 21 0.05222821380496276
1 1 22 0.0037106055767609533
1 1 23 -0.01145592555002426
1 1 24 0.00417505075070281
1 1 25 0.038434313387724385
1 1 26 0.03091308391974851
1 1 27 -0.017457170597526665
1 1 28 0.0300865710364859
1 1 29 0.0338273603067216
1 1 30 0.014745321362733987
1 1 31 0.022652501227937296
1 1 32 -0.04507338596955164
1 1 33 0.02232231679698071
1 1 34 0.09780704357243446
1 1 35 0.027915579665411545
1 1 36 -0.0018579347940880682
1 1 37 0.00797353245424674
1 1 38 0.034908363566432274
1 1 39 -0.1655447871651478
1 1 40 -0.05524357408733706
1 1 41 0.0199829992280368
1 1 42 -0.024209198167432323
1 1 43 0.12967314583757505
1 1 44 0.04919506580456032
1 1 45 -0.029101794341642756
1 1 46 -0.021220296951357246
1 1 47 0.0010252838809930195
1 1 48 0.1386765320511236
1 1 49 -0.0868386716826173
1 1 50 0.06405634081709599
1 1 51 0.11378039564631914
1 2 1 0.03529447446770556
1 2 2 -0.031776166299244325
1 2 3 0.003521409273217855
1 2 4 -0.007778752207150898
1 2 6 0.0036985532173944243
1 2 7 -0.015276600280941542
1 2 8 -0.16376641627954636
1 2 9 -0.05539576866462674
1 2 10 -0.044429895302843726
1 2 11 -0.05078659817297421
1 2 12 0.04728255703415488
1 2 13 0.03629562129889362
1 2 14 0.03083896634910005
1 2 15 0.05379200897118701
1 2 16 -0.11454078911178649
1 2 17 -0.12157972275847145
1 2 18 -0.02549170299123245
1 2 19 0.033043177507978805
1 2 20 0.06734242929710844
1 2 21 -0.10604049930926539
1 2 22 0.03128101763952723
1 2 23 0.018029966324717237
1 2 24 0.1303491299530242
1 2 25 -0.043930523628581665
1 2 26 -0.027393301519033044
1 2 27 -0.0067636394908527206
1 2 28 0.1135826335106936
1 2 29 -0.04118639149752845
1 2 30 0.07408453181581535
1 2 31 -0.1574622716721077
1 2 33 0.0155893105308014
1 2 34 -0.09006991026059245
1 2 35 -0.055471915491652826
1 2 36 -0.033422585498619754
1 2 37 0.040775096478572505
1 2 38 -0.003220692593035979
1 2 39 -0.022815186310375483
1 2 40 -0.10196803377326523
1 2 41 -0.13304663093428382
1 2 42 -0.02080344942752607
1 2 43 -0.03203235389255167
1 2 44 -0.0455665662952549
1 2 46 -0.09951328976133443
1 2 47 0.035030647250236066
1 2 48 0.02559034280590003
1 2 49 -0.006253306548091193
1 2 50 -0.02680928161034008
1 2 51 0.0743378902559967
1 3 1 0.007258478448680999
1 3 2 -0.07082662589412263
1 3 3 -0.2063661959198578
1 3 4 -0.0020918491372213474
1 3 5 -0.07810942473635936
1 3 6 0.07367372449781663
1 3 7 -0.07146866770711283
1 3 8 0.03139429368135352
1 3 9 -0.06953606519060772
1 3 10 0.05868939460513067
1 3 11 -0.028710490713595098
1 3 12 0.01577710098706758
1 3 13 -0.03691359988417227
1 3 14 0.024026355034923133
1 3 15 0.03915918697700405
1 3 16 -0.05956703833628676
1 3 17 -0.008061994159393154
1 3 18 0.054583789090762815
1 3 19 0.004589812268837765
1 3 20 -0.009764622768372325
1 3 21 0.1262719022829982
1 3 22 0.019417367657201173
1 3 23 0.03595610791358563
1 3 24 -0.14866021849808722
1 3 25 -0.0871279350464405
1 3 26 0.03792676551771052
1 3 27 -0.05309032322627361
1 3 28 -0.00997726973337043
1 3 29 -0.002528320754523372
1 3 30 -0.022394285308875897
1 3 31 0.04047893255941462
1 3 32 -0.027651691135602795
1 3 33 0.09937935231200187
1 3 34 -0.005118242186674911
1 3 35 -0.050616345800652426
1 3 36 0.07950573679671705
1 3 37 -0.004310129443954385
1 3 38 0.05055807748611146
1 3 39 0.07684168584599024
1 3 40 -0.0011526260718085863
1 3 41 -0.002514567506194961
1 3 42 -0.06468523276545388
1 3 43 0.12959354304711762
1 3 44 -0.0601564124650549
1 3 45 -0.0026321718725311615
1 3 46 0.07946464143325976
1 3 47 0.012835081265388015
1 3 48 0.13437779745832837
1 3 49 0.04051368613164385
1 3 50 -0.010710528074789713
1 3 51 0.052167628639705976
1 4 1 0.028554331519444844
1 4 2 0.06583827980261953
1 4 3 0.16680635145550654
1 4 4 0.026575070283753624
1 4 5 -0.04082501504103752
1 4 6 0.0714853157479041
1 4 7 0.011080038496344683
1 4 8 -0.03779773526279506
1 4 9 0.007509488597717043
1 4 10 -0.06568415859549698
1 4 11 0.03812769169671841
1 4 12 0.035050973842961755
1 4 13 0.033049049028418
1 4 14 0.08821587892238135
1 4 15 0.009723630599670052
1 4 16 -0.006423197527767601
1 4 17 -0.05160537913270512
1 4 18 0.06863737323459447
1 4 19 -0.04337303184236381
1 4 20 -0.06448488896093803
1 4 21 -0.05428319354210043
1 4 22 -0.028317270932613946
1 4 23 -0.03713618170949923
1 4 24 -0.02508231901967574
1 4 25 0.04553117559653993
1 4 26 0.1016996849010882
1 4 27 -0.10524200882573718
1 4 28 0.03621754269073039
1 4 29 -0.06538126159498309
1 4 30 0.02596703644510033
1 4 31 0.002145668828995977
1 4 32 0.09070721466581365
1 4 33 -0.11135990149036877
1 4 34 0.06314093207133488
1 4 35 0.018068317492100774
1 4 36 -0.04982241870007485
1 4 37 0.011613659198277152
1 4 38 0.06643725048645593
1 4 39 0.1091518627906116
1 4 40 0.055422926235732486
1 4 41 0.09916981777883821
1 4 42 -0.03550031635881027
1 4 43 0.0656877111971034
1 4 44 0.010800122808629761
1 4 45 -0.09634062485123095
1 4 46 -0.06901483417705487
1 4 47 -0.01906146426265161
1 4 48 -0.08379554880704673
1 4 49 0.18394592067471732
1 4 50 -0.02230534189638225
1 4 51 -0.051910363524152875
1 5 1 -0.0353206612165267
1 5 2 0.0723280310738181
1 5 3 0.0762395534953073
1 5 4 -0.04388371425726514
1 5 5 -0.023352082687883167
1 5 6 -0.03809635121153785
1 5 7 0.05153608325776717
1 5 8 0.06765017186483431
1 5 9 0.013271864408611058
1 5 10 0.03835319339684584
1 5 11 0.03816311877263358
1 5 12 0.017776235639473746
1 5 13 0.026160489658511046
1 5 14 -0.10905332572893722
1 5 15 0.027612381149565372
1 5 16 -0.04654945379450896
1 5 17 0.036397421579528064
1 5 18 0.126649770506738
1 5 19 -0.004851584900512282
1 5 20 -0.07233333667150091
1 5 21 -0.0648260821540213
1 5 22 -0.03345588077179496
1 5 23 0.03734403940367868
1 5 24 0.06783850507296958
1 5 25 0.07484211578529086
1 5 26 0.054862833839209604
1 5 27 0.039229536000156925
1 5 28 -0.09032860494578224
1 5 29 0.044603100388135954
1 5 30 -0.01117255909155136
1 5 31 0.1341636252619459
1 5 32 0.09259797127956862
1 5 33 0.0474967704455469
1 5 34 0.058801637305542144
1 5 35 0.060725912445765355
1 5 36 -0.05867028607219298
1 5 37 -0.06721560654743569
1 5 38 -0.01107872047036759
1 5 39 0.044283502278444443
1 5 40 -0.014656738236544304
1 5 41 0.06875667265918824
1 5 42 0.022298287218104906
1 5 43 0.04905581026264728
1 5 44 -0.013068547970096005
1 5 45 0.01830576351892635
1 5 46 0.038418114130780744
1 5 47 -0.07080684878342965
1 5 48 -0.028937452470911028
1 5 49 0.03318746599336013
1 5 50 -0.08449263209221256
1 5 51 -0.051856515553861074
1 6 1 0.029297511307864742
1 6 2 0.037477389173161936
1 6 3 0.022740865680961973
1 6 4 -0.0932691359015567
1 6 5 0.0460194831056875
1 6 6 -0.11107071775122772
1 6 7 0.10055683786413307
1 6 8 0.02674573491044546
1 6 9 -0.012925436778103707
1 6 10 0.0428350537218559
1 6 11 -0.059490722472919734
1 6 12 0.0191125644307955
1 6 13 -0.06660432856180583
1 6 14 -0.022288539303880573
1 6 15 0.054816902285485164
1 6 16 -0.04993163509736463
1 6 17 -0.03064947039413508
1 6 18 0.13580549036694123
1 6 19 -0.041667713428834054
1 6 20 -0.08150086858964452
1 6 21 0.048232300025800985
1 6 22 -0.06628183092071573
1 6 23 0.040606880409505636
1 6 24 -0.05142154553109859
1 6 25 0.15545963121588008
1 6 26 0.017147788713149228
1 6 27 0.026123799673950888
1 6 28 -0.08300210169811323
1 6 29 -0.08767959594596697
1 6 30 0.01801239471563445
1 6 31 0.1659737976934326
1 6 32 0.00498668228616512
1 6 33 -0.1326408939200608
1 6 34 0.05358801242069128
1 6 35 0.051578179374152294
1 6 36 0.005762077278859375
1 6 37 0.020758862425223724
1 6 39 0.012207850225640388
1 6 40 0.08806344695320208
1 6 41 0.08601177843252625
1 6 42 -0.07456880604112666
1 6 43 0.07973903986603867
1 6 44 0.006801757472791102
1 6 45 -0.02820857837546235
1 6 46 0.029385291070552197
1 6 47 -0.058769452525516526
1 6 48 -0.007166131154238116
1 6 49 -0.0402549360020933
1 6 50 0.03647680858049545
1 6 51 0.15509586513521154
1 7 1 -0.02098125685492289
1 7 2 0.029796686278345263
1 7 3 -0.11366479220699573
1 7 4 0.03961259872229907
1 7 5 -0.06351796913861914
1 7 6 0.026406829986741594
1 7 7 -0.048763653907976365
1 7 8 -0.01762321235444251
1 7 9 -0.037574563639754435
1 7 10 0.09383206038260634
1 7 11 0.027533191383078023
1 7 12 0.11803246250052843
1 7 13 0.14848678991189498
1 7 14 0.019188195894415387
1 7 15 -0.08347908143252626
1 7 16 -0.08815864268697644
1 7 17 0.02579699934212725
1 7 18 -0.07708870822298804
1 7 19 0.07845427744118663
1 7 20 0.0227393218270066
1 7 21 -0.07601970208185727
1 7 22 -0.0029200265066753424
1 7 23 -0.06001048704392171
1 7 24 0.0952401167515278
1 7 25 -0.1849351994471127
1 7 26 0.005571055912634101
1 7 27 0.02204457503334583
1 7 28 0.133117068422267
1 7 29 -0.010607895610446257
1 7 30 -0.04890214245851785
1 7 31 -0.09187255498688747
1 7 32 0.06690088158933538
1 7 33 0.11888364672331433
1 7 34 0.05449027203136682
1 7 35 -0.06109082101480899
1 7 36 -0.04775329600389287
1 7 37 -0.044028227384622226
1 7 38 -0.03555571197899589
1 7 39 -0.04543640454812888
1 7 40 -0.04229484931190472
1 7 41 0.0017799386019355028
1 7 42 -0.042459345989751894
1 7 43 -0.046246973513000014
1 7 44 -0.054004058778522775
1 7 45 -0.0036398087285510377
1 7 46 -0.04313324468235486
1 7 47 0.040469098193657224
1 7 48 0.07308154304193831
1 7 49 0.022478816172050282
1 7 50 -0.050278030882774494
1 7 51 0.051767661820518014
1 8 1 -0.05524832830256856
1 8 2 -0.03335635078223989
1 8 3 0.06505703901761582
