# i j k value
7 12 43 -0.07859266472234865
7 12 44 0.8382803131679437
7 13 43 -0.32588370806459727
7 13 44 1.565015740886967
7 14 41 -0.471572598473711
7 14 42 -1.917904392823738
7 15 41 0.6776645918355498
7 15 42 -0.03215664460948951
7 42 14 -0.9550800251417735
7 42 15 1.2578908599411287
7 43 14 -0.21338528570577914
7 43 15 -1.7962425739776737
7 44 12 0.3320322379378912
7 44 13 0.318139666315438
7 45 12 1.0777243601545559
7 45 13 0.3187869713071331
8 12 43 -0.1476355681894105
8 12 44 2.439016828604491
8 13 43 0.8062154988878614
8 13 44 -1.137888984888079
8 14 41 -0.5484941913459114
8 14 42 0.299560284740357
8 15 41 -1.2762894930843454
8 15 42 0.7121226011913435
8 42 14 1.31558138908086
8 42 15 -1.4343768571347804
8 43 14 -0.005100268612503777
8 43 15 -0.062160630076639606
8 44 12 0.5128117111863654
8 44 13 -1.7172357875931177
8 45 12 -0.0764083462642015
8 45 13 0.4809097089237995
9 14 39 0.2568496935440696
9 14 40 1.3916379901332059
9 15 39 -2.560973629525905
9 15 40 0.039498722346742114
9 26 33 0.05213124825562739
9 26 34 0.6581092588935314
9 27 33 -0.19661299220091596
9 27 34 1.536193239772534
9 28 31 0.1224808169203668
9 28 32 0.19732889610425522
9 29 31 0.410668206176674
9 29 32 3.0060995476142014
9 32 27 0.5395836653767015
9 32 28 -2.1396114777202304
9 33 27 -0.4278457614765825
9 33 28 0.8071923640384007
9 34 25 0.6189397847614909
9 34 26 -1.9962641171966555
9 35 25 -2.3306713830511168
9 35 26 -0.9390270000617195
9 40 14 2.547075734777289
9 40 15 -0.16516947019147638
9 41 14 -1.9464040459902971
9 41 15 -1.039444956324893
10 14 39 -0.31731327642127727
10 14 40 -1.6011916545875038
10 15 39 0.6038877218846843
10 15 40 -0.031215746283455834
10 26 33 0.982684188585991
10 26 34 1.2004603937606884
10 27 33 0.85136042977177
10 27 34 -0.6104047077673574
10 28 31 -0.292996466164653
10 28 32 -0.5284772637893277
10 29 31 0.8716055482638806
10 29 32 1.4001333684324853
10 32 27 -1.422738323549296
10 32 28 -1.088806390603365
10 33 27 0.06060986566944657
10 33 28 0.6081844220711196
10 34 25 0.8352712717625643
10 34 26 0.8606090185555291
10 35 25 -0.2224660084781634
10 35 26 0.5177807978060953
10 40 14 1.132790636348578
10 40 15 -0.37224137270736063
10 41 14 0.7299930019903073
10 41 15 0.44200648536872444
11 28 29 -1.833102823220409
11 28 30 -0.6838359667781635
11 29 29 -0.634907269952497
11 29 30 0.47162567618552975
11 30 27 0.40011265814891595
11 30 28 0.32744345912766815
11 31 27 0.22552154359056237
11 31 28 2.339868010729999
12 28 29 -0.3410304601040493
12 28 30 -0.6644745966834057
12 29 29 0.3696644381233747
12 29 30 0.15286381377455383
12 30 27 -1.0185479378934517
12 30 28 -0.40107540754119025
12 31 27 -0.6682207172595215
12 31 28 0.3020928476873027
13 6 43 0.5988772821039371
13 6 44 -0.5014429298464173
13 7 43 -2.4138524839031623
13 7 44 0.04848043546410512
13 26 29 -1.2972020228219194
13 26 30 0.14859500837990738
13 27 29 -0.23880971335429507
13 27 30 0.14156484084837034
13 30 25 -0.2919433555014974
13 30 26 0.4745342879983217
13 31 25 -0.5974976369516516
13 31 26 0.3260223349885152
13 44 6 0.5878089655754878
13 44 7 0.117628871624626
13 45 6 0.45901130462554657
13 45 7 -0.5936379805916123
14 6 43 -1.7611317586328126
14 6 44 -1.562941580561551
14 7 43 -0.43460089270815877
14 7 44 -0.4112677876044902
14 26 29 -0.9460199454614951
14 26 30 -1.0351216590347905
14 27 29 0.1169450598144777
14 27 30 -0.6379069786772983
14 30 25 0.7440621553442684
14 30 26 0.44814208833183744
14 31 25 -0.45616067849204933
14 31 26 -0.4009942112590471
14 44 6 -0.8672706576475203
14 44 7 -0.24739800900427286
14 45 6 0.4873889292781787
14 45 7 -1.5705329588015364
15 6 41 0.16280032505946246
15 6 42 1.4233533068151085
15 7 41 -0.5639438232350593
15 7 42 0.9250832554935962
15 8 39 0.7952128763502678
15 8 40 0.17438013820808193
15 9 39 0.6300658948351635
15 9 40 -0.18712772624579838
15 40 8 -1.1089858194858115
15 40 9 0.7440867793210961
15 41 8 0.5303108182439107
15 41 9 1.4912825720947944
15 42 6 -1.420828049513808
15 42 7 -1.9281505305056328
15 43 6 0.9018983489665983
15 43 7 0.13670498054424293
16 6 41 -0.9449891471314041
16 6 42 -0.16552977450055745
16 7 41 1.333218858951763
16 7 42 -0.8581032034802022
16 8 39 -0.030776538911862696
16 8 40 -0.5637701458006573
16 9 39 -0.664840698696155
16 9 40 0.8194894172556052
16 40 8 -1.633470250792044
16 40 9 0.2340373929674122
16 41 8 -0.1008202269236361
16 41 9 -0.29455622041640295
16 42 6 0.2743227796345351
16 42 7 -1.160238924796779
16 43 6 0.8405254348449454
16 43 7 -0.1019090040063371
17 16 37 0.1922136332403023
17 16 38 -1.4127541380249935
17 17 37 1.2768852529426573
17 17 38 1.036823430303161
17 18 37 0.7239754439398087
17 18 38 -0.5260008335168888
17 21 35 -0.4493094868211069
17 21 36 -0.029661637386459095
17 22 35 2.007644368985473
17 22 36 0.712430764696546
17 23 33 0.5963814235918123
17 23 34 -1.5961210322881922
17 24 33 1.5276979235705015
17 24 34 -1.6716117924524367
17 34 23 -0.5500503884253501
17 34 24 0.4892843193208005
17 35 23 1.131452501957278
17 35 24 1.022742244461675
17 36 21 -0.5562457660187898
17 36 22 -0.3231987963417456
17 37 21 0.9499712141576262
17 37 22 0.5459060696145952
17 38 16 0.3777107661195411
17 38 17 -0.28880117341603306
