# i j k value
1 25 26 1.0047794371658754
1 26 25 0.02387798959671819
1 26 26 0.7572598399596127
1 26 27 -2.302739339875997
1 27 26 -0.7470580807732028
2 19 25 0.012397216998420765
2 19 26 1.0702185732005625
2 19 27 1.2918553664576635
2 21 21 0.4053826899772322
2 21 31 -0.03923930638386621
2 25 19 -0.25306920482006673
2 25 33 0.9413831283217827
2 26 19 1.4104887074266461
2 26 33 -0.1828154727658609
2 27 19 0.5453022298426546
2 27 33 1.6510488858430898
2 31 21 0.31229424180200926
2 31 31 0.5818851503130634
2 33 25 1.0746045557439905
2 33 26 -2.2427728902363455
2 33 27 -0.9990106454728255
3 17 22 -0.2432129360538252
3 17 30 -0.9372819127949868
3 22 17 0.5721639312289468
3 22 35 0.6183685562006227
3 30 17 -1.6767015069350488
3 30 35 -1.8232991876925568
3 35 22 -1.3330010027896364
3 35 30 0.597756134228666
5 13 22 -0.031127796323868608
5 13 30 1.7064439515328458
5 15 18 -1.4698555885597862
5 15 34 0.45029206366468555
5 18 15 -1.4375230129120886
5 18 37 -1.07777277270233
5 22 13 -0.16870832721045423
5 22 39 0.8829931552068073
5 30 13 -0.6176711101759508
5 30 39 0.3547309291619471
5 34 15 -1.3675606038274641
5 34 37 0.1982357023784828
5 37 18 -0.36680368126010626
5 37 34 -0.16322763971057486
5 39 22 2.1784076158537102
5 39 30 1.3982431468901297
6 11 25 -0.6337557030550837
6 11 26 2.5454048260562114
6 11 27 -0.8881670032309582
6 14 17 1.3483662823234237
6 14 35 -0.582634351422159
6 17 14 1.5827261928982361
6 17 38 -1.21795222168553
6 25 11 -1.469306082611433
6 25 41 0.765541125033028
6 26 11 -1.0994291454298615
6 26 41 1.0753857524680297
6 27 11 -0.07461634151353799
6 27 41 0.33820081604572316
6 35 14 -0.8268640573208716
6 35 38 0.5433908368105098
6 38 17 0.7580419803160333
6 38 35 -0.7454417283009703
6 41 25 -0.3751149774273318
6 41 26 0.06854049846114814
6 41 27 0.8225269014820861
7 10 23 0.19194874372478515
7 10 29 0.36647072768870137
7 14 15 -0.937713762353452
7 14 37 -0.27367922870885064
7 15 14 0.5522301037548695
7 15 38 0.9405007123656335
7 23 10 0.002896119525719371
7 23 42 0.7889477573157826
7 29 10 -1.0898448120805098
7 29 42 0.18629785164453183
7 37 14 1.4684578850095324
7 37 38 0.4405142985656833
7 38 15 -1.5257146146421865
7 38 37 -0.3105623983290928
7 42 23 -0.7720847729068044
7 42 29 -0.45994659265006616
9 10 17 -0.5602244869533792
9 10 35 0.4559822787075842
9 17 10 1.017562138840299
9 17 42 -2.3035241686232024
9 35 10 -0.49432469109899246
9 35 42 -0.7930802176126559
9 42 17 0.6897258578296774
9 42 35 -0.22661650562013264
10 7 23 -0.1588249455680373
10 7 29 1.2533778404209106
10 9 17 -0.31216612905923163
10 9 35 1.8284951369237117
10 11 14 0.0018511456500259382
10 11 38 -1.0006035313507775
10 14 11 0.8785360689882066
10 14 41 -1.1479671271572927
10 17 9 0.6882547020721111
10 17 43 0.397479214948909
10 23 7 0.4583538734971913
10 23 45 0.2140930723312018
10 29 7 0.2573303448084099
10 29 45 1.3613540454466386
10 35 9 0.8132078318744875
10 35 43 -0.9605549058547693
10 38 11 1.208038508160169
10 38 41 -0.2777984591210081
10 41 14 1.0367471197994587
10 41 38 -0.41552364676776166
10 43 17 0.04893698827679185
10 43 35 0.5280776991673233
10 45 23 1.2028006835389444
10 45 29 0.5521482104491772
11 6 25 -0.609686616564159
11 6 26 -0.09494319329801981
11 6 27 0.19108785745877502
11 10 14 -1.1829075120384498
11 10 38 -0.6233189212167436
11 14 10 -0.07800778661841969
11 14 42 -0.45539506678098596
11 25 6 0.09627888576921242
11 25 46 -1.2495661165505725
11 26 6 0.377233244517375
11 26 46 1.3096090468270312
11 27 6 -0.34349261879819115
11 27 46 -0.1488248290106825
11 38 10 -0.36704791777254875
11 38 42 -0.9469484632134976
11 42 14 2.1543540293929366
11 42 38 0.4213106693648063
11 46 25 -1.4626953506573852
11 46 26 0.25657513521796427
11 46 27 0.6020095911285345
13 5 22 0.5618704462080075
13 5 30 -0.07245263234867011
13 22 5 -0.31688921403494524
13 22 47 1.4999966590553973
13 30 5 -0.08529383284920271
13 30 47 1.0642704807054102
13 47 22 0.36063108153823326
13 47 30 -0.8301017572927626
14 6 17 0.21119390105474117
14 6 35 1.195261968842351
14 7 15 -0.5439873630323393
14 7 37 -1.4744488861452945
14 10 11 1.9814465849161145
14 10 41 1.0345870534564134
14 11 10 -0.6497326471028831
14 11 42 -1.1604762036174956
14 15 7 -0.9257451733115228
14 15 45 -1.6767843701362493
14 17 6 0.30878106971056113
14 17 46 -0.15186020435979627
14 35 6 -1.4159661659036749
14 35 46 0.8314045940315482
14 37 7 -0.7302235151574942
14 37 45 -0.8003301919298295
14 41 10 0.13819421554998387
14 41 42 1.2623528330292233
14 42 11 -1.5414709270130755
14 42 41 1.116185864310433
14 45 15 0.35850493694733815
14 45 37 -0.7535368211726482
14 46 17 -1.144558603380445
14 46 35 -0.7643886798416909
15 5 18 -0.16889006862423533
15 5 34 -0.6020721651249668
15 7 14 0.8093412571286851
15 7 38 -0.48681654755275655
15 14 7 -0.7563651829519829
15 14 45 0.6818984846967329
15 18 5 0.0477644394494507
15 18 47 0.7146311673307683
15 34 5 0.20712191239006184
15 34 47 0.5126977462772002
15 38 7 1.2144439311148583
15 38 45 -0.8738832024362467
15 45 14 -0.12593703575125276
15 45 38 -0.4765257706423924
15 47 18 0.1587720590502976
15 47 34 0.3291032922328576
17 3 22 1.3961000831374908
17 3 30 -0.9014695639088951
17 6 14 1.766806686963911
17 6 38 -0.72461934052225
17 9 10 1.2056868916680945
17 9 42 0.17469381346463378
17 10 9 0.017709811800061013
17 10 43 1.3182794229611587
17 14 6 0.5955121587120291
17 14 46 0.5323984949760074
17 22 3 -0.23152557386868017
17 22 49 -0.9568637826124994
17 30 3 0.8533064131399263
17 30 49 3.0497696908644643
17 38 6 1.3946535004031069
17 38 46 0.021180058147819727
17 42 9 -1.189190016836399
17 42 43 -0.2472540961127763
17 43 10 0.18651126307857083
17 43 42 -0.7262545186528101
17 46 14 1.4770572788003227
17 46 38 -1.0726334302258986
17 49 22 -2.3106656323694366
17 49 30 -1.2953900119352217
18 5 15 0.41498862207468407
18 5 37 0.1159199116790529
18 15 5 -0.1257836015476179
18 15 47 -0.36618459929411434
18 37 5 -0.2579251822307453
18 37 47 -0.5021059198625406
18 47 15 1.2601740773482388
18 47 37 0.10384284876276509
19 2 25 0.498988652756766
19 2 26 -0.9395287811823575
19 2 27 0.5151674951805878
19 25 2 -0.3679959617714658
19 25 50 1.0310322954215758
19 26 2 0.8119730726189212
19 26 50 0.6215404158000724
19 27 2 2.1649352624992115
19 27 50 -0.4054581834602616
19 50 25 0.32483730971948654
19 50 26 -0.05333319557406326
19 50 27 0.5334145770050871
21 2 21 -0.2882230366522618
21 2 31 -0.12511139347721664
21 21 2 0.04738700712648485
21 21 50 -0.13787085103332994
21 31 2 -0.7524654234942704
21 31 50 -1.4157846585370204
21 50 21 -2.100930053041319
21 50 31 -0.5242725028900546
22 3 17 -1.2592255536635224
22 3 35 -0.7559100685416075
22 5 13 0.7593734903473975
22 5 39 0.2000168292334587
22 13 5 -0.11882986620216328
22 13 47 -0.2325707310409049
22 17 3 -0.1073080721099243
22 17 49 0.2749414417036208
22 35 3 -0.18283993979289592
22 35 49 0.7992234518748905
22 39 5 -2.6392226719034855
22 39 47 -0.8186244112029158
22 47 13 -0.4130657004792924
22 47 39 -0.46550917794587354
22 49 17 1.5353822815525022
22 49 35 -1.6892638666195232
23 7 10 -0.054217122009826334
23 7 42 0.7427390448466267
23 10 7 1.2587618690372733
23 10 45 1.04648955962114
23 42 7 1.6316965905209455
23 42 45 0.2777353936775204
23 45 10 -0.882476428859507
23 45 42 0.39118579002828835
25 1 26 1.108223111875316
25 2 19 -0.3685323179114222
25 2 33 -1.0764124957306218
25 6 11 -1.1503458568859741
25 6 41 -0.2569223944834699
25 11 6 -0.1065551502413522
25 11 46 2.6857368158463446
25 19 2 -1.2050516524183228
25 19 50 -0.9512349234472376
25 26 1 1.0511633819504973
25 26 51 0.46766180375285993
25 33 2 -0.6613898591444699
25 33 50 -0.042671176164029
25 41 6 2.2790578819891274
25 41 46 -0.2857821681829668
25 46 11 -1.0124737551102565
25 46 41 0.30796274486460923
25 50 19 0.4832219997002185
25 50 33 -0.47722119317309736
25 51 26 -0.47752819076183495
26 1 25 -0.4589699621665721
26 1 26 -0.24794240044901278
26 1 27 -0.3657125494297008
26 2 19 -0.5167194306975421
26 2 33 0.19245759572796858
26 6 11 -0.4836869141369952
26 6 41 -0.877508744977932
26 11 6 0.17473797946905922
26 11 46 -0.7392439977882176
26 19 2 -0.3641141832981428
26 19 50 -0.6205144401955737
26 25 1 2.480926617114717
26 25 51 -1.2495837842727435
26 26 1 -0.8250794196231633
26 26 51 -0.08266410967676578
26 27 1 -1.343022471866504
26 27 51 -1.8865335671639933
26 33 2 -0.59200881217882
26 33 50 -0.18798749318110441
26 41 6 1.5781896428824147
26 41 46 -1.0028367421668871
26 46 11 -0.2093769511046071
26 46 41 1.3138956023388406
26 50 19 -0.5064602137821622
26 50 33 1.2816388274340682
26 51 25 0.5611547962849484
26 51 26 -1.4324217436336701
26 51 27 -1.5380185244389941
27 1 26 1.5098786958625137
27 2 19 0.7491959196762784
27 2 33 -0.2920312878399273
27 6 11 -1.650615447547962
27 6 41 -0.6725443903230147
27 11 6 1.0913285661272603
27 11 46 1.9004081233005832
27 19 2 1.2409890192989679
27 19 50 -0.23256060004191445
27 26 1 -1.5702876700762847
27 26 51 -1.010586421513373
27 33 2 1.78897135416935
27 33 50 0.6896192832597298
27 41 6 -0.19982041371801967
27 41 46 -1.4026452310147364
27 46 11 1.3257681669023285
27 46 41 -0.0036456381285588555
27 50 19 -0.29754011533104374
27 50 33 0.5794880773660762
27 51 26 -0.017802117600324137
29 7 10 -0.4312122008085698
29 7 42 -0.21978992039835252
29 10 7 -3.049181881248211
29 10 45 -1.0707406180377286
29 42 7 -0.933683460684815
29 42 45 0.49169421319394957
29 45 10 0.7855665890969118
29 45 42 0.6546040091422604
30 3 17 0.6128686508081985
30 3 35 0.06291102263248118
30 5 13 0.4187118672793692
30 5 39 -0.15290001568043074
30 13 5 -0.28098317258513933
30 13 47 0.853177781065831
30 17 3 1.1854653944194355
30 17 49 1.0827534640490069
30 35 3 -0.08205701344721338
30 35 49 -0.6133284022598174
30 39 5 0.4549601253690223
30 39 47 -0.9125390586975628
30 47 13 -0.08206096048096209
30 47 39 -0.9851009130063357
30 49 17 -0.8810979097442121
30 49 35 1.6893605978198525
31 2 21 -0.9660243309874595
31 2 31 -1.226958332220164
31 21 2 -1.1045574695552864
31 21 50 1.7907082361364977
31 31 2 0.21481252408685417
31 31 50 -0.07055214220583451
31 50 21 -0.3475779996031899
31 50 31 -0.15636754175997905
33 2 25 0.15381259126418292
33 2 26 -1.1712053742556463
33 2 27 -0.31029319204882266
33 25 2 -0.545597013286092
33 25 50 1.2551011154619984
33 26 2 -0.33374386012122437
33 26 50 -0.8491772927205792
33 27 2 0.5288207715298331
33 27 50 1.159204611095318
33 50 25 0.85853507506205
33 50 26 1.2993102753083523
33 50 27 -0.046069008773845045
34 5 15 0.02522789658155164
34 5 37 0.2683181480340193
34 15 5 0.6077602767113643
34 15 47 0.20964165755234881
34 37 5 0.8143976575128247
34 37 47 0.6105861293202605
34 47 15 -0.1977116744334476
34 47 37 -0.3385295564417874
35 3 22 -0.7973533745350614
35 3 30 -1.3841281636199096
35 6 14 -0.27079610475937427
35 6 38 -0.1564286211099851
35 9 10 0.7608330896004472
35 9 42 -1.1594395379751277
35 10 9 -0.7423954617178168
35 10 43 0.4131137112853992
35 14 6 2.5940738252926803
35 14 46 -0.1003724927827248
35 22 3 1.1090143587958843
35 22 49 0.737069902694757
35 30 3 0.8500922728871082
35 30 49 0.7531056724086003
35 38 6 -2.0433917122163794
35 38 46 -0.43120309101316495
35 42 9 -1.0084420036091002
35 42 43 -0.7358971876905313
35 43 10 -1.1900613373256212
35 43 42 0.12852588098581996
35 46 14 0.8374299269984387
35 46 38 -1.3014175112302455
35 49 22 -1.4536865495040991
35 49 30 0.4992040647121614
37 5 18 -0.7009322949404196
37 5 34 -0.8898158740755042
37 7 14 -0.20525329416514257
37 7 38 0.368251946232654
37 14 7 0.5460382577206281
37 14 45 -0.5556100398959026
37 18 5 0.24197585951381384
37 18 47 -2.4769039685874517
37 34 5 0.8698783965637216
37 34 47 -1.2659170528852013
37 38 7 2.3026441666102437
37 38 45 1.2192545310534708
37 45 14 1.0198727027320063
37 45 38 0.27129456855436346
37 47 18 0.5276920637857241
37 47 34 0.4383177514854048
38 6 17 -0.35970929472807794
38 6 35 -0.8918583704105326
38 7 15 -0.2428242282941674
38 7 37 -0.05462680538164231
38 10 11 -0.11334664203537631
38 10 41 -0.3586564135218544
38 11 10 2.9649505185057783
38 11 42 -0.8346849137616194
38 15 7 -0.4700266535683365
38 15 45 0.200804081676184
38 17 6 0.5051768856841511
38 17 46 -0.14437197920173048
38 35 6 -0.12653554836719927
38 35 46 -0.07527383428180476
38 37 7 1.2401911766425442
38 37 45 0.13093733110781677
38 41 10 -0.058097599150050895
38 41 42 0.9219057644561589
38 42 11 -1.507169218381047
38 42 41 -0.293560996265798
38 45 15 0.20470208519504654
38 45 37 1.7349220904503921
38 46 17 0.20324370648806678
38 46 35 0.34920149210872303
39 5 22 0.663669451962086
39 5 30 0.7298644347832203
39 22 5 0.46112243549414866
39 22 47 0.7908249103553023
39 30 5 -0.6549129686355193
39 30 47 -0.7192344749441378
39 47 22 1.6057359520836187
39 47 30 1.914801249180972
41 6 25 -0.48597840608338094
41 6 26 0.40632434587083005
41 6 27 2.3223483741192505
41 10 14 0.1985336488498495
41 10 38 -1.8676465685941703
41 14 10 0.9954219094064548
41 14 42 0.5981997513733219
41 25 6 1.9416771919095341
41 25 46 0.6636096532074404
41 26 6 -0.44867409139663467
41 26 46 1.9353811804515408
41 27 6 0.04390929623651489
41 27 46 -0.4621912384663583
41 38 10 -0.04133269747042278
41 38 42 -1.5571812927191306
41 42 14 1.168134991610351
41 42 38 1.4797844496628056
41 46 25 1.7968119534755456
41 46 26 0.310828661973056
41 46 27 1.7163381108815856
42 7 23 -0.14666776904780113
42 7 29 -0.2524748038929834
42 9 17 -0.3485685727539977
42 9 35 -0.014151816241533105
42 11 14 1.5917538764589187
42 11 38 -1.0765518308259716
42 14 11 -1.2033366251735764
42 14 41 -0.8012041521879204
42 17 9 -0.08105445081958317
42 17 43 -2.5063958547102314
42 23 7 1.8203982235707723
42 23 45 0.6325513507820244
42 29 7 0.38744727367450327
42 29 45 -0.7946270050217275
42 35 9 -1.7171535936328277
42 35 43 -2.0596932262015106
42 38 11 0.21185323340247786
42 38 41 -0.3485434775708219
42 41 14 0.194693925645232
42 41 38 0.6252235813849735
42 43 17 -0.3454450367781966
42 43 35 0.16323780372755606
42 45 23 -0.23449197258410362
42 45 29 -2.305148040158928
43 10 17 1.1952242097625965
43 10 35 2.0277990793164538
43 17 10 -0.5657911256004222
43 17 42 -0.3469549207134988
43 35 10 0.6998945381466096
43 35 42 -1.177678740142517
43 42 17 -0.12861636157000783
43 42 35 0.5989092199772944
45 10 23 1.4075478670863824
45 10 29 -0.19422381662416627
45 14 15 1.2583800745421556
45 14 37 0.9410460393955612
45 15 14 -0.3496715244088865
45 15 38 -0.6164534197170634
45 23 10 -1.9897669983493977
45 23 42 -1.2966251977433854
45 29 10 -0.19637395778968325
45 29 42 -0.24590524352866838
45 37 14 -1.0878002433184846
45 37 38 -0.5178968275482039
45 38 15 -1.2882293784064724
45 38 37 0.7995917994007722
45 42 23 -1.5123345523313632
45 42 29 -0.9665003205113549
46 11 25 -0.9121978170572085
46 11 26 0.4600276897069022
46 11 27 -1.4008897855123907
46 14 17 -0.5003233493547405
46 14 35 -0.6680449931339771
46 17 14 -0.13624818851969153
46 17 38 0.1171346807619794
46 25 11 0.9773842193639538
46 25 41 -0.03212136914191679
46 26 11 -0.23607747930446843
46 26 41 -1.2539176400134968
46 27 11 0.8091155367917268
46 27 41 -0.557093993380188
46 35 14 -0.32045182891206186
46 35 38 -0.62843208892796
46 38 17 -1.6117241797067738
46 38 35 1.5796838173888346
46 41 25 -1.8120627763752633
46 41 26 -0.41993546107564517
46 41 27 1.5256333978322105
47 13 22 0.3315866494300429
47 13 30 0.6540027985235476
47 15 18 -0.040991458753675235
47 15 34 -1.3138011378700358
47 18 15 -0.6780825156863451
47 18 37 -0.007284934537975822
47 22 13 0.20264994449529863
47 22 39 -0.8778170648694495
47 30 13 0.4361328912844667
47 30 39 -1.1241024018325507
47 34 15 0.4179033736367216
47 34 37 1.0719207102247479
47 37 18 1.058121443502458
47 37 34 2.4352975941292216
47 39 22 -1.3676052109154588
47 39 30 -0.43716362041619644
49 17 22 1.1235679519062451
49 17 30 0.9239354214764849
49 22 17 0.9362017806271535
49 22 35 -1.0939804445719565
49 30 17 1.7188888488907528
49 30 35 -0.2802353978422629
49 35 22 -0.3046575491824481
49 35 30 -2.1242654871198496
50 19 25 -0.3731026552030259
50 19 26 -0.1114723327300468
50 19 27 1.492695350448354
50 21 21 0.5955490796127146
50 21 31 1.8676713249338297
50 25 19 -0.33212520872992624
50 25 33 0.31537561553855314
50 26 19 -1.2225676902509595
50 26 33 1.015335172018823
50 27 19 -0.9926894555934503
50 27 33 -0.27314507877253263
50 31 21 -0.34540295108467234
50 31 31 -1.369268461835843
50 33 25 0.0032092166865834264
50 33 26 0.6403947237075547
50 33 27 -0.1361487552777926
51 25 26 0.8594878471038657
51 26 25 -0.5834987766977536
51 26 26 -0.845889771289479
51 26 27 0.5643417883199006
51 27 26 0.2434180080846535
