# i j k value
1 25 26 -0.5117177481250799
1 26 25 0.7834728412524907
1 26 26 0.3240857985174113
1 26 27 0.21337749947346657
1 27 26 1.1573964339677911
2 19 25 0.04085105576055422
2 19 26 1.1429283871693485
2 19 27 0.8420619546981526
2 21 21 0.439098832255281
2 21 31 1.346863890580359
2 25 19 -0.31096693027084016
2 25 33 0.5513883512408778
2 26 19 -2.5141459648362385
2 26 33 1.0545121418634802
2 27 19 1.9169725990562516
2 27 33 1.640833914980757
2 31 21 0.8740290552739054
2 31 31 -0.9900253707233037
2 33 25 0.729853488928435
2 33 26 -1.2563866164283635
2 33 27 -1.1489152699991805
3 17 22 -0.900771482729397
3 17 30 1.069525066920666
3 22 17 -0.9675122782314844
3 22 35 1.1511773015983027
3 30 17 0.21511982401695126
3 30 35 0.5179815309493282
3 35 22 -0.8144352913589391
3 35 30 0.6428931091161818
5 13 22 1.3413191135805758
5 13 30 1.5050091797039749
5 15 18 -0.26411273701999616
5 15 34 0.06497301619866733
5 18 15 -0.12318822428140073
5 18 37 -0.02691066429427451
5 22 13 1.1213345808816992
5 22 39 -0.2834432576829573
5 30 13 -0.18759108764835863
5 30 39 1.0474941569648153
5 34 15 -1.2600051478271248
5 34 37 -1.579815267464301
5 37 18 -0.8576464468783811
5 37 34 -0.24187337782009877
5 39 22 -0.2546590811522918
5 39 30 -1.1975408154121367
6 11 25 0.04198859605547586
6 11 26 0.11446753045312338
6 11 27 -1.4160175445265233
6 14 17 1.102636049917347
6 14 35 0.07744506551765792
6 17 14 0.47611026204253476
6 17 38 -0.2163168681324202
6 25 11 -0.026384217166502834
6 25 41 -0.1285494791663821
6 26 11 1.8737888176056667
6 26 41 0.31145818378783985
6 27 11 0.2866640718169018
6 27 41 0.27612081878963385
6 35 14 0.515839165660213
6 35 38 -0.07133453226544703
6 38 17 -0.7050142540886238
6 38 35 1.142064506842275
6 41 25 0.5649564075864638
6 41 26 -0.10259499155756578
6 41 27 -0.14757227859728092
7 10 23 0.7131266077190335
7 10 29 1.373188760878881
7 14 15 1.3489714972907272
7 14 37 -0.28202560798984033
7 15 14 -2.272266747124815
7 15 38 -0.9096228736383495
7 23 10 1.7178849766564468
7 23 42 -0.3639155610578828
7 29 10 0.542827768312082
7 29 42 -0.3263926881362615
7 37 14 -1.548808839075537
7 37 38 -1.4654022137692169
7 38 15 -0.11955070847583285
7 38 37 -1.171796823989346
7 42 23 -0.016388504586695732
7 42 29 0.3239810610553671
9 10 17 -1.1344913693973926
9 10 35 -0.1581889247051031
9 17 10 -1.7429430778398338
9 17 42 -1.775570124095387
9 35 10 -0.4538541089782003
9 35 42 1.476427353062676
9 42 17 -0.4764417830004855
9 42 35 -1.4027846250082823
10 7 23 -0.3273188928376373
10 7 29 -0.06629359057087902
10 9 17 0.2552692595416358
10 9 35 1.5423866910968331
10 11 14 1.3711367733611728
10 11 38 0.4142883700959682
10 14 11 -1.5727542817140567
10 14 41 -1.066242306798222
10 17 9 -1.2170555323654695
10 17 43 1.517127733935685
10 23 7 -0.888385185693743
10 23 45 -1.3090113351770198
10 29 7 -1.290714537819736
10 29 45 0.37151191971933917
10 35 9 2.3177722592731325
10 35 43 -1.6259353720094067
10 38 11 0.7245627522639644
10 38 41 0.3105212045177771
10 41 14 3.1412278351077645
10 41 38 1.0337454622904119
10 43 17 -1.112922000319105
10 43 35 1.0965617932022655
10 45 23 -0.8139407886627874
10 45 29 -0.5756645453646319
11 6 25 0.336262615857309
11 6 26 0.8398680433231183
11 6 27 -1.2976756582045712
11 10 14 -1.5052317165380547
11 10 38 0.7732016474712706
11 14 10 -0.4868385174033754
11 14 42 0.2603348126493413
11 25 6 -0.3726696790304391
11 25 46 0.3088991024556547
11 26 6 1.11084123212648
11 26 46 1.5553541253235992
11 27 6 1.0495140682544513
11 27 46 -0.5109204985737666
11 38 10 1.5696145487855508
11 38 42 -0.09253540966256996
11 42 14 -0.9465492275685968
11 42 38 -0.14770743035357137
11 46 25 -0.7097663036955325
11 46 26 -1.1872017281274776
11 46 27 -0.3120173191401979
13 5 22 0.5172063503034976
13 5 30 -0.8345310436180667
13 22 5 -0.14072181055542402
13 22 47 -1.6665134481282284
13 30 5 0.7002945846737989
13 30 47 1.8613239969039546
13 47 22 0.5450394181352936
13 47 30 -0.4002554714215684
14 6 17 -0.6460727185296742
14 6 35 1.889804164152823
14 7 15 -0.29887216607213873
14 7 37 0.8613822519777363
14 10 11 -0.04123843632823175
14 10 41 0.1696172939665129
14 11 10 -0.4906756343442992
14 11 42 0.008391370721093628
14 15 7 -0.6202145384713391
14 15 45 -0.6337678793193978
14 17 6 0.4220907900176388
14 17 46 0.060617838640724266
14 35 6 -2.024615721721539
14 35 46 0.4925630297626971
14 37 7 -0.4084440381787441
14 37 45 1.6706000878632752
14 41 10 -1.699493423930313
14 41 42 -0.9336062262706718
14 42 11 -0.4138985192543475
14 42 41 -1.0023226878155356
14 45 15 0.6400565365177062
14 45 37 0.7541176073222143
14 46 17 0.49446580191209083
14 46 35 0.6068211720908996
15 5 18 -2.107548452383337
15 5 34 0.7179016672498126
15 7 14 1.727511981002935
15 7 38 0.5157442214780097
15 14 45 0.383969428814511
15 18 5 -0.7900554638083749
15 18 47 1.3269262562816821
15 34 5 -0.5177830330778979
15 34 47 1.2678866362911159
15 38 7 2.0826117705961416
15 38 45 -0.9492879571297106
15 45 14 -0.07199045896811149
15 45 38 1.7592826401044313
15 47 18 1.070588671740084
15 47 34 -0.1676798866838074
17 3 22 -0.40721940312727084
17 3 30 -1.1158340654081798
17 6 14 -1.2208850471033406
17 6 38 1.2331062001164605
17 9 10 -0.6887470399696788
17 9 42 -1.792552805858663
17 10 9 -1.5568656095963145
17 10 43 0.3496185261670008
17 14 6 1.597991043870955
17 14 46 -0.3383471124523066
17 22 3 -1.4199392319462596
17 22 49 -1.384904379921178
17 30 3 -0.4347571216367322
17 30 49 -1.3826755923794802
17 38 6 -1.4839318292231807
17 38 46 0.5149086745353099
17 42 9 -1.2858396061759165
17 42 43 1.1695832747735846
17 43 10 0.6745201359681743
17 43 42 0.3713303560627262
17 46 14 0.3644849916498968
17 46 38 -0.17322142809537824
17 49 22 -0.6140530112791998
17 49 30 1.1329754384424218
18 5 15 0.2693009027323847
18 5 37 0.10829733106983466
18 15 5 0.21518996162853243
18 15 47 -1.4586539138039443
18 37 5 -0.8192444853861335
18 37 47 -0.24598838725614708
18 47 15 1.0995953005401709
18 47 37 0.1870435053112534
19 2 25 -0.8615334762772177
19 2 26 -0.2053013294683244
19 2 27 0.2076803527858962
19 25 2 0.3148833864568878
19 25 50 0.4585518634058469
19 26 2 -0.5763423814213599
19 26 50 -0.7689401786447736
19 27 2 0.46628646427676546
19 27 50 -0.5382720351723946
19 50 25 0.6853246275050353
19 50 26 0.5215679919675119
19 50 27 -0.7999892653963787
21 2 21 -0.8050339070350923
21 2 31 -1.0273513850967944
21 21 2 0.5552663336080387
21 21 50 0.5836278123731888
21 31 2 -0.5104805685768716
21 31 50 -0.23174682835795446
21 50 21 -0.3144926072551682
21 50 31 -0.4892530263945831
22 3 17 -1.066943365334699
22 3 35 -0.019118219815313316
22 5 13 -1.1035449087185716
22 5 39 1.0308457092364147
22 13 5 -0.5904632010646884
22 13 47 -0.6408628230233676
22 17 3 0.5485751732296748
22 17 49 -0.695096940940224
22 35 3 -0.6090665183921227
22 35 49 -0.6369000640200438
22 39 5 -1.396915756685519
22 39 47 -0.12431139652083455
22 47 13 0.5904352190124716
22 47 39 -0.1642781536240776
22 49 17 0.1591480791782394
22 49 35 0.3634330706941024
23 7 10 1.5655295490731262
23 7 42 -0.05301356534705835
23 10 7 1.2951281296415602
23 10 45 0.8439178871065257
23 42 7 0.5167022724502325
23 42 45 1.4487064013911282
23 45 10 1.4774051490875562
