# i j k value
1 1 1 -0.06726567654298991
1 1 2 0.08068337922048952
1 1 3 -0.0019019186772300397
1 1 4 0.10219374243221313
1 1 5 0.060840738199190024
1 1 6 -0.1005727044957732
1 1 7 -0.014343798523402526
1 1 8 -0.03260129243826365
1 1 9 -0.026312374948644947
1 1 10 -0.08428091706941773
1 1 11 0.1778954648724856
1 1 12 -0.10179504279037703
1 1 13 0.08024208502540668
1 1 14 -0.014645887308858614
1 1 15 0.05818350061439899
1 1 16 -0.0724093397512743
1 1 17 0.0788390716634967
1 1 18 0.012007791461198812
1 1 19 -0.09765966726379692
1 1 20 0.07909746819127017
1 1 21 0.01420614191333666
1 1 22 -0.020853033960868187
1 1 23 -0.035099861315393034
1 1 24 -0.053142685790176655
1 1 25 -0.0763434286852267
1 1 26 0.025385714685322677
1 1 27 -0.1126992029784168
1 1 28 -0.05143783366546327
1 1 29 -0.03765595840758149
1 1 30 -0.031036865361212026
1 1 31 -0.03946769404704813
1 1 32 -0.10244484817631899
1 1 33 0.07102820848742078
1 1 34 0.04549177322488338
1 1 35 0.0025852076823063477
1 1 36 0.05837536774157249
1 1 37 -0.2139693208314049
1 1 38 -0.07211793885639778
1 1 39 0.08641528465484871
1 1 40 -0.024530425449725314
1 1 41 -0.11372776874331997
1 1 42 0.016232281832346193
1 1 43 -0.09923901612368893
1 1 45 0.07267060685060725
1 1 46 0.0053764334447041285
1 1 47 0.18954253463836238
1 1 48 -0.13280571780496184
1 1 49 0.049964215137225515
1 1 50 -0.016451010812298824
1 1 51 -0.028248500922080706
1 2 1 -0.08052731619473044
1 2 2 0.03286229723710843
1 2 3 0.09943413989554259
1 2 4 0.10043718591786885
1 2 5 -0.14910872734150007
1 2 6 -0.11052034844457577
1 2 7 0.0030003890365346573
1 2 8 0.13358292315254403
1 2 9 0.0750811824007941
1 2 10 -0.01803673087848338
1 2 11 -0.006640721630184136
1 2 12 0.015318173644313982
1 2 13 -0.25947573875647956
1 2 14 -0.009845916964016694
1 2 15 0.035912103935330515
1 2 16 -0.08364281017252291
1 2 17 -0.12694752226166867
1 2 18 -0.011597647762281473
1 2 19 0.10488155407451756
1 2 20 -0.010297694486198022
1 2 21 -0.13310039759897435
1 2 22 -0.04386607918432884
1 2 23 0.06989961333886226
1 2 24 -0.10022321254619776
1 2 25 -0.022375700840546617
1 2 26 -0.18098286166869448
1 2 27 0.04524889299357969
1 2 28 0.006353882918383209
1 2 29 -0.18284002588371953
1 2 30 -0.042518587634793895
1 2 31 -0.06104352935443252
1 2 32 0.0379614685162679
1 2 33 -0.10814253083152577
1 2 34 0.0636352091892589
1 2 35 0.03414690891908477
1 2 36 -0.11054465816523966
1 2 37 -0.012794333118574742
1 2 38 -0.10450582740261484
1 2 39 0.033163996962422164
1 2 40 -0.028844543672280006
1 2 41 0.08027522644468821
1 2 42 -0.04167876530596473
1 2 43 0.0956786945793387
1 2 44 -0.05924692270408118
1 2 45 -0.03501425410567254
1 2 46 -0.0182435395477953
1 2 47 0.17732859001087423
1 2 48 0.015758714726059716
1 2 49 0.04895196688382776
1 2 50 -0.002543994204488549
1 2 51 0.05820947193174072
1 3 1 0.0021178210978214426
1 3 2 0.02368443624753531
1 3 3 -0.07607125006355533
1 3 4 0.07322418568848615
1 3 5 0.0538361520771305
1 3 6 0.02515690436682017
1 3 7 0.1479155067598175
1 3 8 -0.06217436956915175
1 3 9 -0.09963237617404222
1 3 10 -0.1859608862815678
1 3 11 -0.0981591500694499
1 3 12 -0.14288557336687255
1 3 13 0.09433443681392496
1 3 14 -0.027583911916580696
1 3 15 -0.02732885370672563
1 3 16 0.061659018742664745
1 3 17 0.04286940489757616
1 3 18 0.07119793529173664
1 3 19 -0.04532024327729979
1 3 20 0.009382899824965948
1 3 21 -0.04347564729864287
1 3 22 0.03825207333477091
1 3 23 -0.023198270053713742
1 3 24 0.01984678776072363
1 3 25 0.11385139137854704
1 3 26 -0.08658125534384845
1 3 27 0.006628345088997836
1 3 28 0.05903279227353248
1 3 29 0.040364841588187726
1 3 30 -0.032185091132356736
1 3 31 0.005674886619235996
1 3 32 -0.1109721181356915
1 3 33 0.0038633297429747897
1 3 34 0.08550784922102911
1 3 35 -0.07652351777373995
1 3 36 0.023183816526185366
1 3 37 0.009577112178181394
1 3 38 0.08104379871436689
1 3 39 -0.19547737221314174
1 3 40 -0.0661449736140106
1 3 41 0.041545185613343215
1 3 42 0.07570075027640359
1 3 43 -0.07740336972512157
1 3 44 -0.01848457614718334
1 3 45 -0.015468045358838984
1 3 46 0.14861792311415672
1 3 47 0.0505506600630021
1 3 48 -0.14933496038274022
1 3 49 0.016626466285315746
1 3 50 0.04559129134334672
1 3 51 0.013450889165795978
1 4 1 -0.04012702753550237
1 4 2 0.0768584085823854
1 4 3 -0.04363099102521933
1 4 4 0.31813899137601054
1 4 5 0.11721799072578638
1 4 6 0.01825932692860322
1 4 7 -0.09502457933801506
1 4 8 0.03469327673717021
1 4 9 0.07597738016112748
1 4 10 0.01093006283256996
1 4 11 -0.0147157132314062
1 4 12 0.030334436267706284
1 4 13 0.1477186279777992
1 4 14 -0.16357592107061392
1 4 15 0.11020163264985805
1 4 16 -0.12314200341420523
1 4 17 -0.036426831798182166
1 4 18 -0.013050701848496597
1 4 19 -0.11234416925881845
1 4 20 0.02282184921040708
1 4 21 -0.009770595011017456
1 4 22 0.04650157361624574
1 4 23 -0.039102199061517406
1 4 24 -0.06086873974157298
1 4 25 -0.001213963628597125
1 4 26 -0.18769570687304205
1 4 27 -0.09950817922574928
1 4 28 0.08043904596927617
1 4 29 -0.015387881808581442
1 4 30 0.1380268974093851
1 4 31 0.21562751619207773
1 4 32 0.030716016122969342
1 4 33 0.0299090010710479
1 4 34 0.09635968105566926
1 4 35 0.056473187400102424
1 4 36 -0.002388148185261887
1 4 37 -0.08550991010359203
1 4 38 0.0011224728530083992
1 4 39 0.08200670572664208
1 4 40 -0.022591118960745157
1 4 41 0.18371791718562916
1 4 42 -0.14382456876797733
1 4 43 -0.13404006165112978
1 4 44 0.1411793761140792
1 4 45 0.02122887584049276
1 4 46 -0.18640496249960145
1 4 47 -0.005495474258402477
1 4 48 -0.20447114202068983
1 4 49 0.057936976021110545
1 4 50 -0.08617465518523579
1 4 51 -0.03620300438001603
1 5 1 0.06561419649576872
1 5 2 -0.07360661641049442
1 5 3 0.008097874440258005
1 5 4 -0.05525635699556399
1 5 5 0.02069098201821712
1 5 6 0.04362829357122124
1 5 7 0.1947612164609717
1 5 8 0.04304519610562735
1 5 9 0.08316790550858773
1 5 10 0.02101427827630642
1 5 11 -0.04434538387707478
1 5 12 0.17759612331203492
1 5 13 0.09134098847986985
1 5 14 0.056394341124658756
1 5 15 -0.038236523034843255
1 5 16 0.005120327618718116
1 5 17 0.023786053936026997
1 5 18 -0.16899288636943885
1 5 19 0.06168571405665451
1 5 20 -0.06868507720033477
1 5 21 -0.08938389819075707
1 5 22 0.06336906972932292
1 5 23 0.10522017339900518
1 5 24 0.10559765438915106
1 5 25 -0.13584762799581135
1 5 26 0.1984279892948213
1 5 27 0.04730682224304368
1 5 28 -0.0245979190768565
1 5 29 0.11423023068451175
1 5 30 -0.07644304183218834
1 5 31 -0.04143107598848652
1 5 32 -0.046852291270465946
1 5 33 0.06461634049894396
1 5 34 -0.10049714712742512
1 5 35 -0.10099860057315656
1 5 36 0.010980711035965306
1 5 37 -0.026742360424693436
1 5 38 0.143505945608998
1 5 39 -0.09311350598074407
1 5 40 0.06100076316253573
1 5 41 -0.028022698666869416
1 5 42 -0.04287276301964367
1 5 43 0.16895432750574413
1 5 44 0.014934087932515789
1 5 45 0.08071581864945396
1 5 46 -0.06165904530610651
1 5 47 -0.1501804947946004
1 5 48 0.02841635873449466
1 5 49 -0.022953281619812534
1 5 50 -0.07868466073884457
1 5 51 -0.11944338904609736
1 6 1 0.11124073481088698
1 6 2 -0.11990989892882037
1 6 3 0.019936260173506668
1 6 4 0.255268812928623
1 6 5 0.060992615415770016
1 6 6 0.0820776903391535
1 6 7 -0.025530293594393814
1 6 8 0.05251713383392699
1 6 9 -0.04143336969865419
1 6 10 0.026046078000541786
1 6 11 -0.027760305148833903
1 6 12 -0.03494985678657292
1 6 13 -0.055491491472467847
1 6 14 -0.017121037284910847
1 6 15 0.031056854059423364
1 6 16 0.08929579370461374
1 6 17 -0.06020424876606831
1 6 18 -0.08957741035664371
1 6 19 -0.027249860252337436
1 6 20 0.05050733483634351
1 6 21 -0.025586031133400286
1 6 22 0.10100483770573977
1 6 23 0.08356426039611438
1 6 24 0.024718876686351955
1 6 25 0.11218763114279623
1 6 26 -0.09599583676740527
1 6 27 -0.10173691843171874
1 6 28 -0.034447609401715644
1 6 29 0.020508443670475933
1 6 30 -0.10442110369779023
1 6 31 0.06652091797787357
1 6 32 -0.04646158495681908
1 6 33 0.11077467196103753
1 6 34 -0.08840216650691
1 6 35 0.016241091169344787
1 6 36 0.05275275867699439
1 6 37 0.03321951757651678
1 6 38 0.14926610002934024
1 6 39 0.08365699502549165
1 6 40 0.015685610455847425
1 6 41 0.04400125616411539
1 6 42 -0.031979566254210945
1 6 43 0.0025653518761351427
1 6 44 0.07777683719678988
1 6 45 -0.04296398195757121
1 6 46 0.006312166517656608
1 6 47 0.12546789150468923
1 6 48 0.008127310181031105
1 6 49 0.05425984251869385
1 6 50 -0.06650086733301044
1 6 51 -0.08790446347202849
1 7 1 0.055301795660924365
1 7 3 -0.04832345046454565
1 7 4 0.19759135365598002
1 7 5 0.06293257626665351
1 7 6 0.12549567757024177
1 7 7 0.08826130279608543
1 7 8 -0.1879555071824938
1 7 9 0.12590875331227006
1 7 10 -0.1678438300016241
1 7 11 -0.002772033671483001
1 7 12 -0.1740719196912508
1 7 13 -0.19777198900547155
1 7 14 -0.18839830342670585
1 7 15 0.10139860498532668
1 7 16 0.08242742393907733
1 7 17 0.015191576355848401
1 7 18 0.32300607957255184
1 7 19 0.08296880061833552
1 7 20 -0.1397656576904033
1 7 21 -0.033876578691358135
1 7 22 0.038993576082186315
1 7 23 0.08784530802657566
1 7 24 -0.19655688073105396
1 7 25 0.09644027862986447
1 7 26 -0.08701618151949987
1 7 27 0.018414973835953724
1 7 28 0.11265272965419912
1 7 29 -0.07977411922003054
1 7 30 -0.1421272740156287
1 7 31 -0.002517291691774925
1 7 32 -0.16262522957204514
1 7 33 0.18780119518103194
1 7 34 -0.062085027725348296
1 7 35 -0.01580048400109978
1 7 36 0.02049353668710082
1 7 37 0.09166565714673257
1 7 38 0.25845426911377994
1 7 39 -0.035330828187540964
1 7 40 -0.09150163396734244
1 7 41 0.021015637702012983
1 7 42 -0.15314850075757394
1 7 43 -0.0038049105874440915
1 7 44 0.17869433452509811
1 7 45 -0.13837315435053316
1 7 46 0.08281407381655391
1 7 47 -0.06751353251664993
1 7 48 0.05585138443422618
1 7 49 0.004348179340842702
1 7 50 -0.0770394704845726
1 7 51 -0.11283981154620529
1 8 1 0.019328869674814987
1 8 2 -0.09307220561073823
1 8 3 -0.1728477008317662
1 8 4 -0.09150589554938142
1 8 5 0.031929833983816935
1 8 6 0.027887679225318356
1 8 7 0.025635703477702127
1 8 8 0.08840844373805999
1 8 9 -0.14398691658441515
1 8 10 -0.05276784622048164
1 8 11 -0.10284214674706382
1 8 12 -0.004473765823118319
1 8 13 -0.0621324679390628
1 8 14 0.020267730409327563
1 8 15 -0.07415439416607089
1 8 16 0.006381603807517851
1 8 17 0.04987904463775999
1 8 18 0.10484259195995581
1 8 19 0.18279923979113252
1 8 20 -0.026716808231898467
1 8 21 0.13766863947216437
1 8 22 0.11906189829086077
1 8 23 -0.06801633823000422
1 8 24 -0.07550915432293152
1 8 25 0.018091727078001597
1 8 26 -0.2925110402496956
1 8 27 -0.1297149361273063
1 8 28 0.011577785418483906
1 8 29 -0.10943476072396198
1 8 30 0.011512332733391997
1 8 31 -0.015420155459012954
1 8 32 0.10296590298787478
1 8 33 -0.07223058043746225
1 8 34 -0.13243162363088645
1 8 35 0.18272316359536953
1 8 36 -0.02584384852636719
1 8 37 0.10858721316134597
1 8 38 -0.03589208827795576
1 8 39 -0.03259083974407146
1 8 40 -0.010953385090904494
1 8 41 0.02837817818839727
1 8 42 0.013155906567576819
1 8 43 -0.13666043334096276
1 8 44 -0.027246429394393135
1 8 45 -0.02836025736785391
1 8 46 0.016954141535465476
1 8 47 0.055742975734823286
1 8 48 0.12385168264851065
1 8 49 0.0423085585068782
1 8 50 0.08802995086430868
1 8 51 0.06360176606406942
1 9 1 -0.058439281912671504
1 9 2 0.21364882029689541
1 9 3 0.05247813001925982
1 9 4 -0.04220398638087461
1 9 5 -0.282447328216931
1 9 6 0.23026309683444626
1 9 7 -0.010521544398578064
1 9 8 0.014316342828040167
1 9 9 0.07264696986037512
1 9 10 0.054547660328526607
1 9 11 0.053603988509704555
1 9 12 0.011021037346472844
1 9 13 0.030616832947884174
1 9 14 -0.02657828113303782
1 9 15 -0.06571782529833252
1 9 16 0.0724839298317328
1 9 17 0.08757128557789981
1 9 18 -0.06727390608447695
1 9 19 -0.10215103534639744
1 9 20 0.009813859168950301
1 9 21 -0.10303540831268014
1 9 22 0.19607213563448736
1 9 23 0.10229277179202408
1 9 24 -0.1899418734117848
1 9 25 0.06786398981070468
1 9 26 -0.020405832194054233
1 9 27 0.16035755327838605
1 9 28 0.07196390248717816
1 9 29 0.04780289525370783
1 9 30 -0.011166131755977998
1 9 31 0.07359842488157149
1 9 32 -0.009980546143886947
1 9 33 -0.13153450900691904
1 9 34 -0.09160554985532314
1 9 35 -0.028811969824536373
1 9 36 -0.058698158926464884
1 9 37 0.09332901316749255
1 9 38 0.34043746867348834
1 9 39 0.1634155533542288
1 9 40 0.1456875937035599
1 9 41 -0.01782653031154703
1 9 42 0.0019463069335102833
1 9 43 0.05646861177563033
1 9 44 0.0750793241820451
1 9 45 -0.13321696463007307
1 9 46 -0.016206568767177968
1 9 47 -0.0010082552204408943
1 9 48 -0.033779227903577236
1 9 49 -0.03025859095840394
1 9 50 0.031094733017287053
1 9 51 0.01437704906638232
1 10 1 0.10269481938163094
1 10 2 0.04336821919666071
1 10 3 -0.029152772967643764
1 10 4 0.06727215053144253
1 10 5 0.16189778945890093
1 10 6 0.0859713423198842
1 10 7 0.08438548330194329
1 10 8 -0.06286898265682626
1 10 9 0.09221902371440946
1 10 10 0.07885695773203057
1 10 11 -0.041529132077163584
1 10 12 0.016398757631521592
1 10 13 0.041503399966416527
1 10 14 -0.20933210492048257
1 10 15 -0.038447065128162865
1 10 16 0.05988132414995832
1 10 17 -0.017166819319242178
1 10 18 -0.03263684381157959
1 10 19 0.010531557116835141
1 10 20 -0.020437729455113154
1 10 21 -0.02415549872928932
1 10 22 0.0633527286879069
1 10 23 0.061098507529741365
1 10 24 0.0946542875859145
1 10 25 -0.10813048516097439
1 10 26 0.059787332491167654
1 10 27 -0.10152722302997207
1 10 28 -0.06649173018397514
1 10 29 0.08519894506717682
1 10 30 -0.13106447562059642
1 10 31 0.07027921678526798
1 10 32 -0.04931381666293193
1 10 33 -0.06979097001629575
1 10 34 -0.06355330762908235
