# i j k value
1 1 50 0.17212958796006256
1 1 51 0.06808290666414944
1 2 50 0.10051642717430893
1 2 51 -0.14497317208522342
1 3 50 -0.10902299385323379
1 3 51 -0.2755650963875316
1 4 50 -0.3521211354287699
1 4 51 0.24477902906538668
1 5 50 -0.1853907048513286
1 5 51 0.044728183112887766
1 14 48 -0.07077985827433428
1 14 49 -1.3145447238423498
1 15 48 -0.37540781601033246
1 15 49 -0.7503681788980534
1 20 46 0.056023340245989796
1 20 47 -0.07570456193194129
1 21 46 -0.21444408590802602
1 21 47 -0.18160902829117082
1 24 44 -0.015905160047697032
1 24 45 0.029516603444570882
1 25 44 0.0343470620804656
1 25 45 -0.001625555537102611
1 30 40 0.06018137230298977
1 30 41 0.35160468581787135
1 31 40 -0.04474014846724635
1 31 41 0.1428285337535791
1 40 30 -0.1005136769044318
1 40 31 -0.46244865751583164
1 41 30 0.1507633679141744
1 41 31 0.44787580858457626
1 44 24 -0.05189634709733493
1 44 25 0.02395398501646733
1 45 24 0.08122207578157076
1 45 25 -0.01308484197122204
1 46 20 0.017787829479797002
1 46 21 -0.1810790148887073
1 47 20 -0.017270304117815008
1 47 21 0.060764721538182395
1 48 14 0.5221050647333061
1 48 15 0.9082371652807153
1 49 14 0.526758624064748
1 49 15 0.9690745331040013
1 50 1 -0.7308927230042087
1 50 2 -0.3675201072083113
1 50 3 -0.2056082382827404
1 50 4 -0.45499683622375736
1 50 5 -0.18660782670812526
1 51 1 -1.004872496715761
1 51 2 -0.47517869369563304
1 51 3 -0.33969775641977507
1 51 4 -0.41865581156170084
1 51 5 -0.240855231429842
2 1 50 0.42575450104254275
2 1 51 0.42192529944556645
2 2 50 0.27853483245040844
2 2 51 -0.5933016777551048
2 3 50 -0.3424702456827601
2 3 51 -0.5378878129862081
2 4 50 -0.7766635805823655
2 4 51 -0.4006840423025343
2 5 50 -0.3439589946862371
2 5 51 -0.4516344061931859
2 14 48 0.16544066077620637
2 14 49 1.3077738137447235
2 15 48 -1.9932555350520904
2 15 49 -0.17171288435219303
2 20 46 0.1458814530248411
2 20 47 -0.19713018621789868
2 21 46 -0.5583996724844692
2 21 47 -0.47289913120526367
2 24 44 -0.055285983977710146
2 24 45 0.4545205857063456
2 25 44 -1.3896520614345242
2 25 45 1.0496312555471339
2 30 40 -1.027030407128677
2 30 41 0.501418743706827
2 31 40 1.1478879362314967
2 31 41 1.0892218583410367
2 40 30 -0.04912926379431903
2 40 31 0.031823138062496974
2 41 30 0.5352336721662413
2 41 31 0.7115689485420583
2 44 24 -0.1862606417572287
2 44 25 -0.03942183238317755
2 45 24 -1.0202901367057808
2 45 25 -1.1438339025412745
2 46 20 0.04631845226073676
2 46 21 -0.4715190077614542
2 47 20 -0.044970846933177815
2 47 21 0.1582277285095371
2 48 14 -0.8322548644139233
2 48 15 -0.37595071201230773
2 49 14 -1.304931922389954
2 49 15 0.7325399709502355
2 50 1 -0.0875780831694789
2 50 2 0.6067456303745518
2 50 3 0.9103052968362116
2 50 4 0.543121790957752
2 50 5 -0.17060810634945897
2 51 1 0.4195480682229463
2 51 2 0.2854863293394534
2 51 3 0.47012474684773
2 51 4 -0.009145191329319966
2 51 5 -0.37088481741706486
3 1 50 0.19752008482734473
3 1 51 0.1311919935138417
3 2 50 0.37655180137903216
3 2 51 -0.3791486108867852
3 3 50 -0.009004701109164725
3 3 51 -0.5978208078065562
3 4 50 -0.41560896526849084
3 4 51 0.57011769606949
3 5 50 -1.0466116747864211
3 5 51 -0.3051121255010355
3 14 48 0.03166168735714456
3 14 49 -1.0884468738077182
3 15 48 -0.6780005954905977
3 15 49 -0.023667658637028324
3 20 46 0.12888712627390708
3 20 47 -0.17416568505894062
3 21 46 -0.4933494121871597
3 21 47 -0.4178091784436432
3 24 44 -0.5091250597888131
3 24 45 0.7814305105941043
3 25 44 -1.2775934995124247
3 25 45 0.37216450517985633
3 30 40 1.4186469666183223
3 30 41 -0.6825080797189149
3 31 40 -0.25650736980908
3 31 41 -2.9053989019807296
3 40 30 -1.3361209837723347
3 40 31 0.32234742399576743
3 41 30 0.08410640294819612
3 41 31 0.3190173248043261
3 44 24 -0.7202250056004921
3 44 25 0.8161462052895957
3 45 24 -1.3414834966560287
3 45 25 -1.0503627929183008
3 46 20 0.040922626430962075
3 46 21 -0.41658983122103505
3 47 20 -0.03973200915632536
3 47 21 0.13979513366219026
3 48 14 0.4253402277107494
3 48 15 -0.4987133884408022
3 49 14 -0.11688516809291877
3 49 15 0.7817498299877904
3 50 1 -0.5800052790918603
3 50 2 0.4505524291245242
3 50 3 0.870781908587873
3 50 4 -0.0518545935795292
3 50 5 -0.6605337299588763
3 51 1 -0.04809339464676491
3 51 2 -0.002645230883461032
3 51 3 0.19924554701386704
3 51 4 -0.30162661255153345
3 51 5 -0.4309648091179146
4 1 50 0.6009083613535645
4 1 51 0.09195230183999091
4 2 50 0.4848187065677548
4 2 51 -0.33300013496665476
4 3 50 -0.18335949674760882
4 3 51 -1.1701065180664334
4 4 50 -1.3819909363547442
4 4 51 1.700452090291503
4 5 50 -1.1031063938647847
4 5 51 0.8916456202564983
4 14 48 0.03322407886926408
4 14 49 -0.24929272309995146
4 15 48 -0.33339042275129344
4 15 49 -0.4143509373448501
4 20 46 0.2180312497868337
4 20 47 -0.2946264928172935
4 21 46 -0.8345720168527228
4 21 47 -0.7067847657250448
4 24 44 -0.35412611163441987
