# i j k value
1 24 26 1.1623999268953926
1 25 25 -0.0689136082893903
1 25 26 -1.8002444435217149
1 25 27 0.08385480985268269
1 26 24 -0.4048029857455746
1 26 25 -0.16131753057505
1 26 26 0.7773342537419656
1 26 27 -0.72172153492519
1 26 28 0.575136201828545
1 27 25 1.9084540344642964
1 27 26 -1.407530988547679
1 27 27 0.07413382333618936
1 28 26 -0.4201265633778434
2 19 24 -0.9868247526852655
2 19 25 0.6390462694363435
2 19 26 -0.28431314511444844
2 19 27 0.27233137506023575
2 19 28 -0.8001196918265822
2 20 22 -0.23335734754593096
2 20 30 -1.2417152015836144
2 21 21 0.33408594908158606
2 21 31 -1.3857442721742534
2 22 20 1.1477293363729497
2 22 32 -2.2519666156682083
2 24 19 1.0243632359141663
2 24 33 2.1637428284885916
2 25 19 -0.45436933577819444
2 25 33 0.5277874955428205
2 26 19 -0.22387765409713004
2 26 33 -0.5556832375668569
2 27 19 -0.32734415900448416
2 27 33 -0.818985636270183
2 28 19 -0.28360910464915007
2 28 33 -3.0499233530518257
2 30 20 -1.2550755856907152
2 30 32 0.9256827259253738
2 31 21 0.7960203380297508
2 32 22 -0.5182991060049317
2 32 30 1.9576955779147074
2 33 24 1.3361412211183623
2 33 25 -0.37964699428188414
2 33 26 0.6404969511672496
2 33 27 -1.0480102571809005
2 33 28 1.3878070259016728
3 16 26 -0.34114070778744143
3 17 22 -0.342117070282691
3 17 30 1.8368546913068369
3 18 20 0.03203905504105837
3 18 32 0.14251709950111607
3 19 19 -0.34674441917411697
3 19 33 1.0283670178345545
3 20 18 1.3571660952254556
3 20 34 -0.12162690360246932
3 22 17 -1.2404066963909781
3 22 35 -0.9379221738822029
3 26 16 -1.6485788329155544
3 26 36 0.3424212444036804
3 30 17 0.25511690746618754
3 30 35 -0.2684474623197841
3 32 18 0.46457067306939837
3 32 34 0.9618525842058355
3 33 19 0.43666425811305043
3 33 33 1.2276943061497088
3 34 20 0.6150488338498724
3 34 32 -0.3633843437973785
3 35 22 -2.002320700321773
3 35 30 1.3173432116483086
3 36 26 0.5887049792553708
4 14 25 0.7009903502684471
4 14 26 -0.5756275940916146
4 14 27 0.09136994409053342
4 17 18 0.06777156056082344
4 17 34 -0.1303111661025938
4 18 17 -0.2016655631944929
4 18 35 -0.4818891480463233
4 25 14 -2.463600349717345
4 25 38 -0.16454219693969077
4 26 14 -0.21224721247091136
4 26 38 -2.2554822106217793
4 27 14 0.04761383195909774
4 27 38 -0.301534789685021
4 34 17 -0.16334642937192378
4 34 35 -0.7402431184725861
4 35 18 0.14249863837445745
4 35 34 0.193823371688601
4 38 25 0.30444911052838947
4 38 26 0.3568348783710579
4 38 27 1.4898076359862684
5 13 22 0.22333223713425757
5 13 30 -0.42401466364703516
5 15 18 0.21794314864828826
5 16 17 0.9590991915963732
5 16 35 0.643058670936388
5 17 16 -1.3649963378163468
5 17 36 -0.5861757666179886
5 18 15 -1.6734179606409372
5 18 37 0.24365539047454962
5 22 13 -1.916140673664443
5 22 39 0.4606051640290587
5 30 13 1.0272545040963708
5 30 39 0.08762971719296656
5 34 15 0.8274639977948389
5 34 37 1.359571879091184
5 35 16 -0.5620906244231858
5 35 36 -1.234449723828214
5 36 17 -0.9827437239290815
5 36 35 0.4567123571836033
5 37 18 0.832202292212647
5 37 34 -0.5560205980591839
5 39 22 1.6049684856389401
5 39 30 -0.11367157397820173
6 11 24 -1.2837728532168968
6 11 25 -0.88524141564872
6 11 26 0.2716005948176903
6 11 27 0.09305900539438118
6 11 28 0.30239544576538413
6 14 17 1.7388275789613106
6 14 35 1.349488040805641
6 17 14 0.8714157069315901
6 17 38 1.0475248860857032
6 24 11 -0.6269539203308481
6 24 41 -0.16538821640229326
6 25 11 0.891622487066707
6 25 41 -0.5077490581207713
6 26 11 -1.7366571037476393
6 26 41 0.8239361972502737
6 27 11 -0.14558675939399182
6 27 41 -0.6063161289855373
6 28 11 -0.19081536141775524
6 28 41 1.7560089934201994
6 35 14 0.8162013737861916
6 35 38 -0.13192646266804933
6 38 17 -0.897298384052874
6 38 35 0.0689144900495795
6 41 24 -1.3660587620067384
6 41 25 0.5173021877733655
6 41 26 0.12273069024921836
6 41 27 -1.107410546519062
6 41 28 0.6699456639546026
7 10 23 0.6429012265852012
7 10 29 -0.8467048628858368
