# i j k value
1 1 40 -0.6374805542166898
1 1 41 -1.0631860093886072
1 1 42 0.7955861684611751
1 1 43 0.4861889788121633
1 1 44 1.2579011879081592
1 1 45 -0.3841282302037099
1 2 40 -0.4317412016934334
1 2 41 1.2135455624539446
1 2 42 0.7056911758574612
1 2 43 -0.14243470032750497
1 2 44 0.4458510680830764
1 2 45 1.1787631778118912
1 3 40 1.0657194467650573
1 3 41 -1.5053140491402301
1 3 42 -1.071192695728709
1 3 43 0.8159581298438277
1 3 44 -0.5135230840398444
1 3 45 -0.2305998102703978
1 4 39 -1.951127229359949
1 4 40 -0.05580993253670844
1 4 41 1.19881189552932
1 4 42 0.2712857205845109
1 4 43 2.175300813540077
1 4 44 -0.9905226886992601
1 4 45 1.191186359914853
1 5 39 -0.10110666450216156
1 5 40 -0.734248182153405
1 5 41 0.10134187845949515
1 5 42 -1.2862833762661594
1 5 43 0.6047519682390773
1 5 44 0.09982043339026671
1 6 39 -1.3083398444750063
1 6 40 0.7604197873103956
1 6 41 1.9641342476661694
1 6 42 -0.7758821480285167
1 6 43 1.6301728620681533
1 6 44 -0.6515713568954808
1 7 38 -0.865270418515635
1 7 39 -1.6151983094083586
1 7 40 0.42251501319778745
1 7 41 -0.30377501153610775
1 7 42 0.62314859502683
1 7 43 0.37675660522969096
1 8 37 1.3994943502236605
1 8 38 0.10958656111069817
1 8 39 -1.8645240739058093
1 8 40 -0.3101315923217792
1 8 41 -1.0177950938069116
1 8 42 -0.1020083150325803
1 8 43 -2.6193312716622055
1 9 36 -0.8779613531943244
1 9 37 0.26080262205017746
1 9 38 0.7592065853908626
1 9 39 -0.9939000331623086
1 9 40 -0.277847641882119
1 9 41 -0.9734051515902933
1 9 42 0.12146498586178446
1 10 35 -0.07726964704225797
1 10 36 1.1053463021292285
1 10 37 -0.30056227155339527
1 10 38 0.8284786970861727
1 10 39 -0.7594485266769094
1 10 40 0.29832113275264927
1 10 41 -1.2400459303095495
1 11 34 -0.35240254491460904
1 11 35 -1.007074430545536
1 11 36 1.2733274984436789
1 11 37 -0.7627535965773702
1 11 38 0.8877448584527952
1 11 39 0.8654899196687499
1 11 40 -0.8001499594168634
1 12 33 -0.09491155204279537
1 12 34 -1.027994199978196
1 12 35 -0.2590894640688683
1 12 36 0.2692598264386787
1 12 37 0.12953710779012834
1 12 38 1.9886545704567693
1 12 39 -1.052503454181825
1 13 31 -0.23187628164422341
1 13 32 0.07127311193541395
1 13 33 0.23802033274197018
1 13 34 0.7105842468703805
1 13 35 0.5106333230087899
1 13 36 -1.078677989928345
1 13 37 -0.35687989029820316
1 13 38 -0.13149814682981845
1 14 30 -0.5112775559895307
1 14 31 1.7104664965989331
1 14 32 1.337515104864514
1 14 33 -0.15307063470540588
1 14 34 -0.38954555449900075
1 14 35 -0.5707955915642721
1 14 36 -0.8012682710957646
1 14 37 0.10440340555686393
1 15 28 0.05597894664286334
1 15 29 -0.11322001514045707
1 15 30 0.6589576677252892
1 15 31 1.55907415314606
1 15 32 -1.4173717259378444
1 15 33 2.0438285730989683
1 15 34 0.655786721034516
1 15 35 -0.6685516083100568
1 16 25 -0.8071607055627648
1 16 26 0.5427320698257808
1 16 27 2.2982214234118206
1 16 28 -0.30192611476129416
1 16 29 -1.370889009749632
1 16 30 -0.2925161435322625
1 16 31 -0.9727844197322312
1 16 32 -0.033587341471513675
1 16 33 0.5902361771155092
1 17 23 0.12955927199154524
1 17 24 0.055111537573689987
1 17 25 -0.0705821233810779
1 17 26 -0.14292306163669777
1 17 27 0.1525185555884825
1 17 28 -0.37051620628096754
1 17 29 0.9828869271205039
1 17 30 0.7609102049578875
1 17 31 2.6284604639204234
1 18 19 0.31415998912677817
1 18 20 0.6312252957353108
1 18 21 1.007327184320232
1 18 22 -0.8096799861095622
1 18 23 0.9960318696497893
1 18 24 -0.7284593663509504
1 18 25 0.41989747487437057
1 18 26 -1.4051428679502709
1 18 27 -0.41975548352463377
1 18 28 0.12060931025475483
1 18 29 -0.5301006369591031
1 19 15 -1.2470075378811987
1 19 16 0.8656787169908818
1 19 17 -1.6094961434805028
1 19 18 0.4999025261690967
1 19 19 1.19722237512689
1 19 20 1.5696201136272154
1 19 21 -0.6132754666338671
1 19 22 0.2730470105229837
1 19 23 0.10889252014343759
1 19 24 0.7418380122914394
1 19 25 1.4657626373022765
1 19 26 -0.9328194397908517
1 19 27 1.2602161218654047
1 20 7 -0.44230623378037465
1 20 8 0.374082139267468
1 20 9 -0.5989965599527649
1 20 10 0.4930765930121853
1 20 11 -0.2415181962651904
1 20 12 0.9126853829913756
1 20 13 0.5004729588618543
1 20 14 -0.6241148820331783
1 20 15 0.7927121666739283
1 20 16 -0.016330330064016404
1 20 17 0.14539466878540855
1 20 18 -0.6421896538245495
1 20 19 0.158504064479147
1 20 20 -0.9060644080338522
1 20 21 -1.335409328214442
1 20 22 -0.2449738988317703
1 20 23 -0.38018910042570814
1 20 24 -1.0532137871903835
1 21 1 -0.03358710323541661
1 21 2 -1.9353669613218203
1 21 3 0.14257356206472238
1 21 4 -0.45860177082099784
1 21 5 -0.25906308557032837
1 21 6 -2.2394172179965954
1 21 7 -1.5275775282822814
1 21 8 0.38820817791602885
1 21 9 -0.8748030317739423
1 21 10 0.8209949809642881
1 21 11 -0.6693317353018151
1 21 12 -0.49835828451914316
1 21 13 -0.9903989613449725
1 21 14 0.9134058620346109
1 21 15 -0.2070081298635797
1 21 16 -1.051370549195748
1 21 17 -0.35668583380953334
1 21 18 0.8464578491910385
1 21 19 -1.977117632829963
1 21 20 -1.4518073937405396
1 22 1 0.17752220410475902
1 22 2 -0.5224625967150061
1 22 3 1.3829550817237295
1 22 4 0.24922841688631361
1 22 5 -2.122270586815213
1 22 6 0.7919172323731976
1 22 7 1.2138653724616861
1 22 8 0.5839004494143566
1 22 9 -0.5008118861460423
1 22 10 -0.6999729378831475
1 22 11 -0.9603335456851056
1 22 12 -0.1393095654725477
1 22 13 -0.25798603611831955
1 22 14 -2.127543403538912
1 22 15 0.3604649332582364
1 23 1 0.2998999366711859
1 23 2 1.2678812385413385
1 23 3 0.37979470256388753
1 23 4 1.7039413949521538
1 23 5 -1.910757964830838
1 23 6 0.4800871500420329
1 23 7 -0.23717621506795802
2 1 40 1.350779305350829
2 1 41 0.2353658361830717
2 1 42 -0.7324378251694279
2 1 43 0.17550244548274757
2 1 44 0.5126921406335132
2 1 45 -0.7529085385693505
2 2 40 -0.10634658879121431
2 2 41 -0.4986037006853398
2 2 42 -1.1452970223524246
2 2 43 1.1839324311849724
2 2 44 -0.501590570947498
2 2 45 1.0033402410136847
2 3 40 2.151224158870316
2 3 41 0.5272482779495076
2 3 42 0.03142927304043841
2 3 43 1.4370336383469373
2 3 44 1.044755143571023
2 3 45 0.6180257590735088
2 4 39 0.01838264265410021
2 4 40 -0.07965848400266953
2 4 41 0.9685136328226868
2 4 42 -0.21686906116360596
2 4 43 -0.07586890259762079
2 4 44 0.7152059665274026
2 4 45 1.9408415648415247
2 5 39 -0.18895372437578012
2 5 40 -0.27512082136225513
2 5 41 0.5060722486396542
2 5 42 1.4396735166806582
2 5 43 -0.6636570114092691
2 5 44 0.6162956154390326
2 6 39 -0.748811878051279
2 6 40 -0.07039286504750945
2 6 41 -0.7293034905020725
2 6 42 -1.1456234400569072
2 6 43 1.2440948010523603
2 6 44 -0.35379138711246416
2 7 38 -0.0765197069417355
2 7 39 2.649927436294217
2 7 40 0.24583516014135284
2 7 41 -1.8050231075148246
2 7 42 -1.6364622973057266
2 7 43 1.293137657833454
2 8 37 -0.31856727986465944
2 8 38 2.6916030145490177
2 8 39 1.122717071935881
2 8 40 2.0123784009348418
2 8 41 -0.8584201166466389
2 8 42 -0.2809538973163687
2 8 43 -0.7672263069681994
2 9 36 0.690491401498446
2 9 37 -0.7372292618964658
2 9 38 0.04067957535926216
2 9 39 0.36066716407934457
2 9 40 -1.4022134865666356
2 9 41 0.8874423348865367
2 9 42 -1.0935034818411113
2 10 35 -0.46075778074313883
2 10 36 -0.776176659355863
2 10 37 -0.09170244937743685
2 10 38 -0.5622801794128549
2 10 39 1.2257887677319352
2 10 40 1.2491388522788163
2 10 41 -1.0452035963428201
2 11 34 -0.13156056371291008
2 11 35 0.0734568846616884
2 11 36 -0.013523298830466806
2 11 37 1.4458007204571577
2 11 38 -0.030269543458182082
2 11 39 2.1208407821253554
2 11 40 0.48759057736539446
2 12 33 1.402718776498734
2 12 34 -1.5367006987673342
2 12 35 1.0997502287532943
2 12 36 -1.2010322727947111
2 12 37 -1.338565886315189
2 12 38 0.0812725506023077
2 12 39 -0.2416417226073033
2 13 31 0.6356428494690316
2 13 32 0.9465445529763163
2 13 33 1.027623315654737
2 13 34 0.8231121560675183
2 13 35 1.717113819975529
2 13 36 1.351380956566159
2 13 37 -1.0275442666248646
2 13 38 0.3477037411171784
2 14 30 0.604940260708439
2 14 31 0.5649119536069626
2 14 32 0.5440269145224104
2 14 33 0.5528823186457005
2 14 34 -0.1730080689493083
2 14 35 0.4915097192889018
2 14 36 -0.654879253932358
2 14 37 0.7072196297006851
2 15 28 -1.1107324077951481
2 15 29 1.110049415636005
2 15 30 -1.6570078550648468
2 15 31 -1.9141910385827432
2 15 32 -1.1620964380018661
2 15 33 -0.10655848196000853
2 15 34 -2.8094346691164453
2 15 35 -0.16889214991135915
2 16 25 0.4367780819340118
2 16 26 0.036046580103167546
2 16 27 -0.16106956223512484
2 16 28 -1.63672474530889
2 16 29 1.0238446890649835
2 16 30 -1.0133194676949557
2 16 31 -0.042405002610289774
2 16 32 0.86333015818509
