# i j k value
1 1 1 -0.008202445161689406
1 1 2 -0.18145554559052526
1 1 3 0.18412238990227162
1 1 4 -0.342025843033616
1 1 5 -0.02874918860935233
1 1 6 0.007284522919982656
1 1 7 0.2545490068631012
1 1 8 0.014864121018169356
1 1 9 0.13754172876348883
1 1 10 0.08200116019347507
1 1 11 -0.30538930413268855
1 1 12 0.12077849962810554
1 1 13 0.03907264084655546
1 1 14 0.05471580955579625
1 1 15 -0.2835650553779669
1 1 16 -0.09588848762328395
1 1 17 0.42508304961526133
1 1 18 0.00025140733871611493
1 1 19 -0.04126937999294971
1 1 20 -0.3749162257291153
1 1 21 -0.1422288190642194
1 1 22 0.1854263222227872
1 1 23 0.1153376487603292
1 1 24 -0.0354592802883564
1 1 25 0.11567211164865096
1 1 26 0.19984848032001182
1 1 27 -0.045320639983960555
1 1 28 -0.02396760044364378
1 1 29 -0.11006297090317543
1 1 30 0.02969562476190381
1 1 31 -0.09397809485709058
1 1 32 0.09671639530917606
1 1 33 -0.12852794884122834
1 1 34 -0.1838460548667316
1 1 35 0.14966395160249074
1 1 36 0.3227300773024149
1 1 37 0.09881189856187139
1 1 38 0.04267368864743277
1 1 39 -0.038812658026342435
1 1 40 0.04575255239393312
1 1 41 0.17266749468751003
1 1 42 -0.11560695933946236
1 1 43 0.16532649310081382
1 1 44 0.060610789381656205
1 1 45 0.10460316530921876
1 1 46 0.10195055915580956
1 1 47 -0.20328987091058823
1 1 48 -0.053913855327229414
1 1 49 0.016896792277692915
1 1 50 -0.24075957861823616
1 1 51 0.3586627332416687
1 1 52 0.13220441244326891
1 1 53 -0.14937562732098286
1 1 54 0.04577000903192495
1 1 55 0.05945087610371192
1 1 56 -0.5526478657571725
1 1 57 -0.40085795464493734
1 1 58 0.1757607110404521
1 1 59 0.20144921200878813
1 1 60 -0.11958545310618994
1 1 61 -0.08536554345466944
1 1 62 -0.006913218801030711
1 1 63 -0.266326520163505
1 1 64 -0.29395365720280303
1 1 65 0.29836250400870146
1 1 66 0.1690914684131179
1 1 67 -0.18339639715382827
1 1 68 -0.0457180612426798
1 1 69 -0.10530637368910109
1 1 70 -0.1741407303330986
1 1 71 0.15720641370728158
1 1 72 -0.1171416148084651
1 1 73 -0.04680307359007739
1 1 74 0.03699024872352038
1 1 75 -0.06203086374657007
1 1 76 -0.1938940920995458
1 1 77 0.05185261077779929
