# i j k value
13 11 25 0.1421267687173431
13 11 36 -0.21694385011568626
13 11 37 -0.12306368085332726
13 11 38 -0.197290226510419
13 11 41 0.24110134117790633
13 11 44 -0.2904890865256546
13 11 47 0.11706762082591139
13 11 50 0.15963757686960545
13 11 51 -0.3458575035514671
13 11 54 -0.22362264468218418
13 11 58 -0.18136864932495586
13 11 61 0.2192776604870295
13 12 19 -0.11067258459846507
13 12 29 -0.10455005888862734
13 12 32 -0.10773176148207059
13 12 37 0.26214261099584824
13 12 39 -0.12261403564376577
13 12 40 -0.14678294501506542
13 12 41 0.12009172288579781
13 12 42 0.3361036383722567
13 12 44 0.10416357638844533
13 12 45 0.1705286210233981
13 12 47 -0.19381768321854626
13 12 48 -0.1730690556423847
13 12 52 0.21183910549129453
13 12 54 -0.3095567511801288
13 12 55 -0.11525858849604373
13 12 56 -0.5197343266888672
13 12 58 -0.18608841995485673
13 12 59 0.2566023817171851
13 12 60 -0.11496231054311587
13 13 23 -0.13199746621255365
13 13 26 0.11626130075103948
13 13 29 0.12237901759108255
13 13 31 0.16220445248190277
13 13 34 0.10448407401364516
13 13 37 0.21252509006622639
13 13 38 -0.25637846168659334
13 13 39 -0.218549589633603
13 13 40 -0.11030442702249102
13 13 42 0.34220179361093356
13 13 44 -0.3386885726684702
13 13 46 0.26351667416367414
13 13 50 -0.12971312485964676
13 13 51 0.23780088424298235
13 13 55 -0.3295618686015022
13 13 56 -0.38040130388191984
13 13 57 0.10520320187998883
13 13 59 -0.2551734009301337
13 13 60 0.20803963355256652
13 14 26 0.1819492232137883
13 14 28 0.10820084423328438
13 14 31 0.20620852327479766
13 14 32 -0.10218980165769219
13 14 33 -0.22443343529212334
13 14 39 0.15309844403173467
13 14 41 -0.11902726848692965
13 14 42 -0.19316900522877184
13 14 45 0.24931690129272288
13 14 46 -0.1963385546649882
13 14 48 -0.42485378475645563
13 14 50 0.17249640576331063
13 14 51 0.20083194179768035
13 14 52 -0.21675740676959918
13 14 54 0.4038563613117732
13 14 55 -0.31161583211263416
13 14 57 -0.32454931276549903
13 14 58 -0.15510606882433817
13 14 62 -0.37708537847919804
13 15 28 -0.14786609208605891
13 15 29 -0.10603825708532257
13 15 34 0.22285264601979587
13 15 37 0.323272241788916
13 15 39 -0.11334314215001687
13 15 41 -0.27413729068324216
13 15 42 0.11816082272155179
13 15 44 0.12680417073528935
13 15 46 0.10586690797006791
13 15 47 -0.18372583447063576
13 15 48 -0.2577683560736116
13 15 49 -0.16625997018008906
13 15 50 -0.1851728812294775
13 15 52 0.28731847057924725
13 15 53 -0.2845113804299574
13 15 54 0.15166251322715044
13 15 55 0.2856743174865399
13 15 58 0.10785360383037179
13 15 59 -0.16666589588881947
13 15 62 -0.33477626460081517
13 16 22 -0.14839051345358426
