# i j k value
1 1 2 14.745780161817988
1 1 3 14.619679706419033
1 1 4 14.688239556124266
1 1 6 14.250171309671986
1 1 10 14.529211538757604
1 2 1 7.247569633131665
1 2 4 7.427570645484244
1 2 14 7.121907035971737
1 3 14 7.4679962549546
1 5 4 7.111502432102038
1 5 10 7.420776722103942
1 5 15 7.104764263814187
1 6 1 7.290655808300759
1 6 10 7.284922104383813
1 6 11 7.231034237364587
1 6 12 7.497429605589642
1 7 5 7.083052240880559
1 7 7 7.07942436808231
1 7 11 7.410163317268403
1 7 15 7.196183543769296
1 8 2 7.453463440578982
1 8 12 7.294566827124749
1 10 10 7.074383983920134
1 10 13 7.356720372188324
1 12 7 7.051737486276915
1 12 12 7.203482371482251
1 13 1 7.41513794846445
1 14 5 7.4095133758435345
1 14 8 7.325483987823307
1 14 10 7.053568804807912
1 16 15 7.1106809903905805
1 17 13 7.13748846530997
1 17 15 7.044003251077989
1 18 14 7.066773538678926
1 18 15 7.24034693297606
1 19 7 7.2632427570201585
1 20 1 7.111263809469672
1 20 3 7.106632196070038
1 20 4 7.311210764896626
1 20 7 7.291033246213889
1 20 11 7.2825694112571355
2 1 1 7.247569633131665
2 1 4 7.427570645484244
2 1 14 7.121907035971737
2 3 2 7.462886619899873
2 3 7 14.134134314361315
2 3 12 7.076393422855048
2 3 15 7.0309357809939135
2 4 1 7.060953981674083
2 4 5 7.072935797828283
2 4 7 7.078609160163524
2 4 9 7.2811688611616585
2 4 11 7.392079892724488
2 5 14 7.473862362592868
2 6 1 7.049801649814989
2 6 13 7.002059705891719
2 7 13 7.044410956399901
2 7 15 7.46969941660023
2 8 2 7.434999865750252
2 9 2 7.497955512948452
2 10 3 7.17211812109508
2 10 8 7.240866618699934
2 11 2 7.007435886368946
2 12 8 7.325917770164798
2 13 14 7.194630408682411
2 14 5 7.309839386680764
2 14 6 7.362061772066093
2 14 7 7.185206406702789
2 14 12 7.377651015085109
2 14 14 7.4421092549565575
2 15 3 7.126682853126445
2 15 7 7.21513786108499
2 16 7 7.358084005779772
2 16 10 7.358865398199599
2 17 3 14.836853454945787
2 18 13 7.1979714773776
2 19 3 7.435221887690989
2 19 8 7.492904055841952
2 19 11 7.3964805786586965
2 20 4 7.44665054927499
2 20 5 14.559812806825082
3 1 14 7.4679962549546
3 2 2 7.462886619899873
3 2 7 14.134134314361315
3 2 12 7.076393422855048
3 2 15 7.0309357809939135
3 3 14 14.398059548797267
3 3 15 14.037378454502873
3 5 10 7.104847627658133
3 6 1 7.301133242385253
3 8 4 7.443144782049411
3 8 5 7.331284933177942
3 9 4 7.153440723322187
3 9 12 7.441576272698188
3 10 10 7.496201898566133
3 10 11 7.489272494538547
3 10 15 7.472869853895896
3 11 2 7.467606110612539
3 11 6 7.050101817228549
3 11 13 7.138351596256024
3 11 14 7.117926819544836
3 12 2 7.0110700460870845
3 12 5 7.115459668211508
3 12 6 7.367594677488368
3 12 15 7.236175003698862
3 13 15 7.073231300867851
3 14 2 7.20736123243482
3 14 13 7.433869956246666
3 15 3 7.032152386109516
3 16 8 7.072615218764872
3 16 10 7.116472956019091
3 16 12 14.689023576507644
3 16 14 7.1621738432460225
3 17 8 7.452297615981747
3 17 14 7.342416689932639
3 18 7 7.074312533319469
3 18 10 7.16680994269294
3 19 5 7.139198653813687
3 20 8 7.137505899723555
3 20 9 7.01316439362131
4 2 1 7.060953981674083
4 2 5 7.072935797828283
4 2 7 7.078609160163524
4 2 9 7.2811688611616585
4 2 11 7.392079892724488
4 5 9 7.257455428523669
4 5 11 7.466520708224281
4 6 9 7.30454785155705
4 7 9 7.345344621694351
4 8 12 7.093607012827103
4 8 13 7.432012100431612
4 8 14 7.135006674216473
4 8 15 7.021844919732808
4 10 10 7.081150689564583
4 11 6 14.35006215252961
4 11 9 7.267659294025003
4 13 7 7.007531951045164
4 13 13 7.24579607807354
4 15 8 7.499279049555512
4 17 15 7.063677627640441
4 18 5 7.181994020312926
4 18 8 7.487000332191333
4 18 9 7.390304305600843
4 18 10 7.107597032886932
4 19 7 7.371946866854255
4 19 8 7.033489197124703
4 20 6 7.402290283515862
4 20 14 7.051429706119209
5 1 4 7.111502432102038
5 1 10 7.420776722103942
5 1 15 7.104764263814187
5 2 14 7.473862362592868
5 3 10 7.104847627658133
5 4 9 7.257455428523669
5 4 11 7.466520708224281
5 6 9 7.244631565692259
5 6 10 7.424882718709534
5 6 14 7.3501834061494655
5 7 10 7.043060822587163
5 8 4 7.296432570217238
5 9 3 7.305070072929361
5 9 8 7.122389925398613
5 10 3 7.00522520954305
5 10 7 7.440107697303326
5 11 2 7.498708747013594
5 12 5 7.333492125260073
5 12 8 7.058160832217838
5 12 12 7.426027260176733
5 13 10 7.356207275898518
5 14 7 7.0163787300570934
5 14 9 7.3046556211020395
5 14 14 7.196835145316031
5 15 10 7.106500801796827
5 15 15 7.453385263464629
5 16 10 7.216992920548711
5 19 2 14.881031609923859
5 19 14 7.441179865384572
5 20 3 7.131260163394358
5 20 8 7.2142604454658175
6 1 1 7.290655808300759
6 1 10 7.284922104383813
6 1 11 7.231034237364587
6 1 12 7.497429605589642
6 2 1 7.049801649814989
6 2 13 7.002059705891719
6 3 1 7.301133242385253
6 4 9 7.30454785155705
6 5 9 7.244631565692259
6 5 10 7.424882718709534
6 5 14 7.3501834061494655
6 7 9 7.236429217294348
6 7 12 7.157099307254671
6 7 15 7.02303415220334
6 8 3 7.025856421053577
6 8 5 14.467737893901258
6 10 5 7.328443136479459
6 11 7 7.176831186541361
6 11 15 7.202683912112576
6 12 3 7.463505107932384
6 12 15 7.1265140350338125
6 14 3 7.075544602296702
6 14 10 7.393883894989947
6 15 11 7.086370744633208
6 15 14 7.1412175010422105
6 16 3 7.244928388562973
6 16 10 7.455659093109092
6 16 12 7.111991610074554
6 17 2 7.460496413664469
6 17 8 7.097011019524577
6 18 7 7.2982299659074465
6 18 9 7.15741094745664
6 18 14 7.3566447013475385
6 19 3 7.243460121316533
6 19 11 7.384024028673249
6 19 14 7.114414722062523
6 20 5 7.3331627380410636
6 20 15 7.156369071924894
7 1 5 7.083052240880559
7 1 7 7.07942436808231
7 1 11 7.410163317268403
7 1 15 7.196183543769296
7 2 13 7.044410956399901
7 2 15 7.46969941660023
7 4 9 7.345344621694351
7 5 10 7.043060822587163
7 6 9 7.236429217294348
7 6 12 7.157099307254671
7 6 15 7.02303415220334
7 7 6 14.287184598926416
7 8 1 7.376284420652658
7 8 3 7.446166594188961
7 8 7 7.176932919482984
7 8 9 7.015361699791087
7 9 4 7.2317662470226
7 9 5 7.113868926321479
7 9 8 7.331886884303598
7 9 13 7.173185495723871
7 9 15 7.3108623124721985
7 10 3 7.426023852218245
7 11 1 7.397650506770082
7 11 4 7.210849565668136
7 11 9 7.391308917683466
7 11 11 7.146364132718289
7 12 2 7.0551873007510775
7 12 4 7.291457949286955
7 13 7 7.293062556077755
7 13 15 7.4486273855438565
7 14 13 7.2568602475985555
7 14 14 7.11202482986953
7 15 14 7.101455168175211
7 16 3 7.085706078711017
7 17 4 7.124363697503869
7 18 1 7.3694601935994495
7 18 4 7.222160291144291
7 18 5 7.474128503442334
7 18 10 7.198650784078639
7 19 13 7.373247265477757
7 20 4 14.603947441901344
7 20 14 7.197801368474153
8 1 2 7.453463440578982
8 1 12 7.294566827124749
8 2 2 7.434999865750252
8 3 4 7.443144782049411
8 3 5 7.331284933177942
8 4 12 7.093607012827103
8 4 13 7.432012100431612
8 4 14 7.135006674216473
8 4 15 7.021844919732808
8 5 4 7.296432570217238
8 6 3 7.025856421053577
8 6 5 14.467737893901258
8 7 1 7.376284420652658
8 7 3 7.446166594188961
8 7 7 7.176932919482984
8 7 9 7.015361699791087
8 8 4 14.02311301872656
8 9 2 7.334208859661871
8 9 14 7.37729222314602
8 10 2 7.1698581236542696
8 10 3 7.169138245258102
8 10 6 7.400569995649036
8 12 5 7.170685522717218
8 13 5 7.478432404315074
8 14 15 7.026142271737999
8 15 1 7.14427719475673
8 15 2 7.3550922957938765
8 15 5 7.066502631265808
8 15 7 7.145565358865654
8 15 13 7.378757242287451
8 16 10 7.084908357588546
8 17 4 7.420884950804101
8 17 7 7.3000755566355915
8 17 8 7.317909962452744
8 17 9 7.290160126053754
8 17 10 7.498697279913629
8 17 14 7.463548574752611
8 18 1 7.449128097777542
8 18 5 7.369576780680671
8 18 12 7.435798463865125
8 19 3 7.0332194251607145
8 19 9 7.1466889859473905
8 19 13 7.423379571863139
8 20 2 7.2023182005183015
8 20 11 7.485001564803739
9 2 2 7.497955512948452
9 3 4 7.153440723322187
9 3 12 7.441576272698188
9 5 3 7.305070072929361
9 5 8 7.122389925398613
9 7 4 7.2317662470226
9 7 5 7.113868926321479
9 7 8 7.331886884303598
9 7 13 7.173185495723871
9 7 15 7.3108623124721985
9 8 2 7.334208859661871
9 8 14 7.37729222314602
9 9 15 14.969601749748023
9 10 5 7.458250147624075
9 10 15 7.27505065783334
9 11 12 7.45217726943321
9 12 7 7.070258531304168
9 12 9 7.387810684190993
9 12 15 7.111509319043412
9 13 5 7.186442338679306
9 13 7 7.444133666705316
9 13 9 7.475019972926763
9 13 10 7.4526002085242204
9 13 11 7.4948246752365675
9 14 3 7.001424489363314
9 14 7 7.268854666946077
9 14 9 7.485395591701563
9 14 13 7.2966797662239316
9 15 4 7.435432949592204
9 16 3 7.207571274469348
9 16 8 7.411993529581616
9 16 10 7.066962472001036
9 17 1 7.360562512006521
9 17 5 7.082251569897403
9 18 6 7.417530999453419
9 19 7 7.09860179537712
9 20 1 7.471168523921734
9 20 4 7.026082388485018
9 20 9 7.4134250369178
9 20 10 7.317457925270605
9 20 14 7.250326457652737
10 1 10 7.074383983920134
10 1 13 7.356720372188324
10 2 3 7.17211812109508
10 2 8 7.240866618699934
10 3 10 7.496201898566133
10 3 11 7.489272494538547
10 3 15 7.472869853895896
10 4 10 7.081150689564583
10 5 3 7.00522520954305
10 5 7 7.440107697303326
10 6 5 7.328443136479459
10 7 3 7.426023852218245
10 8 2 7.1698581236542696
10 8 3 7.169138245258102
10 8 6 7.400569995649036
10 9 5 7.458250147624075
10 9 15 7.27505065783334
10 11 2 7.460574274945576
10 11 4 7.285192508188893
10 11 12 7.240845029173628
10 11 13 7.1336831573568045
10 12 8 7.317032810234147
10 12 9 7.258248013827399
10 12 14 7.189124577491816
10 13 9 7.119368789849189
10 14 8 7.223231087207037
10 14 13 7.186966739016377
10 14 15 7.186341421174188
10 15 1 7.154903650586427
10 15 2 7.130658282063122
10 15 9 7.3292207079831515
10 15 14 7.285234229268058
10 16 2 7.3603156405162515
10 16 5 7.2024421008709325
10 16 7 7.317831153983558
10 16 14 7.3430542390677465
10 17 7 7.2241849972321655
10 17 10 7.02984673054349
10 18 3 7.099424348712875
