# i j k value
1 25 26 0.4236363121673711
1 26 25 -1.4014555063905103
1 26 26 -1.9675214202875362
1 26 27 0.8575471262136047
1 27 26 0.8198217909216505
2 19 25 1.2451748255502109
2 19 26 -0.19218487664181402
2 19 27 -0.8603056663825732
2 21 21 -1.5558136772174833
2 21 31 -0.3779035283431102
2 25 19 1.8602975439984737
2 25 33 -0.22104207882853785
2 26 19 1.4912302770839017
2 26 33 -0.3150727972064235
2 27 19 0.9735249658057963
2 27 33 -0.0018546362194358612
2 31 21 -0.6507562130743717
2 31 31 0.1599179357858311
2 33 25 -0.42816530098825895
2 33 26 1.1823513595595307
2 33 27 0.32930731797797397
3 17 22 -0.2180814826861483
3 17 30 -1.6052782893128106
3 22 17 0.11727664114566716
3 22 35 -1.266786176293456
3 30 17 -0.18706772817062411
3 30 35 -0.4744710795002873
3 35 22 -0.3822880309051568
3 35 30 0.2974490937955706
5 13 22 -1.9144003358744115
5 13 30 0.12778790063150508
5 15 18 1.0008058805732731
5 15 34 0.9862507357110635
5 18 15 1.9956392554274571
5 18 37 -1.5677531811364844
5 22 13 -0.5777747185183524
5 22 39 -1.693714953769605
5 30 13 -0.7853687718606204
5 30 39 -0.16737760796597795
5 34 15 0.8559690818034461
5 34 37 0.5990835071288497
5 37 18 0.028675778084720636
5 37 34 -0.6714358179163423
5 39 22 -0.23616523618757213
5 39 30 0.6473402161456411
6 11 25 -2.04183013401692
6 11 26 0.42215801350936144
6 11 27 -2.1647803217720507
6 14 17 1.1933119690224494
6 14 35 -0.035462963022072067
6 17 14 -1.3184597727020115
6 17 38 1.5854725637544338
6 25 11 0.3023543856264346
6 25 41 0.12812291387256505
6 26 11 0.15595148612918142
6 26 41 0.3881409826368216
6 27 11 0.8463571349760868
6 27 41 0.376869051235716
6 35 14 0.27980681485082265
6 35 38 -1.0038578816402013
6 38 17 0.5649043420475199
6 38 35 0.852329774844411
6 41 25 0.13038963698566264
6 41 26 -0.9187832180069253
6 41 27 -0.8393092516306153
7 10 23 -1.2037709681869262
7 10 29 -2.4492470467936607
7 14 15 0.564065861692718
7 14 37 0.35398855281694686
7 15 14 0.4768067342376145
7 15 38 0.8901525210227642
7 23 10 0.35504516626517346
7 23 42 -0.8082294423055895
7 29 10 -0.09347714476163578
7 29 42 0.05930702430575328
7 37 14 -1.2492116906463484
7 37 38 -0.3803139578869133
7 38 15 -0.1497754973821781
7 38 37 -0.45484458025127134
7 42 23 -0.07204051623229202
7 42 29 0.05237837775705441
9 10 17 -0.9390760048808149
9 10 35 -0.27034079129181293
9 17 10 1.4891346350100778
9 17 42 0.4195829878884356
9 35 10 -1.5098115486692731
9 35 42 0.7668471596262438
9 42 17 0.3766656432763772
9 42 35 -0.20087440032831996
10 7 23 0.366779322449524
10 7 29 0.05076994339891413
10 9 17 0.7380721746962369
10 9 35 0.6006271989475264
10 11 14 -0.7039558714654078
10 11 38 -0.3540480918977637
10 14 11 -0.5906302226378178
10 14 41 0.8492916539496773
10 17 9 0.31701373732997357
