# i j k value
1 1 1 0.02421146551068265
1 1 2 -0.023990003715926612
1 1 3 -0.02141758601839292
1 1 4 -0.13142483369064079
1 1 5 0.03721611901404959
1 1 6 -0.07564733207876899
1 1 7 0.0865679079564897
1 1 8 0.013742202032385914
1 1 9 -0.06725395057240373
1 1 10 -0.026599892954155782
1 1 11 -0.07161871588367964
1 1 12 -0.01216752293287752
1 1 13 0.017188740662738525
1 1 14 -0.004694009907620062
1 1 15 0.043342700745099556
1 1 16 0.08927061352842842
1 1 17 -0.10281836766809804
1 1 18 0.0418534440879019
1 1 19 0.03144546838964648
1 1 20 -0.043166589027930705
1 1 21 -0.11515467530336831
1 1 22 -0.10761744730268347
1 1 23 -0.005777735162910694
1 1 24 0.0450606699885236
1 1 25 -0.07783219109637467
1 1 26 -0.08208053389265524
1 1 27 -0.05427789385254905
1 1 28 0.021464790993962573
1 1 29 -0.027429340922048708
1 1 30 0.09085879714307028
1 1 31 0.013063627053668623
1 1 32 0.11297313955575133
1 1 33 0.012208700777947806
1 1 34 -0.035152775985741146
1 1 35 -0.020104623259250647
1 1 36 -0.03205191744589629
1 1 37 0.03735844136978196
1 1 38 -0.028223994982074993
1 1 39 -0.055150453417125024
1 1 40 -0.024777915489042766
1 1 41 0.0257978943662582
1 1 42 0.004445714653219205
1 1 43 -0.056729838378020786
1 1 44 0.011728698044878059
1 1 45 0.004621427063963802
1 1 46 0.04391666700312292
1 1 47 0.027017963654197907
1 1 48 -0.04191628942682635
1 1 49 0.06118111405997487
1 1 50 0.004013224495996654
1 1 51 -0.05621007356969038
1 2 1 -0.019029928211509922
1 2 2 0.04897048424485536
1 2 3 0.07940120042178046
1 2 4 -0.012255732841543606
1 2 5 -0.09818856223220114
1 2 6 0.04339018497880227
1 2 7 0.13119782727150403
1 2 8 0.017274682355060966
1 2 9 -0.03791834301721679
1 2 10 0.01986166751908699
1 2 11 0.098859791208449
1 2 12 0.06178922970411574
1 2 13 0.06441448317825152
1 2 14 -0.08113330410470046
1 2 15 -0.06339461655040661
1 2 16 0.011695093051349508
1 2 17 0.01628083035676087
1 2 18 -0.03492890233560998
1 2 19 -0.019469055453221504
1 2 20 0.010670247356230114
1 2 21 -0.11864332277623615
1 2 22 -0.027789518660510763
1 2 23 -0.12964838804014436
1 2 24 -0.053880570861128706
1 2 25 0.029709727668295875
1 2 26 0.049224145410078565
1 2 27 0.011771443781559763
1 2 28 -0.05777113782954018
1 2 29 0.029189628784944757
1 2 30 0.07924170266574952
1 2 31 -0.054090270696030784
1 2 32 0.050159834737179575
1 2 33 0.0018070535489868892
1 2 34 0.03841615270369204
1 2 35 0.0019507912720367645
1 2 36 -0.010420898462352654
1 2 37 -0.04835557255445102
1 2 38 0.04790404827930862
1 2 39 0.009225347627831417
1 2 40 -0.02295995902781175
1 2 41 0.008305175898200977
1 2 42 -0.03261467931926615
1 2 43 0.009025263217510826
1 2 44 -0.020123917895715382
1 2 45 0.054869848942316266
1 2 46 -0.07179680115465235
1 2 47 -0.03073401944667594
1 2 48 -0.03518856005075354
1 2 49 0.07768127428870786
1 2 50 0.021131753999543333
1 2 51 0.10587801714505815
1 3 1 0.060157352628054814
1 3 2 -0.026625707401973772
1 3 3 -0.0738759342693034
1 3 4 -0.10067883634172049
1 3 5 -0.02010810542648628
1 3 6 -0.061751900996473125
1 3 7 -0.01486981440481743
1 3 8 -0.025191752593230355
1 3 9 -0.12267916041390345
1 3 10 -0.04817032284965528
1 3 11 -0.07581503571548373
1 3 12 -0.048009762786164915
1 3 13 0.05469723334278693
1 3 14 -0.12327004043364427
1 3 15 -0.05260431920824857
1 3 16 0.08123760188784743
1 3 17 0.05991649773699614
1 3 18 -0.014333121164986294
1 3 19 0.01190115384379719
1 3 20 0.00839574177060248
1 3 21 -0.04105184738775185
1 3 22 0.03411134800569496
1 3 23 -0.02070370393132337
1 3 24 0.08674616505104377
1 3 25 -0.1491860750507037
1 3 26 0.06407676853405156
1 3 27 -0.08009539943453423
1 3 28 -0.009610747415854113
1 3 29 0.015067161907153143
1 3 30 -0.036544930091340605
1 3 31 -0.06075553889400346
1 3 32 0.041309212539064416
1 3 33 -0.030889060843699308
1 3 34 -0.05634306940243985
1 3 35 0.07757210587224346
1 3 36 -0.06673856554120298
1 3 37 0.11969279100037498
1 3 38 -0.10353009789573339
1 3 39 -0.05796760934738961
1 3 40 -0.006717640255235659
1 3 41 0.037680957486616096
1 3 42 -0.0016488849214538086
1 3 43 -0.1251443467973995
1 3 44 0.026702260954082447
1 3 45 -0.04349050679897992
1 3 46 0.05205287524461925
1 3 47 0.023723288843074352
1 3 48 -0.11752418359381775
1 3 49 0.01478926028416549
1 3 50 0.06414203462885447
1 3 51 -0.10142701298575224
1 4 1 0.12239891617737769
1 4 2 -0.1955161017397789
1 4 3 -0.027493670312818817
1 4 4 -0.04227691836606289
1 4 5 0.050178812944535245
1 4 6 0.02325200239163744
1 4 7 -0.053038753310585225
1 4 8 -0.15752181685719865
1 4 9 0.07434684265258523
1 4 10 -0.060374769397644724
1 4 11 0.015042685942143717
1 4 12 -0.01513193767993792
1 4 13 0.04700792887303087
1 4 14 0.020585921948848895
1 4 15 0.17245401571156196
1 4 16 -0.08159689185019953
1 4 17 -0.027624060445611807
1 4 18 0.03936041720195815
1 4 19 0.07187218869249763
1 4 20 -0.027811807919726966
1 4 21 0.049811891631695665
1 4 22 0.04123213847912948
1 4 23 0.04695201858854169
1 4 24 -0.16349638244822506
1 4 25 0.008493826076586832
1 4 26 -0.03723138716562115
1 4 27 0.014338651133291372
1 4 28 -0.02802389541980384
1 4 29 -0.017217381955043323
1 4 30 -0.0754794490664859
1 4 31 -0.1067032132416615
1 4 32 -0.04630090515097966
1 4 33 -0.05364779108037185
1 4 34 -0.06163784334380694
1 4 35 -0.02841268646941693
1 4 36 0.010833894027613086
1 4 37 0.05894769267570222
1 4 38 0.01822426712630574
1 4 39 -0.02399018245309916
1 4 40 0.05757856593685835
1 4 41 0.04250417934188117
1 4 42 0.07702586481937079
1 4 43 -0.0033038695905413594
1 4 44 -0.021933665398110935
1 4 45 -0.049634095206689446
1 4 46 0.08072333539193671
1 4 47 -0.1327683404228297
1 4 48 0.11365166236544091
1 4 49 -0.0397949702630708
1 4 50 0.0431185151215344
1 4 51 0.030388456190965557
1 5 1 -0.12747207060346852
1 5 2 -0.024619139369371802
1 5 3 0.08897992104056493
1 5 4 0.08580749456010288
1 5 5 -0.03698851002360076
1 5 6 0.030195081206312754
1 5 7 0.04480030880689621
1 5 8 -0.03469371459226
1 5 9 0.008685063794411623
1 5 10 -0.014591218638832093
1 5 11 -0.07228663618838574
1 5 12 0.0735080066304432
1 5 13 -0.005897046617593807
1 5 14 0.021629807826954003
1 5 16 0.07737649963561226
1 5 17 -0.05574190840120927
1 5 18 -0.007002923014871524
1 5 19 0.07256910599788534
1 5 20 -0.013817813933373741
1 5 21 0.018113056814965108
1 5 22 0.006166618585391146
1 5 23 -0.10171650090057585
1 5 24 -0.121195417724368
1 5 25 0.07641307721234765
1 5 26 0.07288939152510171
1 5 27 0.01184452575725676
1 5 28 0.02115269377785495
1 5 29 -0.06878340791004714
1 5 30 0.04474943001826691
1 5 31 -0.01539252960311837
1 5 32 -0.049137975602600435
1 5 33 -0.05679623475118685
1 5 34 -0.017728187944859794
1 5 35 -0.004691805699480355
1 5 36 0.04159627973379627
1 5 37 0.004611217007930707
1 5 38 -0.08019227738592281
1 5 39 -0.05778236729843573
1 5 40 -0.012914203412691163
1 5 41 0.014881195088712513
1 5 42 -0.016105852767698544
1 5 43 -0.032138860585506884
1 5 44 -0.02583044902269306
1 5 45 -0.01707682704051611
1 5 46 -0.021765599272637066
1 5 47 0.06321563807503393
1 5 48 0.06449798389007892
1 5 49 -0.03384333830462962
1 5 50 0.02284316673398343
1 5 51 0.08102141507732256
1 6 1 -0.003399153385413373
1 6 2 -0.013774453943183709
1 6 3 -0.0017481265397055394
1 6 4 -0.006801272509451336
1 6 5 0.010472791034760743
1 6 6 -0.03509009187724105
1 6 7 -0.032340531443258394
1 6 8 0.034961755634218626
1 6 9 0.06019943555735381
1 6 10 0.017992097039051472
1 6 11 0.04242058054245642
1 6 12 0.018053993404633185
1 6 13 -0.023589519268463616
1 6 14 0.03562841709940142
1 6 15 -0.009932822944472088
1 6 16 -0.011233110295966967
1 6 17 -0.12579369458236545
1 6 18 0.010231985061278936
1 6 19 0.0402654326534655
1 6 20 -0.025372286470259728
1 6 21 -0.06599977047603792
1 6 22 -0.12325088797624023
1 6 23 0.05684370672846541
1 6 24 -0.010066648447479313
1 6 25 0.05492921112525487
1 6 26 -0.03482989302343308
1 6 28 0.11269081038112286
1 6 29 0.058690430081365846
1 6 30 0.04646412933404615
1 6 31 0.04706291976549969
1 6 32 0.05093411455058849
1 6 33 0.06856123087890592
1 6 34 -0.0770079446433262
1 6 35 -0.05669350579091392
1 6 36 -0.0018126787306153968
1 6 37 0.03656276429689326
1 6 38 -0.0010205249588616434
1 6 40 -0.04765908253240258
1 6 41 0.050599464842086654
1 6 42 -0.005559742511360405
1 6 43 -0.05183134014698225
1 6 44 -0.04937773304667915
1 6 45 -0.01286794353911562
1 6 46 0.020541069504515824
1 6 47 0.008517792319844732
1 6 48 -0.040676588912401876
1 6 49 0.050587982474953684
1 6 50 -0.09788492607389743
1 6 51 -0.028852271696961862
1 7 1 0.07860283519825492
1 7 2 -0.07872591550750821
1 7 3 -0.0013763315660016478
1 7 4 -0.07236738901814148
1 7 5 0.05360251689219361
1 7 6 -0.03474799185395195
1 7 7 -0.0051047785174332125
1 7 8 0.00451376726742057
1 7 9 0.10203603143010252
1 7 10 -0.06813029566901824
1 7 11 0.07331931891679908
1 7 12 -0.039228190917165534
1 7 13 0.006462768544004652
1 7 14 -0.007943260168179575
1 7 15 -0.02749863413469862
1 7 16 -0.05015554719515732
1 7 17 0.04213829394927896
1 7 18 0.04977156478106468
1 7 19 -0.007514025495134296
1 7 20 -0.03846335987704219
1 7 21 0.019391782014884642
1 7 22 -0.0082833877732295
1 7 23 -0.0017443277799636667
1 7 24 -0.006060017965801996
1 7 25 -0.014345966104640917
1 7 26 -0.004405672397321746
1 7 27 0.028247071657141614
1 7 28 0.04474577678680819
1 7 29 0.049322264655435766
1 7 30 -0.01911945123213633
1 7 31 0.03435354465358945
1 7 32 -0.07190963933286461
1 7 33 0.07117457229561742
1 7 34 -0.011652162740113894
1 7 35 -0.056661107473759686
1 7 36 -0.029383790241213854
1 7 37 -0.00604253956469608
1 7 38 0.144152018088534
1 7 39 0.033401593319226534
1 7 40 0.026366508296734925
1 7 41 0.007585468681115878
1 7 42 0.031047576212867727
1 7 43 -0.07456085184533646
1 7 44 0.044153440441277524
1 7 45 0.03737567586124613
1 7 46 0.03267896289770942
1 7 47 -0.031411007295043585
1 7 48 0.007726870733424712
1 7 49 -0.021964259088198854
1 7 50 -0.06349871488511559
1 7 51 -0.017940717433146
1 8 1 -0.027206235925103014
1 8 2 -0.0372347789631956
1 8 3 -0.013433506047708694
1 8 4 -0.023610882816778665
1 8 5 0.07280419285214261
1 8 7 -0.02308612161772029
1 8 8 -0.011616187860469801
1 8 9 -0.01790259935960472
1 8 10 -0.057941803122279145
1 8 11 0.03895130438244779
1 8 12 0.07585964779869085
1 8 13 -0.027813824428164192
1 8 14 -0.07252269964354742
1 8 15 -0.020795668867871597
1 8 16 -0.010714612445390343
1 8 17 0.03796446723979913
1 8 18 -0.016323102194838346
1 8 19 -0.028604746370706813
1 8 20 0.019482042728460908
1 8 21 0.013845598144198314
1 8 22 0.0012860973913551086
1 8 23 0.035284784790770476
1 8 24 -0.0292651034065092
1 8 25 0.0604445867298895
1 8 26 -0.05375646922197727
1 8 27 -0.029002019752909034
1 8 28 -0.11526400009507672
1 8 29 -0.015790557003492127
1 8 30 -0.008676674600446938
1 8 31 0.002694473211966264
1 8 32 -0.01124763222985217
1 8 33 0.04344104929141687
1 8 34 0.005060477223199255
1 8 35 -0.01873075957218182
1 8 36 -0.02674557685364608
1 8 37 0.03920524663132025
1 8 38 0.05553189096850216
1 8 39 0.039304616843319665
1 8 40 -0.07958956618395333
1 8 41 0.024103530525637257
1 8 42 0.010380804088948571
1 8 43 -0.02517110835865473
1 8 44 -0.06291868932550232
1 8 45 -0.034607620568416514
1 8 46 0.0021806832876735583
1 8 47 -0.02283907221684557
1 8 48 -0.05800679162351728
1 8 49 0.0640748077318622
1 8 50 -0.05985624096449737
1 8 51 -0.040538946618693235
1 9 1 0.01170686119714278
1 9 2 0.04834291536306922
1 9 3 0.06408432736791704
1 9 4 -0.06780195133530298
1 9 5 0.01049299334449051
1 9 6 -0.026407381450008365
1 9 7 0.05760434703462542
1 9 8 -0.10726417696811051
1 9 9 -0.028384012947278933
1 9 10 -0.03463176588671769
1 9 11 0.07770946399942377
1 9 12 0.0030056103763289785
1 9 13 -0.10048168603244592
1 9 14 0.08042017791837876
1 9 15 0.1156464394367877
1 9 16 -0.0783139307731693
1 9 17 -0.11366946965353875
1 9 18 0.015156438683467938
1 9 19 0.03488712178081588
1 9 20 0.00798708747563981
1 9 21 -0.013957869215550828
1 9 22 0.06109226184784017
1 9 23 -0.11263602758620408
1 9 24 0.04529902832493087
1 9 25 0.11111137645664837
1 9 26 -0.07686174275639301
1 9 27 -0.06287701136365752
1 9 28 -0.09950975163628765
1 9 29 -0.034215321410536306
1 9 30 -0.04240007756414391
1 9 31 0.16581635576381126
1 9 32 -0.00386233347796659
1 9 33 0.042144758730968
1 9 34 0.043933774799346896
1 9 35 -0.12863106819812054
1 9 36 -0.028123339638080752
1 9 37 0.0016798270611334157
1 9 38 -0.03938883331028972
1 9 39 0.011789131793992338
1 9 40 0.04327984883148946
1 9 41 -0.009912716310135846
1 9 42 -0.21032261427714938
1 9 43 0.032413744244585256
1 9 44 -0.049385594004957976
1 9 45 -0.012760491565985818
1 9 46 0.00644486488502601
1 9 47 0.0016764646798909024
1 9 48 0.11230465684473535
1 9 49 -0.05885430893869931
1 9 50 -0.01442332180441424
1 9 51 -0.12018579855214663
1 10 1 0.01931602065262112
1 10 2 0.003695787079813209
1 10 3 -0.005537450120831667
1 10 4 -0.007497332610623617
1 10 5 0.012302485050065126
1 10 6 -0.0439929006225595
1 10 7 -0.08498058717435462
1 10 8 -0.12217006977941669
1 10 9 -0.04499943878222885
1 10 10 -0.08606779375934284
1 10 12 0.035256467009100345
1 10 13 -0.03816332228167308
1 10 14 0.05220792508272874
1 10 15 0.02396800389476904
1 10 16 -0.08542230127168023
1 10 17 -0.04421670339483429
1 10 18 0.004052997333744782
1 10 19 0.09025031293124049
1 10 20 0.008415565607386797
1 10 21 -0.1453638219302624
1 10 22 -0.07929291163999913
1 10 23 -0.017067491354198053
1 10 24 0.043548521511696255
1 10 25 0.020746633232168667
1 10 26 -0.11074534065229373
1 10 27 0.10831088880927697
1 10 28 0.023238523897342465
1 10 29 -0.020687471564813112
1 10 30 0.08805021871977911
1 10 31 0.036503777522806403
1 10 32 0.026033943648429796
1 10 33 0.03891754303387467
1 10 34 0.032115949158826165
1 10 35 -0.037351201133666107
1 10 36 -0.034623697567516876
1 10 37 -0.1876800950559429
1 10 38 -0.06706948710018802
1 10 39 0.05284671346431087
1 10 40 0.04513440010307526
1 10 41 -0.02769032558646806
1 10 42 -0.11291647739130034
1 10 43 -0.05203510449198974
1 10 44 0.08069900953908438
1 10 45 -0.012080801970690268
1 10 46 0.19942924542603493
1 10 47 0.10355789163637209
1 10 48 -0.04138394890442212
1 10 49 -0.020734706537848136
1 10 50 -0.12480930504270334
1 10 51 0.025476526150748406
1 11 1 -0.03855623096922711
1 11 2 -0.016569505598058615
1 11 3 0.061318283225672475
1 11 4 0.06146925520435697
1 11 5 -0.042778487184940234
1 11 6 0.08643769750566749
1 11 7 -0.023791517906170394
1 11 8 -0.15540337284643357
1 11 9 0.015060680478505886
1 11 10 0.08404658964754859
1 11 11 0.03786073959101194
1 11 12 0.0913852621044449
1 11 13 0.07450580825951965
1 11 14 0.07721061905248346
1 11 15 -0.05347432613551099
1 11 16 -0.10615103922266593
1 11 18 0.07080414744435783
1 11 19 0.021431673533649838
1 11 20 -0.16561297276443343
1 11 21 0.12859087911233202
1 11 22 -0.12899154503659396
1 11 23 -0.0720165041965641
1 11 24 -0.16796018083448064
1 11 25 0.07328879439435514
1 11 26 0.03383232639676518
1 11 27 0.04377096036764993
1 11 28 -0.014079923914258923
1 11 29 -0.16015368182081366
1 11 30 0.05145242561421941
1 11 31 0.050634878879171924
1 11 32 0.07759823694939705
1 11 33 -0.04174643242253126
1 11 34 0.009431632544057541
1 11 35 -0.04255527869704239
1 11 36 -0.11333993343558009
1 11 37 -0.08492585790265438
1 11 38 -0.07090089875937994
1 11 39 0.08032715777927037
1 11 40 -0.010335072533919043
1 11 41 -0.08698784023927507
1 11 42 -0.022298848119844318
1 11 43 0.03245951579083218
1 11 44 0.056569302553318004
1 11 45 -0.02786739889115752
1 11 46 0.03392462772933288
1 11 47 -0.03316035397743213
1 11 48 -0.0035564353707421806
1 11 49 -0.15426517381138807
1 11 50 -0.04955986622400751
1 11 51 0.0833623531368058
1 12 2 -0.10641643079846422
1 12 3 -0.016364411690216844
1 12 4 0.06971755256602258
1 12 5 -0.03919856174242123
1 12 6 -0.04441640800916173
1 12 7 -0.06087908718184496
1 12 8 -0.030460343731248164
1 12 9 0.07064112482068592
1 12 10 0.060913570601185206
1 12 11 -0.047844869454527365
1 12 12 -0.06772889311110794
1 12 13 0.01776615210737148
1 12 14 -0.04451178276766857
1 12 15 0.007882091431424845
1 12 16 -0.05113009258543359
1 12 17 -0.06260773123091357
1 12 18 0.08682339394759354
1 12 19 0.09432725566290252
1 12 20 -0.037657781169251885
1 12 21 0.1091245705349755
1 12 22 -0.03932249824700299
1 12 23 -0.07259858394695497
1 12 24 -0.04455487619191398
1 12 25 0.1040861584296385
1 12 26 0.026843820709106958
1 12 27 -0.046520914837172155
1 12 28 0.10265922793401216
1 12 29 0.02460053913604109
1 12 30 0.004248933802412825
1 12 31 0.038479257311601366
1 12 32 0.11866865971747705
1 12 33 -0.0848106581000271
1 12 34 -0.09021344096076064
1 12 36 -0.07405979626325696
1 12 37 0.1002192996588408
1 12 38 -0.038719663067199275
1 12 39 -0.028244779088423808
1 12 40 -0.06122911053356065
1 12 41 -0.0671758764852976
1 12 42 0.0968724307783771
1 12 43 -0.05001776669008858
1 12 44 -0.0927985848275233
1 12 45 -0.048892538369653245
1 12 46 0.023604798827324962
1 12 47 0.025409674075065027
1 12 48 0.059450528031104566
1 12 49 -0.045332499088801194
1 12 50 0.0015553156287748306
1 12 51 0.06670206098621037
1 13 1 0.02621694209994836
1 13 2 0.03889297751153507
1 13 3 0.028242269650087377
1 13 4 0.010235799493313767
1 13 5 0.02291217138695439
1 13 6 0.04485792514081659
1 13 7 -0.013552744317193615
1 13 8 -0.18639734271048655
1 13 9 -0.01636534736763907
1 13 10 -0.021827964352172147
1 13 11 -0.0652130340986223
1 13 12 0.07461801187734528
1 13 13 0.012922097723921168
1 13 14 0.12522270597317778
1 13 15 0.006159411221851919
1 13 16 -0.08681340988658447
1 13 17 0.017016085766506976
1 13 18 0.04930296519242299
1 13 19 0.03390306948730956
1 13 20 -0.008380699046635716
1 13 21 0.06752641700231475
1 13 22 -0.021280224971368267
1 13 23 -0.09858146860511234
1 13 24 -0.06646460919601863
1 13 25 -0.027243833162873186
1 13 26 -0.03130096137523273
1 13 27 0.01964062771746845
1 13 28 0.07438313979012066
1 13 29 -0.08122734212712383
1 13 30 -0.011274008171342284
1 13 31 0.03888561814905019
1 13 32 -0.00803609127374339
1 13 33 -0.0493004259294734
1 13 34 -0.027910004214726065
