# i j k value
6 38 44 0.5802201393211783
6 38 45 -1.4963664187308412
6 39 44 0.5374427033062655
6 39 45 0.18155850752757358
6 45 37 -2.6845281127640233
6 45 38 -0.4859643838845846
6 46 37 -1.088059203947848
6 46 38 0.2212083215378737
7 38 44 -0.33603715630607833
7 38 45 1.3931454779636823
7 39 44 0.7051437956634682
7 39 45 -1.4933772206668152
7 45 37 -0.42241241426221876
7 45 38 1.1741775690158103
7 46 37 -0.09309137518319426
7 46 38 1.9225043242358437
8 42 41 0.39072906125401663
8 42 42 -0.3683663800231445
8 42 43 -0.7147391547045933
8 43 41 0.49421955585816146
8 43 42 -0.44776885012403295
8 43 43 -0.6673124358069551
8 44 41 -0.20018337738368092
8 44 42 0.1752465710936946
8 44 43 0.19050938124534272
9 42 41 0.12919077181359212
9 42 42 -1.1707412373634383
9 42 43 -0.8396403551910346
9 43 41 0.005425225113665157
9 43 42 -1.4055859650041822
9 43 43 -0.03621003100932371
9 44 41 0.15307650494403086
9 44 42 0.41126453212369635
9 44 43 -0.9936192672498029
10 32 41 0.037804098870870856
10 32 42 -0.9519561227854599
10 32 43 -2.3506500460774107
10 33 41 1.0796087859326604
10 33 42 -0.8406634264579325
10 33 43 -0.4156751260533569
10 36 35 1.3658866690912792
10 36 36 -1.6747253359453953
10 37 35 0.8519582214084508
10 37 36 0.16701116421324472
10 42 31 -1.2921003923195098
10 42 32 0.1485315498162274
10 43 31 -1.7897080371719962
10 43 32 -0.08662496460914287
10 44 31 0.2420372545967233
10 44 32 -0.13177988894975384
11 32 41 -0.02365024035591871
11 32 42 0.2581044647455688
11 32 43 0.6315482219002202
11 33 41 1.2008177021732647
11 33 42 1.3139446412420672
11 33 43 0.8166774650567209
11 36 35 0.5221811832044042
11 36 36 -1.053480607254087
11 37 35 2.006994198608606
11 37 36 -0.11251586049441968
11 42 31 0.7656193591042472
11 42 32 -0.4913071661376241
11 43 31 -0.48198563812356937
11 43 32 -0.9552406480343771
11 44 31 0.8763500717684795
11 44 32 -0.5520976530230661
12 28 44 -0.7395128325230129
12 28 45 -1.4160529270708877
12 29 44 -0.23582665161130775
12 29 45 -1.6354803447677198
12 30 41 -0.30057211379928184
12 30 42 1.500632302039493
12 30 43 -0.6352380415286079
12 31 41 -0.2768406758459505
12 31 42 -0.26306372827990815
12 31 43 1.7027995193414185
12 42 29 2.034432422610815
12 42 30 -1.9894209314409261
