# i j k value
1 25 26 -1.9149223873758194
1 26 25 -1.3522419804621784
1 26 26 0.20743747364173146
1 26 27 -0.23755933700252713
1 27 26 1.897556419812365
2 19 25 1.2030196359749397
2 19 26 -0.19320422715027227
2 19 27 -0.8214945538179902
2 21 21 -0.03808335673967538
2 21 31 -3.1040589928082563
2 25 19 -1.32361856524672
2 25 33 -0.7089177052855644
2 26 19 -1.130317963560415
2 26 33 -0.5210653114941549
2 27 19 1.1162782370329325
2 27 33 1.4517552310904227
2 31 21 -0.48988735671589256
2 31 31 -1.3210337273855988
2 33 25 -0.13628441326627605
2 33 26 -0.2656821290400736
2 33 27 -0.2519082963525917
3 17 22 0.2458279334686147
3 17 30 1.4410560598934574
3 22 17 -0.8925071169645078
3 22 35 1.3111498091490579
3 30 17 0.762281752412249
3 30 35 -0.003300780781951471
3 35 22 1.1199167194656383
3 35 30 2.440271254860547
5 13 22 0.0859117062841389
5 13 30 2.0774443850954114
5 15 18 0.02029622488366883
5 15 34 -0.28346447547274056
5 18 15 -0.34648854270802715
5 18 37 1.5081939827768005
5 22 13 -1.7214854550923904
5 22 39 0.17234255936076281
5 30 13 -1.1376627735685951
5 30 39 0.24433759566787144
5 34 15 -1.0202559643548164
5 34 37 1.2088105477326752
5 37 18 -0.4108351502765908
5 37 34 0.24190120163185636
5 39 22 0.12846066846722534
5 39 30 -0.7338782077965406
6 11 25 -0.2690606646789371
6 11 26 -0.7815357948527288
6 11 27 1.208012986539066
6 14 17 1.8328068633309704
6 14 35 -0.11479906124924964
6 17 14 -1.8665874280491046
6 17 38 0.47290725705400444
6 25 11 0.6313388590642537
6 25 41 -0.19565838617840284
6 26 11 0.47699617315475873
6 26 41 1.0946642528503285
6 27 11 0.19256703336034658
6 27 41 -0.5246593609429174
6 35 14 0.9042856713946161
6 35 38 -0.86061596006618
6 38 17 -0.6999157434712135
6 38 35 -1.5872744766421962
6 41 25 1.0013655053984771
6 41 26 -0.09902958339613845
6 41 27 0.040897135556601634
7 10 23 0.9811529924512229
7 10 29 -0.9055471850276027
7 14 15 0.24795835690505466
7 14 37 0.5928951757898363
