# i j k value
1 1 2 -13.483649630466966
1 1 5 13.201305966088581
1 1 14 -17.534753145077048
1 1 15 -17.33444863400177
1 1 16 14.51874452910115
1 1 24 -27.164418229282607
1 1 40 -16.08277475081097
1 1 49 15.40067731951136
1 1 62 13.368821618633069
1 1 64 13.545701463983645
1 2 4 14.512057309847897
1 2 14 -13.688111717584865
1 2 15 -14.512102450298297
1 2 21 -14.225670944228373
1 2 23 18.54834226602434
1 2 26 14.8501060690716
1 2 33 -23.08037263335219
1 2 39 16.14820377023084
1 2 50 -16.055851223882193
1 2 51 -13.8851330039049
1 2 56 -14.834240662121394
1 2 64 -29.888036657239056
1 3 1 17.081843190508057
1 3 3 -16.90845776074519
1 3 9 -15.787156227107808
1 3 25 22.187706046742406
1 3 26 15.360322592435798
1 3 37 -17.767200658594685
1 3 38 -19.888877495087883
1 3 39 13.102167044412772
1 3 56 14.657913001374347
1 4 7 -26.718090836202446
1 4 11 15.871509508521772
1 4 18 14.698636547759474
1 4 20 -17.703441899158626
1 4 30 -14.59875501250275
1 4 35 19.927347531397103
1 4 45 14.67459612854849
1 4 52 -27.459591418068037
1 4 53 -29.295239172235654
1 4 54 18.861849684148634
1 4 55 14.839537422754649
1 5 2 14.580394708976412
1 5 3 21.24024766302763
1 5 9 16.707509987257264
1 5 15 -23.612468317211036
1 5 17 28.685873105343155
1 5 24 -14.941324249718704
1 5 31 13.232527247886539
1 5 34 -15.147024755952696
1 5 38 13.045726256747853
1 5 43 13.194015513609976
1 5 45 22.809730884846765
1 5 53 13.878336789464694
1 5 55 16.250485746337517
1 5 58 -13.271989084034697
1 5 64 25.979901364914085
1 6 10 -18.556869973599053
1 6 12 -14.169561213038147
1 6 15 18.74433529496175
1 6 17 -14.868203472816514
1 6 24 18.344618645922274
1 6 25 18.75541206389376
1 6 26 16.39929680269939
1 6 28 -14.534923807921405
1 6 31 17.26919105558367
1 6 35 -13.511570447233423
1 6 37 -18.630359571917438
1 6 38 -14.455212153719522
1 6 39 -17.839727054816933
1 6 44 21.286192444456525
1 6 47 -13.260510932047797
1 6 49 25.705981759254975
1 6 50 -14.124395821104823
1 6 55 -22.052443564725056
1 6 57 15.97811918304714
1 6 62 -16.264588712692504
1 6 63 14.659254393619012
1 6 64 21.647545247503906
1 7 10 19.062289524545324
1 7 16 -18.036748125233792
1 7 17 -13.934883376039416
1 7 20 -14.418697277995346
1 7 22 13.764462755300954
1 7 27 13.053578296628936
1 7 28 -15.210923121170827
1 7 35 -16.28529017730583
1 7 38 18.584738012620793
1 7 39 17.215326030809905
1 7 49 14.271024922094455
1 7 59 -13.291775086031768
1 7 60 18.564189167161288
1 7 61 14.852431378852312
1 7 63 15.685845119587942
1 8 1 14.448415109905657
1 8 4 -19.067031761044774
1 8 8 -16.709542251898096
1 8 11 -22.09664236285784
1 8 16 -18.620544219741806
1 8 24 14.861599470464322
1 8 25 15.320380914805279
1 8 32 13.741897495030956
1 8 33 14.031105980690635
1 8 36 -20.236566140562235
1 8 40 -18.645449881936354
1 8 44 -20.985389707435253
1 8 50 13.437770383583167
