x y z meta size
1 20 81 0 57
1 21 81 0 6
1 22 80 0 716
1 23 79 0 120
1 24 79 0 15
1 25 78 0 293
1 26 77 0 14
1 27 77 0 11
1 28 76 0 236
1 29 76 0 51
1 30 75 0 291
1 31 74 0 3
1 31 75 0 4
1 32 74 0 740
1 33 73 0 9
1 34 73 0 604
1 35 72 0 117
1 36 72 0 378
1 37 71 0 28
1 38 71 0 4
1 39 70 0 3
1 40 70 0 109
1 41 69 0 13
1 41 70 0 2
1 42 69 0 88
1 43 68 0 2
1 43 69 0 42
1 44 68 0 664
1 45 68 0 228
1 46 67 0 7
1 47 67 0 77
1 48 66 0 3
1 48 67 0 105
1 49 66 0 225
1 50 66 0 332
1 51 66 0 80
1 52 65 0 49
1 53 65 0 778
1 54 64 0 1
1 54 65 0 72
1 55 64 0 57
1 55 65 0 12
1 56 64 0 416
1 57 64 0 688
1 58 64 0 75
1 59 63 0 31
1 59 64 0 10
1 60 63 0 243
1 60 64 0 1
1 61 63 0 765
1 62 63 0 727
1 63 63 0 43
1 64 62 0 6
1 64 63 0 101
1 65 62 0 4
1 65 63 0 38
1 66 62 0 4
1 66 63 0 5
1 67 62 0 124
1 68 62 0 282
1 69 62 0 45
1 70 62 0 304
1 71 62 0 336
1 72 62 0 240
1 73 62 0 319
1 74 62 0 415
1 75 62 0 122
1 76 61 0 4
1 76 62 0 57
1 77 61 0 7
1 77 62 0 17
1 78 61 0 1
1 78 62 0 148
1 79 62 0 57
1 80 61 0 9
1 80 62 0 62
1 81 61 0 11
1 81 62 0 125
2 20 81 0 135
2 21 81 0 7
2 22 80 0 580
2 23 79 0 5
2 24 79 0 13
2 25 78 0 12
2 26 77 0 6
2 27 77 0 334
2 28 76 0 127
2 29 76 0 38
2 30 75 0 844
2 32 74 0 608
2 33 73 0 23
2 34 73 0 161
2 35 72 0 121
2 36 72 0 273
2 37 71 0 81
2 38 71 0 571
2 39 70 0 72
2 40 70 0 545
2 41 69 0 13
2 41 70 0 4
2 42 69 0 184
2 43 68 0 1
2 43 69 0 51
2 44 68 0 18
2 45 68 0 188
2 46 67 0 91
2 46 68 0 1
2 47 67 0 358
2 48 67 0 62
2 49 66 0 102
2 50 66 0 240
2 51 65 0 2
2 51 66 0 81
2 52 65 0 277
2 53 65 0 80
2 54 65 0 346
2 55 64 0 52
2 55 65 0 6
2 56 64 0 577
2 57 64 0 916
2 58 64 0 344
2 59 63 0 11
2 59 64 0 43
2 60 63 0 139
2 60 64 0 1
2 61 63 0 550
2 62 63 0 103
2 63 63 0 348
2 64 62 0 7
2 64 63 0 103
2 65 62 0 42
2 65 63 0 1
2 66 62 0 24
2 66 63 0 3
2 67 62 0 455
2 68 62 0 769
2 69 62 0 915
2 70 62 0 430
2 71 62 0 455
2 72 62 0 362
2 73 62 0 471
2 74 61 0 2
2 74 62 0 51
2 75 61 0 1
2 75 62 0 215
2 76 62 0 38
2 77 61 0 8
2 77 62 0 80
2 78 61 0 1
2 78 62 0 52
2 79 61 0 2
2 79 62 0 167
2 80 61 0 7
