x y z meta size
1 20 81 0 69
1 22 80 0 1
1 23 79 0 28
1 24 79 0 1
1 25 78 0 191
1 26 77 0 6
1 28 76 0 17
1 29 74 0 1
1 29 75 0 3
1 29 76 0 1
1 30 75 0 208
1 31 73 0 2
1 31 74 0 3
1 31 75 0 1
1 32 74 0 91
1 33 73 0 11
1 34 71 0 1
1 34 73 0 120
1 35 72 0 20
1 36 71 0 1
1 36 72 0 275
1 37 71 0 11
1 37 72 0 1
1 38 70 0 1
1 38 71 0 297
1 38 72 0 1
1 39 70 0 4
1 39 71 0 1
1 40 68 0 1
1 40 69 0 1
1 40 70 0 302
1 41 69 0 15
1 41 70 0 13
1 42 69 0 40
1 43 67 0 1
1 43 68 0 18
1 43 69 0 20
1 44 68 0 1
1 44 69 0 1
1 45 67 0 1
1 45 68 0 61
1 46 67 0 11
1 46 68 0 5
1 47 66 0 1
1 47 67 0 87
1 48 67 0 49
1 49 66 0 6
1 49 67 0 3
1 50 65 0 2
1 50 66 0 232
1 50 67 0 1
1 51 65 0 1
1 51 66 0 40
1 52 62 0 1
1 52 65 0 6
1 52 66 0 1
1 53 63 0 1
1 53 65 0 98
1 54 64 0 3
1 54 65 0 12
1 55 63 0 1
1 55 64 0 10
1 55 65 0 2
1 56 63 0 2
1 56 64 0 14
1 57 62 0 1
1 57 63 0 1
1 57 64 0 91
1 58 63 0 1
1 58 64 0 82
1 59 63 0 7
1 59 64 0 6
1 60 62 0 3
1 60 63 0 38
1 60 64 0 2
1 60 66 0 1
1 61 62 0 1
1 61 63 0 12
1 62 62 0 2
1 62 63 0 9
1 63 62 0 7
1 63 63 0 162
1 64 62 0 7
1 64 63 0 16
1 65 62 0 45
1 65 63 0 3
1 66 62 0 78
1 66 63 0 2
1 67 62 0 49
1 67 63 0 4
1 68 61 0 2
1 68 62 0 5
1 69 61 0 3
1 69 62 0 70
1 70 60 0 1
1 70 61 0 2
1 70 62 0 206
1 71 60 0 1
1 71 62 0 101
1 72 61 0 8
1 72 62 0 22
1 72 63 0 1
1 73 61 0 5
1 73 62 0 29
1 74 61 0 5
1 74 62 0 71
1 75 62 0 14
1 76 61 0 1
1 76 62 0 1
1 77 61 0 11
1 77 62 0 2
1 78 62 0 7
1 79 61 0 19
1 79 62 0 16
1 80 61 0 14
1 80 62 0 36
1 81 61 0 3
1 81 62 0 56
2 20 80 0 1
2 20 81 0 12
2 21 80 0 1
2 22 80 0 75
2 23 79 0 7
2 23 80 0 1
2 24 79 0 3
2 25 78 0 15
2 26 77 0 5
2 27 77 0 38
2 28 75 0 1
2 28 76 0 51
2 29 75 0 3
2 29 76 0 12
2 30 75 0 51
2 31 73 0 2
2 31 74 0 18
2 31 75 0 2
2 32 73 0 1
2 32 74 0 21
2 33 73 0 4
2 34 71 0 2
2 34 72 0 3
2 34 73 0 279
2 34 74 0 1
2 35 72 0 80
2 36 70 0 1
2 36 71 0 2
2 36 72 0 116
2 37 71 0 46
2 38 70 0 1
2 38 71 0 16
2 39 70 0 25
2 40 69 0 1
2 40 70 0 233
2 41 69 0 30
2 41 70 0 8
2 42 67 0 2
2 42 68 0 3
2 42 69 0 15
2 43 68 0 20
2 43 69 0 2
2 44 68 0 38
2 45 67 0 1
2 45 68 0 24
2 46 67 0 29
2 46 68 0 1
2 47 66 0 3
2 47 67 0 140
2 48 66 0 6
2 48 67 0 20
2 49 66 0 4
2 49 67 0 1
2 50 65 0 2
2 50 66 0 85
2 51 64 0 1
2 51 65 0 5
2 51 66 0 11
2 52 64 0 1
