x y z meta size
1 1 8 0 29
1 1 18 0 24
1 1 23 0 1
1 1 29 0 44
1 1 37 0 25
1 1 62 0 13
1 1 81 0 1
1 2 2 0 4
1 2 8 0 39
1 2 16 0 63
1 2 18 0 32
1 2 20 0 14
1 2 26 0 7
1 2 28 0 2
1 2 29 0 31
1 2 37 0 18
1 2 39 0 107
1 2 41 0 23
1 2 46 0 7
1 2 47 0 30
1 2 48 0 5
1 2 51 0 3
1 2 52 0 16
1 2 58 0 2
1 2 60 0 15
1 2 61 0 13
1 2 71 0 5
1 2 72 0 5
1 2 74 0 38
1 2 75 0 20
1 2 78 0 10
1 3 3 0 6
1 3 9 0 4
1 3 11 0 2
1 3 12 0 4
1 3 22 0 13
1 3 23 0 22
1 3 28 0 13
1 3 32 0 2
1 3 36 0 11
1 3 50 0 2
1 3 52 0 17
1 3 54 0 4
1 3 56 0 2
1 3 58 0 6
1 3 65 0 33
1 3 66 0 8
1 3 68 0 11
1 3 73 0 16
1 4 22 0 9
1 4 29 0 1
1 4 46 0 1
1 4 58 0 27
1 5 2 0 15
1 5 8 0 59
1 5 18 0 48
1 5 20 0 69
1 5 26 0 18
1 5 29 0 89
1 5 37 0 52
1 5 39 0 67
1 5 47 0 1
1 5 48 0 24
1 5 51 0 15
1 5 52 0 45
1 5 60 0 23
1 5 61 0 32
1 5 75 0 26
1 6 2 0 23
1 6 8 0 14
1 6 9 0 4
1 6 18 0 11
1 6 19 0 28
1 6 20 0 32
1 6 26 0 27
1 6 29 0 20
1 6 37 0 12
1 6 39 0 4
1 6 41 0 14
1 6 44 0 3
1 6 48 0 35
1 6 51 0 22
1 6 52 0 10
1 6 55 0 3
1 6 60 0 12
1 6 61 0 1
1 6 62 0 3
1 6 75 0 39
1 6 79 0 4
1 6 81 0 2
1 7 2 0 11
1 7 3 0 1
1 7 8 0 70
1 7 9 0 1
1 7 11 0 74
1 7 12 0 1
1 7 16 0 139
1 7 18 0 58
1 7 20 0 44
1 7 23 0 3
1 7 26 0 1
1 7 28 0 128
1 7 29 0 44
1 7 37 0 25
1 7 39 0 237
1 7 41 0 52
1 7 46 0 17
1 7 47 0 67
1 7 48 0 34
1 7 50 0 68
1 7 51 0 22
1 7 52 0 38
1 7 54 0 36
1 7 56 0 1
1 7 58 0 4
1 7 59 0 1
1 7 60 0 60
1 7 61 0 28
1 7 65 0 5
1 7 66 0 1
1 7 68 0 103
1 7 71 0 50
1 7 72 0 11
1 7 73 0 2
1 7 74 0 85
1 7 75 0 46
1 7 78 0 23
1 8 1 0 8
1 8 2 0 10
1 8 4 0 1
1 8 9 0 52
1 8 20 0 1
1 8 21 0 4
1 8 22 0 24
1 8 24 0 6
1 8 25 0 2
1 8 26 0 1
1 8 30 0 1
1 8 33 0 2
1 8 39 0 4
1 8 41 0 49
1 8 44 0 1
1 8 47 0 1
1 8 48 0 1
1 8 51 0 1
1 8 55 0 2
1 8 56 0 9
1 8 58 0 61
1 8 59 0 15
1 8 60 0 61
1 8 74 0 1
1 8 75 0 16
1 8 77 0 46
1 8 79 0 2
1 8 81 0 3
1 9 3 0 4
1 9 9 0 13
1 9 11 0 1
1 9 12 0 14
1 9 22 0 2
1 9 23 0 21
1 9 28 0 17
1 9 29 0 1
1 9 32 0 1
1 9 36 0 31
1 9 50 0 1
1 9 52 0 16
1 9 54 0 5
1 9 58 0 1
1 9 65 0 32
1 9 66 0 4
1 9 68 0 15
1 9 73 0 16
1 10 3 0 74
1 10 8 0 3
1 10 9 0 21
1 10 11 0 4
1 10 12 0 22
1 10 16 0 2
1 10 18 0 2
1 10 22 0 51
1 10 23 0 65
1 10 28 0 66
1 10 29 0 4
1 10 32 0 1
1 10 36 0 2
1 10 37 0 2
1 10 44 0 13
1 10 50 0 4
1 10 52 0 51
1 10 54 0 20
1 10 55 0 18
1 10 56 0 3
1 10 58 0 22
1 10 60 0 1
1 10 65 0 99
1 10 66 0 89
1 10 68 0 59
1 10 71 0 17
1 10 73 0 49
1 10 74 0 11
1 10 78 0 34
1 10 79 0 25
1 11 3 0 6
1 11 8 0 1
1 11 9 0 4
1 11 10 0 19
1 11 11 0 8
1 11 12 0 4
1 11 18 0 1
1 11 20 0 5
1 11 22 0 17
1 11 23 0 35
1 11 26 0 7
1 11 28 0 18
1 11 29 0 2
1 11 36 0 15
1 11 37 0 1
1 11 50 0 7
1 11 52 0 27
1 11 54 0 5
1 11 58 0 7
1 11 60 0 1
1 11 65 0 53
1 11 66 0 7
1 11 68 0 16
1 11 73 0 26
1 12 2 0 3
1 12 8 0 26
1 12 18 0 21
1 12 20 0 13
1 12 28 0 1
1 12 29 0 20
1 12 37 0 12
1 12 39 0 71
1 12 41 0 15
1 12 44 0 5
1 12 46 0 5
1 12 47 0 20
1 12 52 0 10
1 12 55 0 2
1 12 60 0 10
1 12 61 0 8
1 12 74 0 25
1 12 75 0 13
1 12 76 0 2
1 12 78 0 2
1 12 79 0 2
1 12 81 0 7
1 13 3 0 17
1 13 9 0 2
1 13 12 0 3
1 13 20 0 18
1 13 22 0 2
1 13 26 0 26
1 13 28 0 1
1 13 36 0 18
1 13 48 0 23
1 13 51 0 14
1 13 55 0 11
1 13 58 0 1
1 13 65 0 1
1 13 66 0 3
1 13 68 0 1
1 13 71 0 5
1 13 77 0 16
1 13 79 0 16
1 13 81 0 56
1 14 1 0 5
1 14 2 0 7
1 14 3 0 2
1 14 20 0 28
1 14 22 0 3
1 14 26 0 40
1 14 33 0 1
1 14 50 0 5
1 14 53 0 2
1 14 56 0 5
1 14 57 0 3
1 14 58 0 11
1 14 59 0 9
1 14 60 0 9
1 14 75 0 12
1 14 77 0 17
1 15 1 0 27
1 15 8 0 1
1 15 10 0 5
