# i j k value
13 9 21 -0.3003213835948724
13 9 22 -0.09077003534383259
13 9 23 0.18809257608617969
13 9 24 -0.1935095009216819
13 9 25 0.14456020042326972
13 9 26 -0.2642916052157598
13 9 27 -0.1819639024357241
13 9 28 0.05250857162046189
13 9 29 -0.28383222902073924
13 9 30 0.06405063285369703
13 9 31 0.33790249726399
13 9 32 0.31226291264477823
13 9 33 -0.5688352154897648
13 9 34 0.08877852281097028
13 9 35 -0.041368088474162776
13 9 36 0.2988779031085552
13 9 37 0.5759460031567191
13 9 38 -0.044112283032304564
13 9 39 0.362109430995257
13 9 40 -0.6234621465830238
13 9 41 0.09480129295712275
13 9 42 0.13447552647134142
13 9 43 0.14237976042284872
13 9 44 -0.7077666048718615
13 9 45 0.019060658501866678
13 9 46 -0.12228404480648226
13 9 47 0.45809422523922955
13 9 48 -0.0404294292867211
13 9 49 0.40984916254934534
13 9 50 -0.3650821828909518
13 9 51 -0.15923932987764577
13 9 52 0.025865781303131153
13 9 53 -0.6081379864842931
13 9 54 0.7418026118856295
13 9 55 0.5546752766670351
13 9 56 0.6665795250897855
13 9 57 0.18086619930772158
13 9 58 0.2202990104925337
13 9 59 0.27534243613061304
13 9 60 -0.4785872995162504
13 9 61 -0.8423934980522803
13 9 62 -0.33457278234151233
13 9 63 -0.3875760272891819
13 9 64 -0.11339090306181518
13 9 65 1.2066776160795527
13 10 21 -0.30013743361090073
13 10 22 -0.15817362109868227
13 10 23 0.1600383756223134
13 10 24 -0.07558225584561638
13 10 25 0.014718496637943222
13 10 26 0.043091952687477314
13 10 27 0.10357879331370747
13 10 28 -0.4364094323958556
13 10 29 -0.09329789497623771
13 10 30 -0.02536725107615836
13 10 31 0.0006587332090917081
13 10 32 -0.05167504052719273
13 10 33 -0.016871223714338187
13 10 34 -0.11834227593189434
13 10 35 -0.2450446248189936
13 10 36 0.24290548603479864
13 10 37 -0.45524224527344254
13 10 38 0.3660927948974467
13 10 39 -0.37862845111984916
13 10 40 0.13483145926183857
13 10 41 -0.11675615530269952
13 10 42 -0.014040296254727936
13 10 43 -0.5634915202821346
13 10 44 0.09743934789037742
13 10 45 -0.24509749707733902
13 10 46 -0.1119458041964019
13 10 47 -0.18586050424917508
13 10 48 0.32400324061950736
13 10 49 0.09147469987787821
13 10 50 0.03128110909391862
13 10 51 -0.533709299059475
13 10 52 -0.157935018858238
13 10 53 0.9323668028450915
13 10 54 -0.7616831994976863
13 10 55 1.1885052474513098
13 10 56 -0.16875903914838686
13 10 57 -0.04205724135106976
13 10 58 1.6640638395642011
13 10 59 0.016505515932044867
13 10 60 -0.1549459247585398
13 10 61 -0.40062841071149086
13 10 62 1.162381381931277
13 10 63 1.2674815694918486
13 10 64 0.11127180930688438
13 10 65 -0.542674568967864
13 11 21 0.19535705215920934
13 11 22 0.04117116970213596
13 11 23 0.11089608968704244
13 11 24 -0.14337982928892168
13 11 25 0.061349310817270235
13 11 26 -0.0704762359671497
13 11 27 0.09778404739343949
13 11 28 0.10777292655344474
13 11 29 0.23604831798707354
13 11 30 -0.062073346389013136
13 11 31 0.027365360184409996
13 11 32 -0.24978236234289386
13 11 33 0.1534064853428938
13 11 34 -0.17202130130818397
13 11 35 0.16543702136480345
13 11 36 0.23502535296995136
13 11 37 -0.1015273174761821
13 11 38 0.03473072455642329
13 11 39 0.33425072505416964
13 11 40 -0.23126082701526798
13 11 41 0.14733327003210103
13 11 42 -0.16792785130175497
13 11 43 0.1167041665217478
13 11 44 -0.07994337861099766
13 11 45 0.2168233036168402
13 11 46 0.17596525292684295
13 11 47 0.23701223948026967
13 11 48 -0.057784551099111695
13 11 49 0.19216277431137616
13 11 50 -0.35657541477516447
13 11 51 0.802339015628813
13 11 52 0.45772614184114213
13 11 53 -0.09744119920205328
13 11 54 -0.08093688928852738
