d,valence,eltype,solve_tol,target,ops,method,solver,threads,heap_hint_gb,timeout_s,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
125,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,6.6449,1.4512,8.0961,3314220048,13,5.161875265002891e-7,false,0.03208612546383413,0.9989704805554233,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Auto,AutoSolver,16,40.0,30.0,1.4565,0.1300,1.5865,1005114304,13,4.420134871452319e-7,false,0.23495342526140725,0.9447968909856198,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,1.5179,0.0404,1.5583,991815200,13,3.20699882649933e-7,false,0.09748108349544791,0.9904974383648972,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,1.7525,0.0349,1.7874,991815200,13,2.8481349545472767e-7,false,0.08612052522290192,0.9925832551384007,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,1.8908,0.0132,1.9040,1239893296,13,4.754383269300888e-7,false,0.1562662040498739,0.9755808734759595,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,1.7416,0.0302,1.7718,1189315040,3,2.122582372976467e-6,false,9.072368064115931e-5,0.999999991772572,true,125 125 125,7875,ok
150,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,2.6745,0.0820,2.7566,1664194272,13,2.397309515345114e-7,false,0.07162437140226705,0.9948699494261785,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Auto,AutoSolver,16,40.0,30.0,3.2746,0.0324,3.3070,1664192320,13,3.095480849424348e-7,false,0.08265691688852461,0.9931678340958767,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,3.5834,0.0334,3.6167,1664192320,13,3.210834620404057e-7,false,0.09696396582615605,0.9905979893393222,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,3.1898,0.0425,3.2322,1664192320,13,1.8623191522237903e-7,false,0.04883679123070453,0.9976149678294037,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,4.2737,0.0375,4.3112,2092683664,13,3.0757618674215337e-7,false,0.07144459663706218,0.9948956696189402,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,2.9898,0.0207,3.0105,1715333456,3,1.5247420606101514e-6,false,0.0007077680324745685,0.999999499066,true,150 150 150,11325,ok
175,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,4.7138,0.0549,4.7687,2400426544,13,2.4143400878529064e-7,false,0.04713130905177141,0.9977786397174483,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Auto,AutoSolver,16,40.0,30.0,4.5986,0.0392,4.6379,2392855184,13,2.9542403012783325e-7,false,0.06405612646078199,0.9958968126682091,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,4.8441,0.0324,4.8765,2400424592,13,3.928214198367641e-7,false,0.05142545560741864,0.9973554225236778,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,5.5624,0.0519,5.6143,2398458512,13,2.942993262422533e-7,false,0.09098991725635693,0.9917208349706629,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,7.3460,0.5199,7.8658,3029980384,13,3.365790917086997e-7,false,0.08002988596219833,0.9935952173581664,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,5.4902,0.0509,5.5411,2467851776,3,3.2376831313740695e-6,false,0.0005125078835158189,0.9999997373400666,true,175 175 175,15400,ok
200,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,8.2180,0.0586,8.2767,3609543440,13,4.620065396920836e-7,false,0.08566824475242044,0.9926609518573664,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Auto,AutoSolver,16,40.0,30.0,8.2556,0.1778,8.4334,3618800880,13,2.788924859942199e-7,false,0.012454556985120824,0.9998448840189423,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,7.8560,0.1313,7.9873,3608347888,13,2.9129742529221403e-7,false,0.0828796072860509,0.993130970712318,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,7.9147,0.0737,7.9884,3608347888,13,3.70379893865902e-7,false,0.04539070117975835,0.9979396842561735,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,8.1766,0.0536,8.2302,4591126336,13,2.852973750577803e-7,false,0.08283777853151086,0.9931379024685651,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,6.6031,0.0369,6.6400,3700416336,3,7.643770914000925e-6,false,0.0002840854369534919,0.999999919317875,true,200 200 200,20100,ok
225,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,11.4434,0.0815,11.5250,4864997344,13,6.529155598400394e-7,false,0.109831282008791,0.9879370895146959,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Auto,AutoSolver,16,40.0,30.0,11.4205,0.1236,11.5441,4844712000,13,3.85326643481676e-7,false,0.0850375865483252,0.9927686088911123,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,9.8625,0.0929,9.9554,4826263616,13,5.907127160753589e-7,false,0.029282920122278733,0.9991425106050292,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,11.4660,0.1015,11.5675,4828164160,13,5.271034524412244e-7,false,0.009666106099320957,0.9999065664062956,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,11.0988,0.1177,11.2165,6158660240,13,6.351516503855237e-7,false,0.08879698493559911,0.9921150954832021,false,225 225 225,25425,ok
