d,valence,eltype,solve_tol,target,ops,method,solver,threads,heap_hint_gb,timeout_s,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
125,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,6.5677,1.4720,8.0397,3314202624,13,5.161875265002891e-7,false,0.03208612546383413,0.9989704805554233,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,1.6081,0.1431,1.7512,1005295616,13,4.420134871452319e-7,false,0.23495342526140725,0.9447968909856198,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,1.4742,0.0227,1.4969,991995424,13,3.20699882649933e-7,false,0.09748108349544791,0.9904974383648972,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,1.7011,0.0201,1.7212,1240532272,13,2.8481349545472767e-7,false,0.08612052522290192,0.9925832551384007,false,125 125 125,7875,ok
125,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,1.8493,0.0290,1.8783,1189354176,3,2.122582372976467e-6,false,9.072368064115931e-5,0.999999991772572,true,125 125 125,7875,ok
150,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,2.9956,0.0996,3.0952,1664194272,13,2.397309515345114e-7,false,0.07162437140226705,0.9948699494261785,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,3.8190,0.0344,3.8534,1664192320,13,3.095480849424348e-7,false,0.08265691688852461,0.9931678340958767,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,3.1617,0.0652,3.2269,1664192320,13,3.210834620404057e-7,false,0.09696396582615605,0.9905979893393222,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,3.4543,0.0466,3.5009,2092683664,13,1.8623191522237903e-7,false,0.04883679123070453,0.9976149678294037,false,150 150 150,11325,ok
150,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,3.6978,0.0241,3.7219,1715333456,3,1.5247420606101514e-6,false,0.0007077680324745685,0.999999499066,true,150 150 150,11325,ok
175,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,5.9440,0.1147,6.0588,2401360432,13,2.4143400878529064e-7,false,0.04713130905177141,0.9977786397174483,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,4.6149,0.1605,4.7754,2394788496,13,2.9542403012783325e-7,false,0.06405612646078199,0.9958968126682091,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,5.4640,0.0746,5.5386,2394788496,13,3.928214198367641e-7,false,0.05142545560741864,0.9973554225236778,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,5.7532,0.1235,5.8767,3029832928,13,2.942993262422533e-7,false,0.09098991725635693,0.9917208349706629,false,175 175 175,15400,ok
175,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,4.3191,0.0293,4.3484,2470030848,3,3.2376831313740695e-6,false,0.0005125078835158189,0.9999997373400666,true,175 175 175,15400,ok
200,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,8.4176,0.0600,8.4776,3622404880,13,4.620065396920836e-7,false,0.08566824475242044,0.9926609518573664,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,8.2437,0.1024,8.3462,3630793968,13,2.788924859942199e-7,false,0.012454556985120824,0.9998448840189423,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,7.5238,0.0409,7.5647,3629876464,13,2.9129742529221403e-7,false,0.0828796072860509,0.993130970712318,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,8.4324,0.2992,8.7316,4645259072,13,3.70379893865902e-7,false,0.04539070117975835,0.9979396842561735,false,200 200 200,20100,ok
200,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,8.0705,0.0319,8.1025,3716374352,3,7.643770914000925e-6,false,0.0002840854369534919,0.999999919317875,true,200 200 200,20100,ok
225,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,10.5398,0.2686,10.8083,4830918624,13,6.529155598400394e-7,false,0.109831282008791,0.9879370895146959,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,11.9412,0.7832,12.7244,4819234880,13,3.85326643481676e-7,false,0.0850375865483252,0.9927686088911123,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,11.1808,0.0603,11.2412,4831211584,13,5.907127160753589e-7,false,0.029282920122278733,0.9991425106050292,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,9.7287,0.0964,9.8251,6141375120,13,5.271034524412244e-7,false,0.009666106099320957,0.9999065664062956,false,225 225 225,25425,ok
225,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,10.7326,0.1519,10.8845,4932730592,3,7.93725030234782e-6,false,0.00015969504435591885,0.9999999745225584,true,225 225 225,25425,ok
250,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,18.2129,0.1399,18.3527,6885510976,13,2.6594710789140663e-7,false,0.052591245765649657,0.9972341608927511,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,16.2296,0.0976,16.3272,6846941088,13,6.96486324613943e-7,false,0.08383841415904854,0.9929711203324346,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,15.6924,0.1168,15.8092,6843336608,13,3.4774151913552487e-7,false,0.0924217831310452,0.9914582140307131,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,17.1205,0.1633,17.2838,8704952816,13,5.064175070401689e-7,false,0.10034352864348271,0.9899311762911147,false,250 250 250,31375,ok
250,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,14.9396,0.0582,14.9978,7009190384,3,3.361548351676902e-6,false,0.00012701742566619873,0.999999983901892,true,250 250 250,31375,ok
275,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,22.1678,0.1070,22.2748,8857139600,13,3.968008854826621e-7,false,0.07344556902185467,0.9946057484232229,false,275 275 275,37950,ok
275,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,21.8080,0.1079,21.9158,8908206576,13,2.614987408833258e-7,false,0.023948480289406424,0.9994264703168094,false,275 275 275,37950,ok
275,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,21.7793,0.1052,21.8845,8908206576,13,4.738964491934894e-7,false,0.06038935468319233,0.996353125884356,false,275 275 275,37950,ok
275,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,22.5468,0.1538,22.7006,11358467136,13,2.977324982111895e-7,false,0.07250075055104271,0.9947436412168885,false,275 275 275,37950,ok
275,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,22.1416,0.1153,22.2570,8996631488,3,6.812356332375202e-6,false,0.00023288564293683529,0.9999999458076085,true,275 275 275,37950,ok
300,3,Float32,1e-08,1e-08,universal,CPU/Auto,none,16,40.0,30.0,NaN,NaN,NaN,0,0,NaN,false,NaN,NaN,false,300 300 300,45150,timeout
300,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Arpack,ArpackSolver,16,40.0,30.0,NaN,NaN,NaN,0,0,NaN,false,NaN,NaN,false,300 300 300,45150,timeout
300,3,Float32,1e-08,1e-08,universal,CPU/QuickDer/Gram,GramSolver,16,40.0,30.0,NaN,NaN,NaN,0,0,NaN,false,NaN,NaN,false,300 300 300,45150,timeout
300,3,Float32,1e-08,1e-08,universal,GPU/QuickDer/Gram,GramSolver,16,40.0,30.0,NaN,NaN,NaN,0,0,NaN,false,NaN,NaN,false,300 300 300,45150,timeout
300,3,Float32,1e-08,1e-08,symmetric,CPU/Auto,none,16,40.0,30.0,NaN,NaN,NaN,0,0,NaN,false,NaN,NaN,false,300 300 300,45150,timeout
