d,valence,eltype,solve_tol,target,ops,method,solver,threads,heap_hint_gb,timeout_s,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
10,3,Float32,1e-08,1e-08,universal,Auto,none,8,10.0,30.0,0.0174,0.0002,0.0176,3076720,14,7.951570296427235e-5,false,0.6166183079791772,0.6197818672278906,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,Auto,none,8,10.0,30.0,0.0098,0.0002,0.0100,3076720,14,4.9712834879755974e-5,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,Auto,none,8,10.0,30.0,0.0113,0.0001,0.0114,3076720,14,2.4233049771282822e-5,false,0.9736020578870731,0.052099032878056784,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Auto,AutoSolver,8,10.0,30.0,0.0055,0.0001,0.0056,3202352,13,1.0939824335309822e-7,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Auto,AutoSolver,8,10.0,30.0,0.0135,0.0001,0.0137,3202352,13,2.3037374319301307e-7,false,0.8658407461341558,0.2503198023338493,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Auto,AutoSolver,8,10.0,30.0,0.0059,0.0001,0.0060,3202352,13,1.5334583736148488e-7,false,0.49896220388735496,0.751036719091874,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Arpack,ArpackSolver,8,10.0,30.0,0.0059,0.0001,0.0060,3202352,13,1.5436548039815534e-7,false,0.860102111804874,0.26022435726879567,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Arpack,ArpackSolver,8,10.0,30.0,0.0059,0.0001,0.0059,3202352,13,1.7074265201699745e-7,false,0.8118316048086511,0.3409294454338115,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Arpack,ArpackSolver,8,10.0,30.0,0.0083,0.0003,0.0086,3202352,13,1.4904087208833516e-7,false,0.9516542623079152,0.09435416503117763,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Gram,GramSolver,8,10.0,30.0,0.0066,0.0002,0.0067,3202352,13,1.5039847767184256e-7,false,0.9290849872046439,0.1368010865509469,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Gram,GramSolver,8,10.0,30.0,0.0064,0.0002,0.0065,3202352,13,1.9347338309216866e-7,false,0.8086989104176147,0.34600617685198426,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer/Gram,GramSolver,8,10.0,30.0,0.0073,0.0002,0.0075,3202352,13,1.7331291246591718e-7,false,0.521474566969113,0.7280642775126943,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer3,none,8,10.0,30.0,0.0058,0.0001,0.0059,4137024,14,8.915899525163695e-5,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer3,none,8,10.0,30.0,0.0051,0.0001,0.0052,4137024,14,3.760454274015501e-5,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,QuickDer3,none,8,10.0,30.0,0.0120,0.0001,0.0122,4137024,14,7.000712503213435e-5,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Auto,AutoSolver,8,10.0,30.0,0.0112,0.0002,0.0114,3074768,14,3.3443768188590184e-5,false,0.5223891486244532,0.727109577833909,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Auto,AutoSolver,8,10.0,30.0,0.0108,0.0002,0.0109,3074768,14,1.2387657989165746e-5,false,0.8449981780993285,0.2859780790088149,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Auto,AutoSolver,8,10.0,30.0,0.0105,0.0001,0.0106,3074768,14,1.0157841643376742e-5,false,0.4766776199281209,0.7727784466596622,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Gram,GramSolver,8,10.0,30.0,0.0040,0.0002,0.0042,2705696,14,3.432700168559677e-6,false,0.9145727330857595,0.16355671589604434,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Gram,GramSolver,8,10.0,30.0,0.0045,0.0001,0.0046,2697488,13,4.6619941713288426e-5,false,1.0,0.0,false,10 10 10,55,ok
10,3,Float32,1e-08,1e-08,universal,SylverLining/Gram,GramSolver,8,10.0,30.0,0.0032,0.0001,0.0033,2697488,13,2.5157245545415208e-5,false,0.9386084229977304,0.11901429459489388,false,10 10 10,55,ok
