d,valence,eltype,solve_tol,target,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
10,3,Float32,1e-06,1e-08,universal,SylverLining/Auto,AutoSolver,3.4155,0.0002,3.4157,3075056,14,4.971e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/SVD,SVDSolver,3.6153,0.0121,3.6274,3070896,14,1.715e-05,false,8.644e-01,0.2529,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/LU,LUSolver,0.9927,0.0003,0.9931,1809728,14,3.409e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/Gram,GramSolver,0.0344,0.0002,0.0345,2697776,13,3.026e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/Arpack,ArpackSolver,1.6222,0.0002,1.6224,5581520,14,9.370e-06,false,3.312e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/Krylov,KrylovSolver,20.4761,0.0002,20.4763,14932832,14,2.201e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/Lanczos,LanczosSolver,0.0065,0.0000,0.0065,7448976,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float32,1e-06,1e-08,universal,SylverLining/CG,CGSolver,127.5036,0.0002,127.5038,81731984,3,2.750e-05,false,8.818e-01,0.2224,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,SylverLining/LSMR,LSMRSolver,2.5145,0.0000,2.5145,89288992,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float32,1e-06,1e-08,universal,SylverLining/ShiftInvert,ShiftInvertSolver,15.9986,0.0000,15.9986,381913984,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float32,1e-06,1e-08,universal,Auto,none,5.6252,0.0002,5.6253,3077008,14,6.833e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,QuickDer/Auto,AutoSolver,1.2058,0.0002,1.2060,3202352,13,1.949e-07,false,8.986e-01,0.1924,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,QuickDer/Arpack,ArpackSolver,5.6722,0.0003,5.6725,3202352,13,1.775e-07,false,4.940e-01,0.7560,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,QuickDer/Gram,GramSolver,2.6250,0.0002,2.6252,3202352,13,1.904e-07,false,9.700e-01,0.0591,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,universal,QuickDer3,none,2.5837,0.0002,2.5839,16170864,14,3.320e-05,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/Auto,AutoSolver,0.7828,0.0002,0.7829,1185760,3,5.745e-07,false,5.065e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/SVD,SVDSolver,0.3956,0.0002,0.3958,1181600,3,4.679e-07,false,2.820e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/LU,LUSolver,0.8965,0.0003,0.8968,836160,3,2.321e-07,false,2.805e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/Gram,GramSolver,0.5427,0.0003,0.5430,1308720,3,4.575e-07,false,7.967e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/Arpack,ArpackSolver,1.4647,0.0003,1.4650,1430528,3,6.984e-07,false,4.986e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/Krylov,KrylovSolver,8.8698,0.0003,8.8701,3278592,3,1.017e-06,false,1.687e-05,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/Lanczos,LanczosSolver,0.0016,0.0000,0.0016,2586176,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/CG,CGSolver,29.1060,0.0002,29.1062,25804992,1,1.815e-06,false,7.525e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/LSMR,LSMRSolver,20.8338,0.0002,20.8339,368068240,3,3.646e-08,false,1.617e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SylverLining/ShiftInvert,ShiftInvertSolver,1.2319,0.0000,1.2319,108546576,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float32,1e-06,1e-08,symmetric,Auto,none,1.1592,0.0002,1.1594,1187712,3,4.241e-07,false,4.518e-06,1.0000,true,10 10 10,55,ok
10,3,Float32,1e-06,1e-08,symmetric,SymmetricGram,none,1.6333,0.0001,1.6335,3809592,3,9.947e-08,false,2.465e-06,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/Auto,AutoSolver,1.9178,0.0002,1.9180,5787680,13,3.462e-14,false,9.060e-01,0.1791,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/SVD,SVDSolver,4.4610,0.0004,4.4614,5783616,13,1.107e-13,false,8.680e-01,0.2466,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/LU,LUSolver,1.4131,0.0004,1.4135,3316464,13,1.145e-13,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/Gram,GramSolver,0.6755,0.0002,0.6757,4747792,13,3.070e-14,false,9.753e-01,0.0488,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/Arpack,ArpackSolver,3.9588,0.0002,3.9590,11798032,13,1.658e-14,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/Krylov,KrylovSolver,53.2717,0.0004,53.2721,89295632,13,1.378e-13,false,8.562e-01,0.2670,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/Lanczos,LanczosSolver,0.0032,0.0000,0.0032,14321952,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float64,1e-06,1e-16,universal,SylverLining/CG,CGSolver,271.7436,0.0002,271.7438,168263776,13,4.827e-13,false,8.783e-01,0.2286,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,SylverLining/LSMR,LSMRSolver,3.0678,0.0000,3.0678,154626880,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float64,1e-06,1e-16,universal,SylverLining/ShiftInvert,ShiftInvertSolver,21.3152,0.0000,21.3152,798817728,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float64,1e-06,1e-16,universal,Auto,none,3.5728,0.0002,3.5730,5789632,13,5.617e-14,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,QuickDer/Auto,AutoSolver,3.1224,0.0003,3.1228,5952384,13,3.247e-16,false,8.663e-01,0.2495,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,QuickDer/Arpack,ArpackSolver,3.5706,0.0003,3.5709,5952384,13,2.920e-16,false,9.455e-01,0.1060,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,QuickDer/Gram,GramSolver,6.7297,0.0002,6.7299,5952384,13,2.885e-16,false,1.000e+00,0.0000,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,universal,QuickDer3,none,1.0549,0.0002,1.0551,13611296,13,5.521e-16,false,8.260e-01,0.3178,false,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/Auto,AutoSolver,0.5317,0.0002,0.5318,2079856,3,8.495e-16,false,2.849e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/SVD,SVDSolver,0.4398,0.0002,0.4400,2075792,3,7.759e-16,false,1.312e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/LU,LUSolver,0.5488,0.0002,0.5489,1405248,3,6.336e-16,false,1.046e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/Gram,GramSolver,0.8685,0.0001,0.8686,2360112,3,8.622e-16,false,3.312e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/Arpack,ArpackSolver,1.5040,0.0001,1.5042,2054288,3,1.308e-15,false,1.866e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/Krylov,KrylovSolver,16.2794,0.0003,16.2796,10957328,3,9.567e-15,false,1.178e-13,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/Lanczos,LanczosSolver,0.0025,0.0000,0.0025,6893616,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/CG,CGSolver,22.6438,0.0002,22.6439,16638000,3,6.543e-14,false,3.961e-13,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/LSMR,LSMRSolver,18.6470,0.0003,18.6472,614764208,3,1.630e-16,false,7.290e-15,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SylverLining/ShiftInvert,ShiftInvertSolver,1.5150,0.0000,1.5150,52504736,0,NaN,false,NaN,NaN,false,10 10 10,55,error: no nontrivial derivations at tol = 1.0e-6
10,3,Float64,1e-06,1e-16,symmetric,Auto,none,0.9755,0.0002,0.9757,2081808,3,1.098e-15,false,1.839e-14,1.0000,true,10 10 10,55,ok
10,3,Float64,1e-06,1e-16,symmetric,SymmetricGram,none,1.1110,0.0002,1.1111,6177288,3,2.665e-16,false,4.753e-15,1.0000,true,10 10 10,55,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/Auto,AutoSolver,4.0257,0.0005,4.0262,33827072,13,1.135e-05,false,4.720e-01,0.7772,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/SVD,SVDSolver,9.0485,0.0003,9.0487,13846640,13,4.623e-06,false,2.386e-01,0.9431,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/LU,LUSolver,1.4171,0.0003,1.4173,6936896,8,1.701e-04,false,3.185e-01,0.8985,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/Gram,GramSolver,4.1138,0.0002,4.1141,8552288,6,4.578e-05,false,4.073e-01,0.8341,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/Arpack,ArpackSolver,1.8778,0.0003,1.8780,16810784,13,6.419e-06,false,6.883e-01,0.5263,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/Krylov,KrylovSolver,72.4539,0.0005,72.4544,67292016,13,8.234e-06,false,4.886e-01,0.7613,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,SylverLining/Lanczos,LanczosSolver,0.0175,0.0000,0.0175,18698288,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float32,1e-06,1e-08,universal,SylverLining/LSMR,LSMRSolver,10.1649,0.0000,10.1649,179442976,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float32,1e-06,1e-08,universal,SylverLining/ShiftInvert,ShiftInvertSolver,0.8790,0.0000,0.8790,81535248,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float32,1e-06,1e-08,universal,Auto,none,5.0626,0.0004,5.0630,7606672,13,1.802e-07,false,1.246e-01,0.9845,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,QuickDer/Auto,AutoSolver,4.5880,0.0180,4.6059,7604720,13,2.129e-07,false,4.034e-01,0.8373,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,QuickDer/Arpack,ArpackSolver,9.5683,0.0002,9.5685,7604720,13,1.058e-07,false,3.573e-01,0.8723,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,QuickDer/Gram,GramSolver,8.4110,0.0002,8.4112,7604720,13,1.233e-07,false,4.968e-01,0.7532,false,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,universal,QuickDer3,none,0.0000,0.0000,0.0000,0,0,NaN,false,NaN,NaN,false,15 15 15,120,error: FastDer3Valent did not find a correct solution triple at (a';b';c') = (8;8;8). Retry with larger sizes via triple_restriction_size_override.
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/Auto,AutoSolver,1.9395,0.0002,1.9397,4329488,3,6.897e-07,false,1.161e-05,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/SVD,SVDSolver,4.6539,0.0002,4.6541,4325328,3,8.362e-07,false,5.695e-06,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/LU,LUSolver,1.3762,0.0002,1.3764,2457408,3,5.074e-07,false,5.079e-06,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/Gram,GramSolver,1.3079,0.0002,1.3081,3317104,3,4.020e-07,false,1.098e-05,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/Arpack,ArpackSolver,1.2867,0.0168,1.3036,2422352,3,6.499e-07,false,1.436e-05,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/Krylov,KrylovSolver,4.2487,0.0002,4.2489,3465360,3,1.686e-06,false,1.043e-05,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/Lanczos,LanczosSolver,0.0073,0.0000,0.0073,8923824,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/CG,CGSolver,132.0781,0.0002,132.0783,77167616,1,9.285e-07,false,5.032e-06,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/LSMR,LSMRSolver,9.8819,0.0002,9.8821,103344768,3,2.633e-06,false,3.842e-06,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SylverLining/ShiftInvert,ShiftInvertSolver,8.1230,0.0000,8.1230,377304352,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float32,1e-06,1e-08,symmetric,Auto,none,6.8356,0.0002,6.8358,104383936,3,1.760e-06,false,1.025e-04,1.0000,true,15 15 15,120,ok
15,3,Float32,1e-06,1e-08,symmetric,SymmetricGram,none,1.3182,0.0119,1.3301,12821784,3,1.247e-07,false,6.608e-06,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/Auto,AutoSolver,4.4260,0.0003,4.4263,27078352,13,3.229e-15,false,5.006e-01,0.7494,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/SVD,SVDSolver,12.4845,0.0003,12.4848,27069168,13,5.729e-15,false,6.065e-01,0.6322,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/LU,LUSolver,1.7736,0.0003,1.7739,13402016,13,7.601e-15,false,6.646e-01,0.5583,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/Gram,GramSolver,3.7733,0.0003,3.7736,16334480,13,6.494e-14,false,2.528e-01,0.9361,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/Arpack,ArpackSolver,4.3398,0.0003,4.3400,27925088,13,4.361e-15,false,6.448e-01,0.5842,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/Krylov,KrylovSolver,96.3374,0.0005,96.3379,206566768,13,4.174e-14,false,3.086e-01,0.9048,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,SylverLining/Lanczos,LanczosSolver,0.0361,0.0000,0.0361,35419296,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float64,1e-06,1e-16,universal,SylverLining/LSMR,LSMRSolver,12.3913,0.0000,12.3913,328734400,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float64,1e-06,1e-16,universal,SylverLining/ShiftInvert,ShiftInvertSolver,13.0551,0.0000,13.0551,1813092512,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float64,1e-06,1e-16,universal,Auto,none,5.3369,0.0002,5.3371,15078496,13,6.320e-16,false,7.048e-01,0.5033,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,QuickDer/Auto,AutoSolver,6.6831,0.0002,6.6834,15076544,13,1.244e-15,false,5.673e-01,0.6781,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,QuickDer/Arpack,ArpackSolver,5.3637,0.0002,5.3639,15076544,13,6.878e-16,false,1.951e-01,0.9619,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,universal,QuickDer/Gram,GramSolver,3.4287,0.0375,3.4662,15076544,13,5.702e-16,false,6.761e-01,0.5429,false,15 15 15,120,ok
